Date,Open,High,Low,Close,Volume
2019-04-04 16:00:00.288,34.26,36.25,33.68,35.81,32661813
2019-04-05 16:00:00.288,35.4,36.8,34.92,36.58,4490502
2019-04-08 16:00:00.288,37.0,39.41,36.59,39.22,3526082
2019-04-09 16:00:00.288,39.32,40.0,37.66,38.6,2905641
2019-04-10 16:00:00.288,38.96,40.98,38.61,40.26,4580327
2019-04-11 16:00:00.288,41.17,42.98,40.38,42.06,2523779
2019-04-12 16:00:00.288,43.13,43.31,41.01,41.87,1700408
2019-04-15 16:00:00.288,41.85,44.25,41.51,42.33,1609911
2019-04-16 16:00:00.288,43.14,43.23,40.07,40.82,1636346
2019-04-17 16:00:00.288,41.1,41.27,38.63,39.4,1460504
2019-04-18 16:00:00.288,39.49,39.74,38.21,39.36,778267
2019-04-22 16:00:00.288,39.27,40.31,38.75,40.05,721026
2019-04-23 16:00:00.288,40.35,40.75,38.85,39.3,909469
2019-04-24 16:00:00.288,39.09,40.05,38.27,39.99,704250
2019-04-25 16:00:00.288,39.87,40.3,39.2,39.8,627759
2019-04-26 16:00:00.288,39.93,41.06,39.93,40.23,822252
2019-04-29 16:00:00.288,39.36,41.43,38.7,41.25,1084058
2019-04-30 16:00:00.288,41.34,41.34,39.8,40.25,485591
2019-05-01 16:00:00.288,40.5,41.92,40.21,40.31,669926
2019-05-02 16:00:00.288,40.06,40.29,38.95,39.45,619710
2019-05-03 16:00:00.288,39.48,39.99,38.36,39.17,754829
2019-05-06 16:00:00.288,38.34,41.05,37.51,40.25,612448
2019-05-07 16:00:00.288,40.0,40.53,38.53,39.25,708155
2019-05-08 16:00:00.288,39.51,41.18,38.77,39.89,791771
2019-05-09 16:00:00.288,41.46,42.2,40.39,41.08,1464148
2019-05-10 16:00:00.288,41.09,43.99,41.09,43.0,1237490
2019-05-13 16:00:00.288,42.17,43.5,41.55,42.98,700487
2019-05-14 16:00:00.288,43.01,44.95,42.16,43.43,988231
2019-05-15 16:00:00.288,43.2,46.33,42.17,42.47,1022046
2019-05-16 16:00:00.288,42.39,44.15,40.29,44.01,907625
2019-05-17 16:00:00.288,43.35,44.38,42.75,43.29,535935
2019-05-20 16:00:00.288,42.95,44.62,42.6,44.55,519729
2019-05-21 16:00:00.288,44.99,45.17,43.2,43.46,335169
2019-05-22 16:00:00.288,43.47,43.98,42.8,43.48,373300
2019-05-23 16:00:00.288,42.91,44.08,42.8,44.01,392240
2019-05-24 16:00:00.288,44.06,44.41,43.15,44.25,402396
2019-05-28 16:00:00.288,44.47,44.78,42.96,43.33,419886
2019-05-29 16:00:00.288,43.07,43.33,42.33,43.01,448643
2019-05-30 16:00:00.288,43.47,44.28,43.03,43.97,353367
2019-05-31 16:00:00.288,44.26,45.19,43.5,45.09,783725
2019-06-03 16:00:00.288,45.45,45.79,43.44,43.82,665787
2019-06-04 16:00:00.288,44.1,44.56,42.28,43.52,439010
2019-06-05 16:00:00.288,43.74,44.74,42.84,44.01,426029
2019-06-06 16:00:00.288,43.23,44.28,43.05,43.59,388164
2019-06-07 16:00:00.288,43.7,44.06,42.39,42.9,317831
2019-06-10 16:00:00.288,43.1,43.78,43.1,43.41,339863
2019-06-11 16:00:00.288,43.49,43.81,40.62,42.75,493107
2019-06-12 16:00:00.288,42.42,43.16,41.44,42.58,357996
2019-06-13 16:00:00.288,42.7,43.22,41.65,41.84,301227
2019-06-14 16:00:00.288,42.04,42.33,41.05,41.44,222985
2019-06-17 16:00:00.288,41.38,42.66,41.0,41.82,375470
2019-06-18 16:00:00.288,42.0,42.99,41.21,42.23,422604
2019-06-19 16:00:00.288,42.05,43.34,41.93,43.03,459620
2019-06-20 16:00:00.288,43.49,43.7,42.87,42.95,678584
2019-06-21 16:00:00.288,42.82,43.51,42.5,43.21,2290755
2019-06-24 16:00:00.288,43.49,43.49,41.28,41.51,698915
2019-06-25 16:00:00.288,41.41,41.86,40.51,41.09,591903
2019-06-26 16:00:00.288,41.04,41.76,40.52,41.52,597789
2019-06-27 16:00:00.288,41.7,42.5,41.7,42.43,618185
2019-06-28 16:00:00.288,42.72,44.5,42.7,43.81,779172
2019-07-01 16:00:00.288,44.3,44.64,43.5,43.87,369128
2019-07-02 16:00:00.288,43.86,44.46,42.54,44.12,471532
2019-07-03 13:00:00.288,44.46,47.23,43.73,45.5,738611
2019-07-05 16:00:00.288,45.5,46.93,45.0,46.32,749318
2019-07-08 16:00:00.288,46.51,47.48,45.53,46.85,647586
2019-07-09 16:00:00.288,46.85,47.94,46.8,47.06,408299
2019-07-10 16:00:00.288,47.07,48.3,46.66,47.88,401418
2019-07-11 16:00:00.288,48.26,49.98,47.54,49.33,573846
2019-07-12 16:00:00.288,49.49,49.95,47.18,48.25,791718
2019-07-15 16:00:00.288,48.45,48.72,47.2,47.39,306674
2019-07-16 16:00:00.288,47.4,48.0,47.4,47.83,279245
2019-07-17 16:00:00.288,47.51,48.59,46.78,48.4,303413
2019-07-18 16:00:00.288,48.2,49.78,48.2,49.71,226362
2019-07-19 16:00:00.288,49.89,50.48,49.13,49.5,353011
2019-07-22 16:00:00.288,49.6,50.23,49.25,50.0,179077
2019-07-23 16:00:00.288,50.06,50.24,49.51,50.04,130646
2019-07-24 16:00:00.288,50.07,50.07,46.27,46.43,833430
2019-07-25 16:00:00.288,46.43,47.14,46.01,46.61,372273
2019-07-26 16:00:00.288,46.8,48.49,46.8,48.17,330667
2019-07-29 16:00:00.288,48.46,49.5,47.25,47.64,562993
2019-07-30 16:00:00.288,47.39,48.95,46.8,47.22,526371
2019-07-31 16:00:00.288,47.4,48.18,46.51,47.36,498611
2019-08-01 16:00:00.288,46.73,47.36,45.52,45.7,672006
2019-08-02 16:00:00.288,45.69,47.18,44.51,46.5,338896
2019-08-05 16:00:00.288,45.78,46.5,44.78,45.31,433909
2019-08-06 16:00:00.288,45.69,46.0,44.57,45.4,342240
2019-08-07 16:00:00.288,44.8,46.23,44.51,45.86,455589
2019-08-08 16:00:00.288,47.2,48.75,43.57,44.24,947713
2019-08-09 16:00:00.288,44.33,45.58,44.33,45.23,416147
2019-08-12 16:00:00.288,44.9,46.42,44.71,45.98,304145
2019-08-13 16:00:00.288,45.93,46.58,44.66,45.48,267956
2019-08-14 16:00:00.288,45.3,45.56,44.21,44.21,211825
2019-08-15 16:00:00.288,44.57,45.25,44.22,44.99,370617
2019-08-16 16:00:00.288,45.28,45.48,44.66,44.88,386804
2019-08-19 16:00:00.288,45.26,45.45,44.53,44.99,226891
2019-08-20 16:00:00.288,44.94,46.3,44.72,45.8,481955
2019-08-21 16:00:00.288,45.96,46.25,45.73,45.85,295755
2019-08-22 16:00:00.288,46.03,46.35,44.7,45.01,274193
2019-08-23 16:00:00.288,44.75,45.35,43.77,44.21,280265
2019-08-26 16:00:00.288,44.14,44.57,42.3,42.9,593166
2019-08-27 16:00:00.288,42.91,43.47,42.47,42.79,335020
2019-08-28 16:00:00.288,42.53,43.2,42.46,42.73,261898
2019-08-29 16:00:00.288,42.82,43.85,42.5,43.74,358739
2019-08-30 16:00:00.288,43.75,44.25,42.33,42.59,657001
2019-09-03 16:00:00.288,42.27,42.37,39.92,40.58,817375
2019-09-04 16:00:00.288,40.79,42.29,40.05,42.12,740952
2019-09-05 16:00:00.288,42.56,43.04,41.84,42.55,441049
2019-09-06 16:00:00.288,42.71,43.37,41.84,41.99,403661
2019-09-09 16:00:00.288,42.06,42.55,40.58,41.48,800491
2019-09-10 16:00:00.288,41.37,41.43,40.28,40.75,633712
2019-09-11 16:00:00.288,40.6,41.7,40.07,40.71,635655
2019-09-12 16:00:00.288,40.72,41.37,39.57,39.77,614537
2019-09-13 16:00:00.288,40.54,40.99,39.06,39.13,813015
2019-09-16 16:00:00.288,38.93,39.67,38.35,39.51,947330
2019-09-17 16:00:00.288,39.38,40.47,39.06,39.09,557121
2019-09-18 16:00:00.288,39.2,40.74,38.99,40.16,1133969
2019-09-19 16:00:00.288,40.13,40.13,39.13,39.66,380290
2019-09-20 16:00:00.288,39.64,40.67,39.31,40.25,1128459
2019-09-23 16:00:00.288,39.99,40.28,39.6,40.15,556929
2019-09-24 16:00:00.288,40.3,40.34,39.32,39.53,552855
2019-09-25 16:00:00.288,39.44,39.83,38.93,39.75,495951
2019-09-26 16:00:00.288,39.52,39.79,36.08,37.41,1573930
2019-09-27 16:00:00.288,37.38,37.57,36.14,36.52,1695479
2019-09-30 16:00:00.288,36.42,37.09,35.56,36.98,1872581
2019-10-01 16:00:00.288,37.4,38.8,37.28,37.82,1663623
2019-10-02 16:00:00.288,37.67,39.13,36.88,38.58,1483822
2019-10-03 16:00:00.288,38.25,39.3,37.23,39.15,631224
2019-10-04 16:00:00.288,39.23,40.09,39.12,39.65,490054
2019-10-07 16:00:00.288,39.54,40.41,39.06,40.2,395486
2019-10-08 16:00:00.288,39.96,40.2,38.52,38.83,439828
2019-10-09 16:00:00.288,38.82,39.89,38.56,39.83,435329
2019-10-10 16:00:00.288,39.75,41.83,39.32,41.05,758320
2019-10-11 16:00:00.288,41.36,42.0,38.32,40.27,1079745
2019-10-14 16:00:00.288,40.23,40.3,38.98,39.91,281116
2019-10-15 16:00:00.288,39.94,40.89,39.25,39.91,361220
2019-10-16 16:00:00.288,40.67,42.58,40.47,42.27,1468114
2019-10-17 16:00:00.288,43.07,44.19,42.0,43.25,1506578
2019-10-18 16:00:00.288,43.0,43.26,40.23,41.5,10174110
2019-10-21 16:00:00.288,41.41,42.75,41.36,42.66,2617159
2019-10-22 16:00:00.288,42.83,43.81,41.76,41.93,1272815
2019-10-23 16:00:00.288,41.26,42.3,39.99,40.43,2218198
2019-10-24 16:00:00.288,40.56,41.43,40.0,41.13,858937
2019-10-25 16:00:00.288,41.31,41.87,40.52,40.85,690230
2019-10-28 16:00:00.288,41.07,42.15,40.85,41.84,1189881
2019-10-29 16:00:00.288,42.0,42.56,41.2,41.8,1024068
2019-10-30 16:00:00.288,41.77,42.12,40.9,41.94,652003
2019-10-31 16:00:00.288,41.74,42.37,41.64,41.75,660386
2019-11-01 16:00:00.288,41.95,42.33,41.48,41.65,1388711
2019-11-04 16:00:00.288,41.69,41.94,40.52,40.74,876908
2019-11-05 16:00:00.288,40.85,41.0,39.74,40.14,1208348
2019-11-06 16:00:00.288,39.89,41.08,39.89,40.58,619468
2019-11-07 16:00:00.288,39.89,41.08,39.89,40.58,312
2019-11-08 16:00:00.288,41.6,43.01,41.38,42.69,760347
2019-11-11 16:00:00.288,42.71,42.96,41.66,42.86,327593
2019-11-12 16:00:00.288,43.02,43.75,42.45,43.07,617812
2019-11-13 16:00:00.288,42.89,44.01,42.84,43.33,477958
2019-11-14 16:00:00.288,43.34,43.5,42.3,42.76,513563
2019-11-15 16:00:00.288,43.05,43.49,42.27,43.15,695116
2019-11-18 16:00:00.288,43.04,44.0,43.0,43.53,513989
2019-11-19 16:00:00.288,43.75,43.99,43.16,43.27,522732
2019-11-20 16:00:00.288,44.0,44.94,43.98,44.67,1127858
2019-11-21 16:00:00.288,44.53,45.45,44.07,44.45,712670
2019-11-22 16:00:00.288,44.49,45.0,44.21,44.59,432426
2019-11-25 16:00:00.288,44.83,45.6,44.73,45.27,1275197
2019-11-26 16:00:00.288,45.37,45.8,44.26,44.72,1596879
2019-11-27 16:00:00.288,44.95,45.14,43.76,44.55,440281
2019-11-29 13:00:00.288,44.27,45.03,44.05,44.73,268048
