Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,52.51,54.05,52.46,53.44,654022
2010-01-05 16:00:00.288,53.6,54.12,53.07,53.27,516450
2010-01-06 16:00:00.288,53.28,54.18,53.28,54.1,565624
2010-01-07 16:00:00.288,53.23,55.47,53.2,55.47,1171675
2010-01-08 16:00:00.288,55.07,55.66,54.54,54.82,460662
2010-01-11 16:00:00.288,54.77,55.69,54.69,54.77,605141
2010-01-12 16:00:00.288,54.34,55.9,54.03,55.73,608158
2010-01-13 16:00:00.288,55.74,57.25,55.55,56.63,718415
2010-01-14 16:00:00.288,56.41,59.73,56.17,59.73,2027316
2010-01-15 16:00:00.288,59.29,59.72,57.56,58.16,1828741
2010-01-19 16:00:00.288,58.08,59.48,57.88,58.29,672092
2010-01-20 16:00:00.288,58.28,58.91,57.48,57.94,967114
2010-01-21 16:00:00.288,58.24,58.35,56.5,57.74,1080476
2010-01-22 16:00:00.288,57.99,59.45,57.86,58.45,797032
2010-01-25 16:00:00.288,59.21,59.23,57.44,58.2,475889
2010-01-26 16:00:00.288,58.25,58.96,57.05,57.65,1461641
2010-01-27 16:00:00.288,57.37,57.64,57.03,57.56,596006
2010-01-28 16:00:00.288,57.56,59.66,57.56,59.07,2809069
2010-01-29 16:00:00.288,59.5,60.35,59.4,59.57,756665
2010-02-01 16:00:00.288,59.64,60.0,59.12,59.59,426600
2010-02-02 16:00:00.288,59.68,61.97,59.06,61.46,1255131
2010-02-03 16:00:00.288,61.46,61.92,56.91,59.39,1080322
2010-02-04 16:00:00.288,58.56,58.92,55.97,56.45,860009
2010-02-05 16:00:00.288,56.61,57.17,55.94,56.93,598851
2010-02-08 16:00:00.288,57.68,58.2,57.09,57.29,457342
2010-02-09 16:00:00.288,57.92,59.19,57.49,58.63,666710
2010-02-10 16:00:00.288,58.46,59.78,58.37,59.34,503924
2010-02-11 16:00:00.288,59.1,60.48,58.71,60.34,548999
2010-02-12 16:00:00.288,59.89,60.43,59.1,59.97,924096
2010-02-16 16:00:00.288,59.3,59.3,55.86,57.19,1406539
2010-02-17 16:00:00.288,57.59,58.31,57.06,57.85,613299
2010-02-18 16:00:00.288,57.18,57.93,55.82,56.01,1259019
2010-02-19 16:00:00.288,53.0,55.3,52.91,54.85,2342616
2010-02-22 16:00:00.288,55.27,55.52,54.52,55.06,700822
2010-02-23 16:00:00.288,54.72,55.43,54.41,54.93,453370
2010-02-24 16:00:00.288,55.08,55.95,54.62,55.68,606976
2010-02-25 16:00:00.288,55.04,56.63,54.84,56.6,596939
2010-02-26 16:00:00.288,56.68,57.45,56.26,57.41,716899
2010-03-01 16:00:00.288,57.4,58.72,56.6,58.48,813389
2010-03-02 16:00:00.288,58.4,59.13,58.4,58.58,1070934
2010-03-03 16:00:00.288,58.99,59.22,58.47,58.59,328974
2010-03-04 16:00:00.288,58.24,58.26,56.87,57.57,580255
2010-03-05 16:00:00.288,58.06,58.68,57.97,58.46,204560
2010-03-08 16:00:00.288,58.7,59.3,58.0,59.3,1202814
2010-03-09 16:00:00.288,59.39,59.85,58.83,59.1,379833
2010-03-10 16:00:00.288,59.73,59.88,59.1,59.67,399323
2010-03-11 16:00:00.288,59.52,59.91,59.0,59.43,330028
2010-03-12 16:00:00.288,59.1,59.39,58.43,58.76,665460
2010-03-15 16:00:00.288,58.41,58.53,55.9,57.15,1171833
2010-03-16 16:00:00.288,57.32,57.39,56.62,56.98,640092
2010-03-17 16:00:00.288,56.99,57.87,56.54,56.79,493727
2010-03-18 16:00:00.288,56.57,57.35,55.97,57.11,570143
2010-03-19 16:00:00.288,57.39,57.69,56.92,56.98,590139
2010-03-22 16:00:00.288,56.97,57.11,56.09,56.68,539322
2010-03-23 16:00:00.288,56.21,57.42,56.21,56.91,316491
2010-03-24 16:00:00.288,57.13,57.23,56.26,56.31,414184
2010-03-25 16:00:00.288,56.24,56.92,55.9,55.99,485410
2010-03-26 16:00:00.288,56.05,57.6,55.7,55.77,586710
2010-03-29 16:00:00.288,56.13,56.95,55.73,56.41,569226
2010-03-30 16:00:00.288,56.52,56.7,55.65,55.93,445825
2010-03-31 16:00:00.288,55.94,56.32,55.3,55.33,863359
2010-04-01 16:00:00.288,55.03,55.68,53.55,55.16,642870
2010-04-05 16:00:00.288,55.35,56.89,55.18,56.31,998422
2010-04-06 16:00:00.288,55.99,58.42,55.98,58.16,849277
2010-04-07 16:00:00.288,58.12,58.72,57.35,57.62,518836
2010-04-08 16:00:00.288,57.4,58.69,57.31,58.49,391593
2010-04-09 16:00:00.288,58.03,58.6,57.56,57.75,429389
2010-04-12 16:00:00.288,57.86,58.13,56.95,57.07,673354
2010-04-13 16:00:00.288,57.66,58.45,56.97,58.0,560117
2010-04-14 16:00:00.288,58.42,58.62,57.68,58.52,461095
2010-04-15 16:00:00.288,58.1,58.79,57.35,58.45,399018
2010-04-16 16:00:00.288,58.23,58.53,57.42,58.05,333316
2010-04-19 16:00:00.288,57.87,59.22,57.71,58.38,377893
2010-04-20 16:00:00.288,58.61,59.05,57.9,58.31,194782
2010-04-21 16:00:00.288,58.1,58.56,55.05,55.88,1865556
2010-04-22 16:00:00.288,56.01,56.75,54.51,56.17,763656
2010-04-23 16:00:00.288,55.91,56.02,55.26,55.92,626064
2010-04-26 16:00:00.288,56.0,56.13,54.67,54.76,403075
2010-04-27 16:00:00.288,54.68,55.6,54.18,54.68,1063959
2010-04-28 16:00:00.288,55.4,55.95,54.56,54.67,823349
2010-04-29 16:00:00.288,55.1,57.69,54.96,56.0,2423781
2010-04-30 16:00:00.288,56.09,57.33,55.76,56.89,1099509
2010-05-03 16:00:00.288,56.65,57.25,56.07,56.82,840248
2010-05-04 16:00:00.288,56.23,56.63,54.41,55.2,1221034
