Date,Open,High,Low,Close,Volume
2014-02-28 16:00:00.288,13.0,15.98,12.67,14.67,7376507
2014-03-03 16:00:00.288,14.7,16.58,14.25,14.4,1144772
2014-03-04 16:00:00.288,15.29,15.57,14.67,15.0,479672
2014-03-05 16:00:00.288,15.0,16.94,15.0,16.42,557320
2014-03-06 16:00:00.288,17.17,18.07,16.67,17.7,607638
2014-03-07 16:00:00.288,18.83,18.93,17.48,17.83,406768
2014-03-10 16:00:00.288,17.8,18.0,15.72,15.83,560151
2014-03-11 16:00:00.288,16.0,16.07,14.64,14.85,599457
2014-03-12 16:00:00.288,14.26,14.86,13.52,14.67,1121337
2014-03-13 16:00:00.288,15.07,15.33,13.89,14.37,400237
2014-03-14 16:00:00.288,14.26,14.65,13.9,14.0,245329
2014-03-17 16:00:00.288,14.12,14.98,13.68,14.85,238458
2014-03-18 16:00:00.288,15.25,15.58,14.74,15.0,261176
2014-03-19 16:00:00.288,15.0,15.5,14.7,15.45,215768
2014-03-20 16:00:00.288,15.37,15.53,14.48,14.57,184112
2014-03-21 16:00:00.288,14.55,14.55,12.76,13.29,438340
2014-03-24 16:00:00.288,13.25,13.25,11.71,12.17,454716
2014-03-25 16:00:00.288,12.69,14.63,12.47,14.59,549919
2014-03-26 16:00:00.288,14.74,15.0,12.69,12.79,317219
2014-03-27 16:00:00.288,12.71,12.84,11.75,12.2,279194
2014-03-28 16:00:00.288,12.16,12.61,11.57,11.69,371036
2014-03-31 16:00:00.288,11.83,12.24,11.2,11.92,828699
2014-04-01 16:00:00.288,11.95,12.77,11.73,12.32,271292
2014-04-02 16:00:00.288,12.02,12.31,11.67,11.76,283198
2014-04-03 16:00:00.288,11.85,12.16,10.92,11.13,324289
2014-04-04 16:00:00.288,11.16,11.32,10.47,10.64,250211
2014-04-07 16:00:00.288,10.55,10.67,9.93,9.99,448745
2014-04-08 16:00:00.288,10.04,10.2,8.73,8.89,685832
2014-04-09 16:00:00.288,9.01,9.75,8.52,9.67,753064
2014-04-10 16:00:00.288,9.45,9.72,8.69,8.97,392589
2014-04-11 16:00:00.288,9.49,9.49,8.52,8.55,270050
2014-04-14 16:00:00.288,8.66,9.23,8.5,8.97,452835
2014-04-15 16:00:00.288,9.0,9.18,8.6,8.83,348301
2014-04-16 16:00:00.288,8.93,9.15,8.6,9.04,149140
