Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,4.74,4.75,4.55,4.65,5284116
2010-01-05 16:00:00.288,4.65,4.66,4.49,4.57,5756570
2010-01-06 16:00:00.288,4.57,4.57,4.38,4.4,7644673
2010-01-07 16:00:00.288,4.29,4.53,4.26,4.5,8928250
2010-01-08 16:00:00.288,4.42,4.54,4.33,4.51,8293649
2010-01-11 16:00:00.288,4.5,4.52,4.39,4.43,8656469
2010-01-12 16:00:00.288,4.4,4.49,4.35,4.42,5373234
2010-01-13 16:00:00.288,4.47,4.62,4.41,4.6,8204141
2010-01-14 16:00:00.288,4.6,4.74,4.55,4.67,7693496
2010-01-15 16:00:00.288,4.7,4.7,4.59,4.65,3285857
2010-01-19 16:00:00.288,4.64,4.75,4.62,4.74,5969629
2010-01-20 16:00:00.288,4.72,4.75,4.67,4.69,3691328
2010-01-21 16:00:00.288,4.69,4.75,4.62,4.64,4390113
2010-01-22 16:00:00.288,4.64,4.84,4.63,4.8,9713896
2010-01-25 16:00:00.288,4.83,4.83,4.57,4.59,6164423
2010-01-26 16:00:00.288,4.6,4.61,4.52,4.55,3405857
2010-01-27 16:00:00.288,4.54,4.61,4.47,4.56,4217903
2010-01-28 16:00:00.288,4.6,4.66,4.49,4.64,5804328
2010-01-29 16:00:00.288,4.65,4.71,4.6,4.61,5016081
2010-02-01 16:00:00.288,4.56,4.68,4.54,4.63,2854694
2010-02-02 16:00:00.288,4.63,4.66,4.62,4.64,1498163
2010-02-03 16:00:00.288,4.63,4.69,4.61,4.64,3240029
2010-02-04 16:00:00.288,4.65,4.66,4.52,4.54,2264142
2010-02-05 16:00:00.288,4.54,4.6,4.42,4.53,2895625
2010-02-08 16:00:00.288,4.53,4.57,4.43,4.47,3329832
2010-02-09 16:00:00.288,4.51,4.56,4.44,4.52,2350884
2010-02-10 16:00:00.288,4.51,4.75,4.5,4.72,6129842
2010-02-11 16:00:00.288,4.7,4.76,4.61,4.75,3983140
2010-02-12 16:00:00.288,4.7,4.77,4.66,4.77,4333243
