Date,Open,High,Low,Close,Volume
2011-07-20 16:00:00.288,18.71,18.71,10.13,11.15,5849939
2011-07-21 16:00:00.288,11.96,12.16,10.29,10.35,978538
2011-07-22 16:00:00.288,10.37,10.99,10.29,10.69,376794
2011-07-25 16:00:00.288,10.6,11.16,10.6,11.1,266619
2011-07-26 16:00:00.288,11.36,11.41,10.84,11.36,296982
2011-07-27 16:00:00.288,11.36,11.36,10.37,10.47,253780
2011-07-28 16:00:00.288,10.55,10.9,10.52,10.57,160050
2011-07-29 16:00:00.288,10.13,10.29,9.95,10.05,166257
2011-08-01 16:00:00.288,10.28,10.28,9.41,9.42,129743
2011-08-02 16:00:00.288,9.45,9.45,8.45,8.53,330016
2011-08-03 16:00:00.288,8.68,8.92,8.54,8.88,198216
2011-08-04 16:00:00.288,8.97,9.25,8.81,8.86,231213
2011-08-05 16:00:00.288,9.01,9.12,7.83,8.78,208150
2011-08-08 16:00:00.288,8.0,8.42,7.87,8.14,240633
2011-08-09 16:00:00.288,8.11,8.8,8.11,8.72,156355
2011-08-10 16:00:00.288,8.61,8.73,8.37,8.54,60880
2011-08-11 16:00:00.288,8.72,8.83,8.34,8.42,85842
2011-08-12 16:00:00.288,8.54,8.59,8.24,8.31,110184
2011-08-15 16:00:00.288,8.41,8.41,7.87,7.96,124090
2011-08-16 16:00:00.288,7.85,7.95,7.36,7.52,164506
2011-08-17 16:00:00.288,7.49,7.56,7.43,7.53,59478
2011-08-18 16:00:00.288,7.45,7.67,7.31,7.48,68098
2011-08-19 16:00:00.288,7.33,7.65,7.33,7.55,133283
2011-08-22 16:00:00.288,7.72,7.72,7.45,7.47,88438
2011-08-23 16:00:00.288,7.52,7.66,7.35,7.63,66593
2011-08-24 16:00:00.288,7.64,8.4,7.64,8.19,171506
2011-08-25 16:00:00.288,8.45,10.64,8.45,9.43,593796
2011-08-26 16:00:00.288,9.69,9.98,8.75,9.79,322435
2011-08-29 16:00:00.288,10.06,10.54,9.75,10.3,287374
2011-08-30 16:00:00.288,10.44,11.37,10.24,10.96,616050
2011-08-31 16:00:00.288,11.3,11.75,11.0,11.59,413612
2011-09-01 16:00:00.288,11.71,11.85,11.29,11.51,209588
2011-09-02 16:00:00.288,11.09,11.23,10.81,10.9,171563
2011-09-06 16:00:00.288,10.23,10.81,9.99,10.68,140599
2011-09-07 16:00:00.288,10.96,11.38,10.71,11.25,126791
2011-09-08 16:00:00.288,11.23,11.26,10.81,11.14,59706
2011-09-09 16:00:00.288,10.85,11.58,10.74,11.52,169671
2011-09-12 16:00:00.288,11.38,11.69,11.08,11.62,178748
2011-09-13 16:00:00.288,11.69,11.69,11.23,11.69,87926
2011-09-14 16:00:00.288,11.68,11.68,10.76,10.76,259857
2011-09-15 16:00:00.288,10.84,10.84,9.48,9.62,264970
2011-09-16 16:00:00.288,9.65,9.65,8.89,9.1,241486
2011-09-19 16:00:00.288,8.89,9.33,8.89,8.97,90914
2011-09-20 16:00:00.288,8.97,9.3,8.33,8.35,123290
2011-09-21 16:00:00.288,8.33,8.82,8.2,8.66,104211
2011-09-22 16:00:00.288,8.87,8.87,8.38,8.73,118357
2011-09-23 16:00:00.288,8.87,8.87,8.35,8.38,87015
2011-09-26 16:00:00.288,8.42,8.73,7.83,8.25,103735
2011-09-27 16:00:00.288,8.39,8.79,8.27,8.73,86625
2011-09-28 16:00:00.288,9.14,9.14,8.61,8.83,147100
2011-09-29 16:00:00.288,9.05,9.14,8.22,8.78,115866
2011-09-30 16:00:00.288,8.73,8.81,8.11,8.53,569756
2011-10-03 16:00:00.288,8.4,8.71,7.96,8.06,138255
2011-10-04 16:00:00.288,7.96,8.05,7.73,7.95,150134
2011-10-05 16:00:00.288,7.91,7.95,7.74,7.95,63970
2011-10-06 16:00:00.288,7.92,8.15,7.74,8.06,68297
2011-10-07 16:00:00.288,8.04,8.25,7.8,7.87,50235
2011-10-10 16:00:00.288,8.07,8.17,7.92,8.17,86421
2011-10-11 16:00:00.288,8.1,8.27,7.83,8.18,32285
2011-10-12 16:00:00.288,8.17,8.27,7.87,7.95,95025
2011-10-13 16:00:00.288,7.83,8.03,7.8,7.87,48299
2011-10-14 16:00:00.288,8.03,8.67,7.86,8.64,98541
2011-10-17 16:00:00.288,8.61,8.64,7.84,8.23,71678
2011-10-18 16:00:00.288,8.32,9.03,8.2,9.0,129763
2011-10-19 16:00:00.288,8.92,9.3,8.26,8.32,95561
2011-10-20 16:00:00.288,8.29,8.36,8.21,8.3,42691
2011-10-21 16:00:00.288,8.47,8.89,8.22,8.43,68121
2011-10-24 16:00:00.288,8.45,8.83,8.11,8.57,162335
2011-10-25 16:00:00.288,8.58,8.62,8.25,8.43,64824
2011-10-26 16:00:00.288,8.56,9.12,8.18,9.05,103827
2011-10-27 16:00:00.288,9.36,9.93,9.12,9.6,126183
2011-10-28 16:00:00.288,9.6,9.82,9.36,9.51,57779
2011-10-31 16:00:00.288,9.36,9.53,9.04,9.26,19486
2011-11-01 16:00:00.288,8.91,9.02,8.19,8.3,119034
2011-11-02 16:00:00.288,8.61,8.7,8.27,8.56,96424
2011-11-03 16:00:00.288,9.62,10.42,8.97,9.43,564578
2011-11-04 16:00:00.288,9.37,10.44,9.29,10.18,135644
2011-11-07 16:00:00.288,10.24,10.29,9.99,10.14,83909
2011-11-08 16:00:00.288,10.26,10.28,9.98,10.09,40772
2011-11-09 16:00:00.288,9.79,9.81,9.13,9.15,86778
2011-11-10 16:00:00.288,9.36,9.63,9.22,9.35,33098
2011-11-11 16:00:00.288,9.4,9.7,9.29,9.38,49789
2011-11-14 16:00:00.288,9.31,9.56,8.86,8.91,106138
2011-11-15 16:00:00.288,8.79,9.25,8.78,9.18,32253
