Date,Open,High,Low,Close,Volume
2018-03-16 16:00:00.288,27.6,33.47,26.06,33.0,16931889
2018-03-19 16:00:00.288,31.45,31.5,26.75,27.9,5892131
2018-03-20 16:00:00.288,28.41,30.9,28.07,30.38,3262038
2018-03-21 16:00:00.288,30.79,34.83,29.29,31.08,4460935
2018-03-22 16:00:00.288,30.0,31.88,28.56,29.83,3239508
2018-03-23 16:00:00.288,30.31,30.45,28.6,29.43,1247139
2018-03-26 16:00:00.288,30.63,30.94,27.3,27.83,1916674
2018-03-27 16:00:00.288,28.0,28.6,26.6,27.75,1719509
2018-03-28 16:00:00.288,27.35,28.19,27.0,27.53,825073
2018-03-29 16:00:00.288,27.75,28.46,26.8,28.07,1137560
2018-04-02 16:00:00.288,27.9,28.66,26.81,27.06,786724
2018-04-03 16:00:00.288,27.13,27.19,26.5,26.8,787493
2018-04-04 16:00:00.288,26.35,28.95,26.32,27.97,1023806
2018-04-05 16:00:00.288,28.61,29.15,27.97,28.53,1210399
2018-04-06 16:00:00.288,28.32,29.66,28.05,28.22,737506
2018-04-09 16:00:00.288,28.47,28.7,26.5,26.54,934909
2018-04-10 16:00:00.288,27.06,28.5,26.84,28.07,1068731
2018-04-11 16:00:00.288,28.03,29.46,27.4,27.71,795273
2018-04-12 16:00:00.288,27.81,28.59,27.78,27.96,258901
2018-04-13 16:00:00.288,28.7,28.7,27.03,27.48,418341
2018-04-16 16:00:00.288,27.89,29.0,27.57,28.99,401086
2018-04-17 16:00:00.288,29.31,29.97,28.63,28.75,951462
2018-04-18 16:00:00.288,28.96,29.0,28.0,28.65,377663
2018-04-19 16:00:00.288,28.65,28.95,27.75,28.03,265498
2018-04-20 16:00:00.288,28.05,28.23,27.03,27.22,522660
2018-04-23 16:00:00.288,27.2,27.58,26.5,26.86,626825
2018-04-24 16:00:00.288,27.0,27.97,27.0,27.14,393167
2018-04-25 16:00:00.288,27.09,28.45,26.85,28.11,415697
2018-04-26 16:00:00.288,28.4,28.81,28.17,28.65,396100
2018-04-27 16:00:00.288,28.86,28.93,28.41,28.71,197167
2018-04-30 16:00:00.288,28.7,30.06,28.7,29.89,399091
2018-05-01 16:00:00.288,29.8,30.03,29.0,29.13,418632
2018-05-02 16:00:00.288,29.32,30.06,29.01,29.95,265313
2018-05-03 16:00:00.288,28.75,28.75,26.75,27.57,1937351
2018-05-04 16:00:00.288,27.58,27.96,27.58,27.86,651340
2018-05-07 16:00:00.288,28.0,28.35,27.51,27.65,470157
2018-05-08 16:00:00.288,27.65,27.91,27.27,27.53,266415
2018-05-09 16:00:00.288,27.49,27.87,27.33,27.85,325459
2018-05-10 16:00:00.288,27.85,28.82,27.5,28.18,380911
2018-05-11 16:00:00.288,28.25,29.46,28.01,29.32,604653
2018-05-14 16:00:00.288,29.37,30.1,28.41,28.47,564752
2018-05-15 16:00:00.288,28.42,28.76,27.25,27.41,753641
2018-05-16 16:00:00.288,27.53,27.8,27.07,27.09,383086
2018-05-17 16:00:00.288,27.07,28.51,26.75,27.39,676303
2018-05-18 16:00:00.288,27.4,27.81,27.21,27.28,227373
