종목코드,시가총액,거래소,섹터
brk.a,785137678125.0,NYSE,필수소비재
brk.b,776393000000.0,NYSE,필수소비재
lly,553370200000.0,NYSE,헬스케어
tsm,539387100000.0,NYSE,기술
v,525223699999.99994,NYSE,기술
jpm,491760500000.0,NYSE,금융
unh,486945400000.0,NYSE,헬스케어
nvo,471732000000.0,NYSE,헬스케어
wmt,424430600000.0,NYSE,필수소비재
ma,399970900000.0,NYSE,기술
xom,396212500000.0,NYSE,에너지
jnj,377316900000.0,NYSE,헬스케어
pg,345378100000.0,NYSE,필수소비재
hd,344908000000.0,NYSE,소비순환재
orcl,289818800000.0,NYSE,기술
cvx,281576600000.0,NYSE,에너지
mrk,276259200000.0,NYSE,헬스케어
abbv,273605300000.0,NYSE,헬스케어
bac,266455400000.00003,NYSE,금융
ko,254778800000.0,NYSE,필수소비재
crm,254719500000.0,NYSE,기술
tm,247817000000.0,NYSE,소비순환재
acn,233997300000.0,NYSE,기술
shel,229337100000.0,NYSE,에너지
mcd,215071200000.0,NYSE,소비순환재
nvs,207543800000.0,NYSE,헬스케어
tmo,205082600000.0,NYSE,헬스케어
baba,197020700000.0,NYSE,기술
abt,191088000000.0,NYSE,헬스케어
sap,180561100000.0,NYSE,기술
wfc,178749300000.0,NYSE,금융
bhp,173023100000.0,NYSE,소재
dhr,170943400000.0,NYSE,헬스케어
dis,165259200000.0,NYSE,소비순환재
nke,165233800000.0,NYSE,소비순환재
hsbc,164540600000.0,NYSE,금융
pfe,162560200000.0,NYSE,헬스케어
tte,162537500000.0,NYSE,에너지
vz,158494600000.0,NYSE,기술
ba,157693300000.0,NYSE,산업
ms,153052300000.0,NYSE,금융
cat,150521100000.0,NYSE,산업
unp,149729300000.0,NYSE,산업
ibm,149340500000.0,NYSE,기술
pm,146050400000.0,NYSE,필수소비재
now,144830500000.0,NYSE,기술
ry,141821900000.0,NYSE,금융
spgi,139556700000.0,NYSE,산업
ge,138910700000.0,NYSE,필수소비재
cop,137822400000.0,NYSE,에너지
axp,136523200000.00002,NYSE,금융
ups,133948299999.99998,NYSE,산업
bud,130273920000.0,NYSE,필수소비재
sony,128055900000.0,NYSE,기술
low,127991300000.0,NYSE,소비순환재
uber,126702300000.0,NYSE,기술
gs,125804400000.0,NYSE,금융
schw,125393200000.0,NYSE,금융
hdb,124694000000.0,NYSE,금융
nee,124620700000.0,NYSE,유틸리티
pld,123165300000.0,NYSE,부동산
ul,121927200000.0,NYSE,필수소비재
rtx,120985000000.0,NYSE,산업
blk,120765400000.0,NYSE,금융
t,119977300000.0,NYSE,기술
td,115761700000.0,NYSE,금융
syk,113763300000.0,NYSE,헬스케어
lmt,112448300000.0,NYSE,산업
de,112065700000.0,NYSE,산업
elv,110797300000.0,NYSE,헬스케어
mdt,109536900000.0,NYSE,헬스케어
mufg,109241200000.0,NYSE,금융
ubs,108911200000.0,NYSE,금융
tjx,106913100000.0,NYSE,소비순환재
bmy,104403400000.0,NYSE,헬스케어
pbr,104157900000.0,NYSE,에너지
pbr.a,103928492512.0,NYSE,에너지
bp,100661900000.0,NYSE,에너지
amt,100635700000.0,NYSE,부동산
shop,100043800000.0,NYSE,기술
eqnr,98778300000.0,NYSE,에너지
c,98450100000.0,NYSE,금융
etn,96159400000.0,NYSE,산업
mmc,93422400000.0,NYSE,금융
pgr,93185300000.0,NYSE,금융
bx,93024500000.0,NYSE,금융
cb,92205700000.0,NYSE,금융
zts,90615300000.0,NYSE,헬스케어
ci,87625000000.0,NYSE,헬스케어
bsx,84690700000.0,NYSE,헬스케어
ibn,83235200000.0,NYSE,금융
race,83016000000.0,NYSE,소비순환재
cni,81634400000.0,NYSE,산업
shw,79835800000.0,NYSE,소재
itw,78814000000.0,NYSE,필수소비재
so,76474200000.0,NYSE,유틸리티
infy,76250500000.0,NYSE,기술
vale,75793200000.0,NYSE,소재
gsk,75139100000.0,NYSE,헬스케어
relx,74929600000.0,NYSE,기술
duk,74789900000.0,NYSE,유틸리티
slb,74074800000.0,NYSE,에너지
cp,73667400000.0,NYSE,산업
ice,73508700000.0,NYSE,금융
kkr,73323000000.0,NYSE,금융
anet,73267200000.0,NYSE,기술
stla,72666400000.0,NYSE,소비순환재
hca,72450400000.0,NYSE,헬스케어
wm,72137100000.0,NYSE,산업
bti,71961600000.0,NYSE,필수소비재
mco,71472500000.0,NYSE,산업
mo,71347200000.0,NYSE,필수소비재
bmo,71334000000.0,NYSE,금융
cnq,71241600000.0,NYSE,에너지
gd,70863100000.0,NYSE,산업
bdx,70809500000.0,NYSE,헬스케어
san,70672235292.0,NYSE,금융
noc,70592100000.0,NYSE,산업
eog,70531900000.0,NYSE,에너지
itub,68138700000.0,NYSE,금융
usb,67387500000.0,NYSE,금융
tri,66601899999.99999,NYSE,산업
scco,66541600000.00001,NYSE,소재
smfg,66535100000.00001,NYSE,금융
tgt,65749899999.99999,NYSE,소비순환재
cl,65631000000.0,NYSE,필수소비재
snow,65530700000.0,NYSE,기술
fdx,63215300000.0,NYSE,산업
cmg,63005748000.0,NYSE,소비순환재
bn,62743700000.0,NYSE,금융
pnc,61683100000.0,NYSE,금융
mck,61605300000.0,NYSE,헬스케어
amx,61209000000.0,NYSE,기술
fcx,61044400000.0,NYSE,소재
apd,60840500000.0,NYSE,소재
e,60733200000.0,NYSE,에너지
mmm,60379300000.0,NYSE,필수소비재
aph,59310500000.0,NYSE,기술
ph,59188800000.0,NYSE,산업
bns,59111800000.0,NYSE,금융
psx,58575700000.0,NYSE,에너지
ing,58453800000.0,NYSE,금융
aon,58267000000.0,NYSE,금융
epd,57229000000.0,NYSE,에너지
ecl,56557500000.0,NYSE,소재
hum,56361300000.0,NYSE,헬스케어
mpc,56331900000.0,NYSE,에너지
hmc,55991200000.0,NYSE,소비순환재
tdg,55955700000.0,NYSE,산업
tt,55501100000.0,NYSE,산업
bbva,54751100000.0,NYSE,금융
dell,54437500000.0,NYSE,기술
psa,53630000000.0,NYSE,부동산
nsc,53454100000.0,NYSE,산업
ngg,53445200000.0,NYSE,유틸리티
apo,52890500000.0,NYSE,금융
oxy,52566900000.0,NYSE,에너지
pxd,52466500000.0,NYSE,에너지
el,52335100000.0,NYSE,필수소비재
msi,51963100000.0,NYSE,기술
rsg,51886700000.0,NYSE,산업
dhi,50637400000.0,NYSE,소비순환재
cci,49956600000.0,NYSE,부동산
cof,49936600000.0,NYSE,금융
crh,49525200000.0,NYSE,소재
gm,49191800000.0,NYSE,소비순환재
met,48948800000.0,NYSE,금융
f,48796000000.0,NYSE,소비순환재
bsbr,48707200000.0,NYSE,금융
ajg,48551600000.0,NYSE,금융
well,48328300000.0,NYSE,부동산
afl,48211300000.0,NYSE,금융
carr,48203200000.0,NYSE,산업
aig,47563200000.0,NYSE,금융
sq,47500100000.0,NYSE,산업
pcg,47080900000.0,NYSE,유틸리티
sre,47029700000.0,NYSE,유틸리티
hlt,46695200000.0,NYSE,소비순환재
fmx,46642200000.0,NYSE,필수소비재
spg,46535900000.0,NYSE,부동산
ew,46207500000.0,NYSE,헬스케어
stm,45682600000.0,NYSE,기술
cm,44822100000.0,NYSE,금융
tak,44776100000.0,NYSE,헬스케어
msci,44737900000.0,NYSE,산업
azo,44710100000.0,NYSE,소비순환재
stz,44406100000.0,NYSE,필수소비재
hes,44279000000.0,NYSE,에너지
