Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,22.45,22.62,22.26,22.38,2729240
2010-01-05 16:00:00.288,22.32,22.33,22.0,22.14,2994237
2010-01-06 16:00:00.288,22.06,22.17,22.0,22.06,2320299
2010-01-07 16:00:00.288,22.01,22.04,21.81,22.03,2213927
2010-01-08 16:00:00.288,21.91,22.06,21.74,22.02,2670856
2010-01-11 16:00:00.288,22.08,22.2,21.93,22.04,3420258
2010-01-12 16:00:00.288,21.85,21.92,21.61,21.77,2053677
2010-01-13 16:00:00.288,21.79,22.01,21.49,21.95,2445558
2010-01-14 16:00:00.288,21.87,22.34,21.81,22.27,4408930
2010-01-15 16:00:00.288,22.33,22.43,21.69,21.76,3309434
2010-01-19 16:00:00.288,21.71,22.05,21.7,22.02,2549092
2010-01-20 16:00:00.288,21.83,21.93,21.59,21.9,3282598
2010-01-21 16:00:00.288,22.17,22.25,21.58,21.82,4350005
2010-01-22 16:00:00.288,21.7,21.7,20.8,20.86,3049371
2010-01-25 16:00:00.288,21.04,21.2,20.9,21.06,2581167
2010-01-26 16:00:00.288,21.0,21.1,20.72,20.94,1929019
2010-01-27 16:00:00.288,20.88,20.94,20.54,20.86,3120255
2010-01-28 16:00:00.288,20.83,21.0,20.37,20.52,3532089
2010-01-29 16:00:00.288,20.69,20.86,19.97,20.04,4236738
2010-02-01 16:00:00.288,20.14,20.97,20.12,20.83,4001809
2010-02-02 16:00:00.288,20.89,21.16,20.8,21.1,4209397
2010-02-03 16:00:00.288,21.02,21.37,20.99,21.12,4353100
2010-02-04 16:00:00.288,20.95,21.06,20.69,20.79,4744169
2010-02-05 16:00:00.288,20.67,20.92,20.15,20.86,6828734
2010-02-08 16:00:00.288,20.89,21.22,20.83,20.88,4952879
2010-02-09 16:00:00.288,21.12,21.25,20.87,21.03,3684273
2010-02-10 16:00:00.288,21.07,21.09,20.65,20.92,2328789
2010-02-11 16:00:00.288,20.92,21.17,20.57,20.99,4994537
2010-02-12 16:00:00.288,21.92,21.98,21.15,21.44,8195874
2010-02-16 16:00:00.288,21.62,21.7,21.43,21.63,4692010
2010-02-17 16:00:00.288,21.71,21.98,21.55,21.9,3498637
2010-02-18 16:00:00.288,21.86,22.17,21.77,22.15,2370436
2010-02-19 16:00:00.288,22.05,22.36,21.9,22.31,2994324
2010-02-22 16:00:00.288,22.38,22.38,22.06,22.27,2888413
2010-02-23 16:00:00.288,22.23,22.28,21.83,22.06,3123874
2010-02-24 16:00:00.288,22.15,22.34,22.07,22.33,2822434
2010-02-25 16:00:00.288,22.05,22.26,21.62,22.23,3418050
2010-02-26 16:00:00.288,22.29,22.54,22.15,22.5,3346294
2010-03-01 16:00:00.288,22.48,22.98,22.48,22.95,3378802
