Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,27.1,27.28,26.96,27.23,5195706
2010-01-05 16:00:00.288,27.24,27.24,26.88,27.01,5067704
2010-01-06 16:00:00.288,26.97,27.2,26.93,27.16,5470364
2010-01-07 16:00:00.288,27.16,27.39,27.04,27.39,6169028
2010-01-08 16:00:00.288,27.38,27.63,27.34,27.53,5828978
2010-01-11 16:00:00.288,27.65,27.74,27.54,27.67,5252578
2010-01-12 16:00:00.288,27.6,27.78,27.52,27.59,5248658
2010-01-13 16:00:00.288,27.43,27.77,27.43,27.65,5056639
2010-01-14 16:00:00.288,27.61,27.81,27.5,27.68,4309726
2010-01-15 16:00:00.288,27.68,27.79,27.58,27.75,7740434
2010-01-19 16:00:00.288,27.78,28.25,27.76,28.1,7995292
2010-01-20 16:00:00.288,28.12,28.4,27.81,28.12,6756003
2010-01-21 16:00:00.288,28.11,28.25,27.5,27.78,8308732
2010-01-22 16:00:00.288,27.67,27.83,27.2,27.26,7004959
2010-01-25 16:00:00.288,27.38,27.76,27.27,27.35,4850418
2010-01-26 16:00:00.288,27.29,27.34,27.13,27.24,6628189
2010-01-27 16:00:00.288,27.05,27.07,26.58,26.95,11566888
2010-01-28 16:00:00.288,27.05,27.23,26.82,26.98,6651430
2010-01-29 16:00:00.288,27.04,27.04,26.45,26.47,9515406
2010-02-01 16:00:00.288,26.56,26.85,26.54,26.67,8817317
2010-02-02 16:00:00.288,26.65,27.3,26.6,27.22,8259322
2010-02-03 16:00:00.288,27.19,27.39,27.05,27.33,6793328
2010-02-04 16:00:00.288,27.38,27.38,26.9,26.91,9198078
2010-02-05 16:00:00.288,26.82,27.07,26.65,26.99,10817526
2010-02-08 16:00:00.288,26.93,26.98,26.66,26.68,7130338
2010-02-09 16:00:00.288,26.82,26.99,26.67,26.68,11145416
2010-02-10 16:00:00.288,26.63,26.75,26.34,26.63,7427338
2010-02-11 16:00:00.288,26.64,26.86,26.47,26.77,6435849
2010-02-12 16:00:00.288,26.6,27.0,26.56,26.97,8428125
2010-02-16 16:00:00.288,27.12,27.34,26.89,27.3,7553060
2010-02-17 16:00:00.288,27.4,27.49,27.29,27.38,6375683
2010-02-18 16:00:00.288,27.35,27.5,27.34,27.49,5359937
2010-02-19 16:00:00.288,27.44,27.45,27.04,27.19,9652055
2010-02-22 16:00:00.288,27.25,27.26,26.98,27.2,5741711
2010-02-23 16:00:00.288,27.12,27.24,26.88,26.99,6702054
2010-02-24 16:00:00.288,27.1,27.27,26.96,27.17,6784961
2010-02-25 16:00:00.288,26.99,27.1,26.81,27.06,5904284
2010-02-26 16:00:00.288,27.09,27.27,26.93,27.14,7041105
2010-03-01 16:00:00.288,27.19,27.33,27.07,27.15,4559034
2010-03-02 16:00:00.288,27.11,27.35,27.07,27.29,4999197
2010-03-03 16:00:00.288,27.3,27.42,26.96,27.04,6705509
2010-03-04 16:00:00.288,27.25,27.25,26.96,27.04,6361796
2010-03-05 16:00:00.288,27.07,27.2,27.06,27.16,7336993
2010-03-08 16:00:00.288,27.19,27.28,27.06,27.21,4311691
2010-03-09 16:00:00.288,27.1,27.48,27.07,27.4,5897238
2010-03-10 16:00:00.288,27.41,27.78,27.36,27.52,8157039
2010-03-11 16:00:00.288,27.52,27.78,27.43,27.77,5712080
