Date,Open,High,Low,Close,Volume
2014-05-02 16:00:00.288,18.21,18.75,18.0,18.6,7698177
2014-05-05 16:00:00.288,18.44,19.1,18.3,18.6,611341
2014-05-06 16:00:00.288,18.5,18.65,18.4,18.48,398344
2014-05-07 16:00:00.288,18.47,18.53,17.36,17.73,748787
2014-05-08 16:00:00.288,17.6,18.45,17.6,17.83,353244
2014-05-09 16:00:00.288,17.76,17.87,17.4,17.59,446002
2014-05-12 16:00:00.288,17.66,17.82,16.81,17.21,899717
2014-05-13 16:00:00.288,17.21,17.34,16.68,17.2,452776
2014-05-14 16:00:00.288,17.05,17.38,16.9,17.15,448936
2014-05-15 16:00:00.288,17.05,17.94,17.0,17.54,267771
2014-05-16 16:00:00.288,17.5,17.87,17.5,17.62,99989
2014-05-19 16:00:00.288,17.74,18.2,17.6,17.84,333804
2014-05-20 16:00:00.288,17.81,18.0,17.4,17.94,118997
2014-05-21 16:00:00.288,17.9,18.12,17.69,17.9,662987
2014-05-22 16:00:00.288,18.02,18.12,17.82,18.0,162812
2014-05-23 16:00:00.288,18.1,18.17,17.76,18.17,73577
2014-05-27 16:00:00.288,18.29,18.45,17.96,18.3,284350
2014-05-28 16:00:00.288,18.45,18.75,18.31,18.69,145239
2014-05-29 16:00:00.288,18.65,18.86,18.34,18.8,300028
2014-05-30 16:00:00.288,18.85,19.1,18.6,19.0,417932
2014-06-02 16:00:00.288,19.1,19.1,18.59,18.84,60548
2014-06-03 16:00:00.288,18.81,18.99,18.7,18.71,93862
2014-06-04 16:00:00.288,18.85,18.99,18.51,18.8,337096
2014-06-05 16:00:00.288,18.88,18.98,18.07,18.42,173948
2014-06-06 16:00:00.288,18.31,18.43,18.1,18.4,63875
2014-06-09 16:00:00.288,18.4,18.7,18.24,18.7,52788
2014-06-10 16:00:00.288,18.65,18.92,18.48,18.57,160026
2014-06-11 16:00:00.288,18.96,18.96,18.49,18.76,173819
2014-06-12 16:00:00.288,18.63,18.79,18.42,18.63,58408
2014-06-13 16:00:00.288,18.59,18.9,18.35,18.36,52165
2014-06-16 16:00:00.288,18.44,18.8,18.35,18.6,114230
2014-06-17 16:00:00.288,18.6,18.77,18.2,18.45,263465
2014-06-18 16:00:00.288,18.59,18.79,18.45,18.6,273062
2014-06-19 16:00:00.288,18.36,18.77,18.36,18.65,241486
2014-06-20 16:00:00.288,18.65,18.75,18.47,18.65,227707
2014-06-23 16:00:00.288,18.65,18.85,18.51,18.79,85162
2014-06-24 16:00:00.288,18.68,18.86,18.65,18.71,64943
2014-06-25 16:00:00.288,18.63,18.75,18.5,18.67,51709
2014-06-26 16:00:00.288,18.64,18.7,18.54,18.62,31053
2014-06-27 16:00:00.288,18.7,18.86,18.46,18.86,29797
2014-06-30 16:00:00.288,18.86,19.19,18.52,19.18,81161
2014-07-01 16:00:00.288,18.86,19.09,18.75,18.85,59093
2014-07-02 16:00:00.288,18.7,18.99,18.65,18.79,25963
2014-07-03 16:00:00.288,18.89,19.0,18.65,18.95,18470
2014-07-07 16:00:00.288,19.0,19.03,18.75,18.97,47213
2014-07-08 16:00:00.288,18.86,19.25,18.57,19.25,95460
2014-07-09 16:00:00.288,19.21,19.5,18.75,19.2,109606
2014-07-10 16:00:00.288,19.01,19.19,18.71,19.19,33139
2014-07-11 16:00:00.288,18.85,19.2,18.85,19.01,51044
2014-07-14 16:00:00.288,18.92,19.15,18.91,19.15,19575
2014-07-15 16:00:00.288,19.18,19.23,18.92,19.15,97284
2014-07-16 16:00:00.288,19.2,19.3,18.91,19.08,34051
2014-07-17 16:00:00.288,19.27,19.3,19.02,19.02,31711
