Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,65.95,66.54,65.91,66.51,3016534
2010-01-05 16:00:00.288,66.16,66.95,66.04,66.52,4145451
2010-01-06 16:00:00.288,66.63,67.94,66.51,67.61,3485611
2010-01-07 16:00:00.288,67.04,67.24,66.24,67.02,3030058
2010-01-08 16:00:00.288,67.03,68.03,66.72,67.94,2237252
2010-01-11 16:00:00.288,69.09,69.16,67.42,68.37,3589524
2010-01-12 16:00:00.288,66.43,66.75,65.44,66.01,3816543
2010-01-13 16:00:00.288,66.93,67.06,65.7,66.96,3538724
2010-01-14 16:00:00.288,67.64,68.02,67.09,67.46,3371044
2010-01-15 16:00:00.288,67.38,67.46,65.95,66.24,2898328
2010-01-19 16:00:00.288,66.84,67.93,66.84,67.73,3748442
2010-01-20 16:00:00.288,65.45,65.61,64.64,65.32,4628161
2010-01-21 16:00:00.288,64.53,65.03,62.1,62.45,7065673
2010-01-22 16:00:00.288,61.72,62.86,60.92,61.19,5541558
2010-01-25 16:00:00.288,62.25,62.77,61.66,61.79,3084686
2010-01-26 16:00:00.288,60.87,61.88,60.36,61.02,3991595
2010-01-27 16:00:00.288,60.76,61.21,59.85,60.72,5354660
2010-01-28 16:00:00.288,61.02,61.18,58.89,59.99,6603888
2010-01-29 16:00:00.288,59.85,60.39,57.51,57.98,6006303
2010-02-01 16:00:00.288,59.01,60.34,58.7,60.26,5376795
2010-02-02 16:00:00.288,60.87,62.23,60.34,61.95,8624858
2010-02-03 16:00:00.288,60.97,61.62,60.41,60.73,3861035
2010-02-04 16:00:00.288,59.12,59.48,57.06,57.18,7767167
2010-02-05 16:00:00.288,57.02,57.96,55.59,57.84,6573442
2010-02-08 16:00:00.288,57.41,58.24,56.6,56.75,3448647
2010-02-09 16:00:00.288,58.47,60.17,58.26,59.48,5458233
2010-02-10 16:00:00.288,58.57,59.04,57.45,58.0,4916783
2010-02-11 16:00:00.288,59.12,60.85,58.6,60.72,5345067
2010-02-12 16:00:00.288,59.33,60.52,58.99,60.29,4347138
2010-02-16 16:00:00.288,61.51,62.32,61.15,62.32,3953587
2010-02-17 16:00:00.288,63.17,63.27,61.69,62.06,4913818
2010-02-18 16:00:00.288,62.11,62.96,61.85,62.76,5079857
2010-02-19 16:00:00.288,61.72,63.09,61.67,62.64,5608376
2010-02-22 16:00:00.288,63.13,63.21,62.56,62.65,4319967
2010-02-23 16:00:00.288,62.66,63.01,61.18,61.37,8903912
2010-02-24 16:00:00.288,61.09,61.89,60.75,61.38,6862570
2010-02-25 16:00:00.288,59.33,60.6,59.09,60.55,5848437
2010-02-26 16:00:00.288,60.55,61.36,59.65,61.29,4525504
2010-03-01 16:00:00.288,61.42,62.9,61.26,62.76,4312557
2010-03-02 16:00:00.288,62.82,63.84,62.65,63.25,4458658
2010-03-03 16:00:00.288,63.72,64.77,63.55,63.86,4762741
2010-03-04 16:00:00.288,64.26,64.48,63.17,63.83,4119268
2010-03-05 16:00:00.288,64.95,66.48,64.88,66.18,5393133
2010-03-08 16:00:00.288,67.01,67.29,66.27,66.29,3661754
2010-03-09 16:00:00.288,65.33,66.38,65.33,65.92,3339483
2010-03-10 16:00:00.288,66.2,66.73,65.56,66.11,4564719
2010-03-11 16:00:00.288,65.44,65.63,64.81,65.61,2634050
2010-03-12 16:00:00.288,66.02,66.17,65.4,65.57,2164759
2010-03-15 16:00:00.288,64.95,65.12,64.19,65.0,2284827
2010-03-16 16:00:00.288,65.4,66.11,65.34,66.08,3478879
2010-03-17 16:00:00.288,66.91,67.41,66.55,66.75,4057879
2010-03-18 16:00:00.288,67.08,67.47,66.04,66.32,3535044
2010-03-19 16:00:00.288,66.5,66.61,64.54,65.03,3010407
2010-03-22 16:00:00.288,64.14,65.88,64.08,65.77,3013097
2010-03-23 16:00:00.288,66.41,67.18,66.05,67.1,3925713
2010-03-24 16:00:00.288,65.8,66.26,65.34,65.49,3163339
2010-03-25 16:00:00.288,66.31,66.7,64.86,65.0,4281854
2010-03-26 16:00:00.288,65.77,66.35,65.1,65.69,3330318
2010-03-29 16:00:00.288,66.73,67.54,66.24,67.51,4699214
2010-03-30 16:00:00.288,68.28,68.41,67.28,67.8,3438271
2010-03-31 16:00:00.288,67.15,67.71,66.91,67.14,3898886
2010-04-01 16:00:00.288,68.71,69.15,68.51,69.01,3395740
2010-04-05 16:00:00.288,69.32,69.54,68.82,69.26,2369912
2010-04-06 16:00:00.288,69.13,69.37,68.57,68.81,3361831
2010-04-07 16:00:00.288,68.12,68.36,66.97,67.52,5759863
2010-04-08 16:00:00.288,66.91,68.19,66.51,68.0,2632185
2010-04-09 16:00:00.288,68.41,68.9,68.17,68.79,2569169
2010-04-12 16:00:00.288,68.71,68.92,68.19,68.39,2140920
2010-04-13 16:00:00.288,68.15,68.31,67.17,68.02,2780851
2010-04-14 16:00:00.288,68.85,69.38,68.66,69.26,2237133
2010-04-15 16:00:00.288,68.37,69.01,68.01,68.1,3066168
2010-04-16 16:00:00.288,67.49,67.9,65.79,66.19,4345980
2010-04-19 16:00:00.288,65.2,65.92,64.69,65.71,3724170
2010-04-20 16:00:00.288,66.51,66.79,65.74,66.33,4199800
2010-04-21 16:00:00.288,65.35,65.81,64.88,65.58,4004916
2010-04-22 16:00:00.288,64.37,65.73,64.12,65.65,3688274
2010-04-23 16:00:00.288,64.36,65.35,64.23,65.28,4004712
2010-04-26 16:00:00.288,66.01,66.25,65.4,65.45,2724158
2010-04-27 16:00:00.288,64.28,64.67,62.31,62.6,5925825
2010-04-28 16:00:00.288,63.16,63.47,62.15,63.27,6121186
2010-04-29 16:00:00.288,63.75,63.89,62.95,63.19,3913809
2010-04-30 16:00:00.288,62.14,62.4,60.72,60.84,7131043
2010-05-03 16:00:00.288,60.83,60.91,59.09,59.71,8427253
2010-05-04 16:00:00.288,57.71,59.54,56.75,57.26,9830104
2010-05-05 16:00:00.288,56.86,58.49,56.79,57.86,6884217
2010-05-06 16:00:00.288,57.31,57.85,51.82,54.12,11326573
2010-05-07 16:00:00.288,55.97,56.39,53.33,55.15,7517553
2010-05-10 16:00:00.288,59.45,59.66,58.12,58.73,7782220
2010-05-11 16:00:00.288,56.64,57.92,56.54,56.99,5912298
2010-05-12 16:00:00.288,57.1,57.36,56.64,57.36,6510575
2010-05-13 16:00:00.288,57.87,58.4,57.12,57.43,4497542
2010-05-14 16:00:00.288,56.33,56.47,54.71,55.49,6945705
2010-05-17 16:00:00.288,55.34,55.68,53.56,54.81,6111759
2010-05-18 16:00:00.288,55.5,56.21,53.51,53.52,6495028
2010-05-19 16:00:00.288,52.62,53.34,51.5,52.67,7457596
2010-05-20 16:00:00.288,49.67,50.94,48.84,49.4,10637950
2010-05-21 16:00:00.288,50.28,52.55,50.02,52.27,8439737
2010-05-24 16:00:00.288,52.05,52.47,51.31,51.4,5032375
2010-05-25 16:00:00.288,49.73,51.58,49.14,51.5,6438130
2010-05-26 16:00:00.288,52.42,54.38,51.76,51.96,9038224
2010-05-27 16:00:00.288,55.03,55.94,54.4,55.94,6514873
2010-05-28 16:00:00.288,55.1,55.5,53.69,54.2,3763809
2010-06-01 16:00:00.288,53.36,54.57,52.32,52.36,3787194
2010-06-02 16:00:00.288,52.92,54.25,52.54,54.25,3881936
2010-06-03 16:00:00.288,54.58,54.6,52.29,53.25,5693721
2010-06-04 16:00:00.288,51.1,51.75,49.56,49.91,8604952
2010-06-07 16:00:00.288,50.28,50.5,48.8,48.85,4651813
2010-06-08 16:00:00.288,50.18,51.53,49.73,51.5,5839732
2010-06-09 16:00:00.288,52.01,52.9,51.16,51.44,7072509
2010-06-10 16:00:00.288,54.58,54.91,53.82,54.71,5831422
2010-06-11 16:00:00.288,53.8,54.68,53.68,54.56,3204689
2010-06-14 16:00:00.288,56.11,56.44,54.83,55.05,4259268
2010-06-15 16:00:00.288,55.94,56.82,55.58,56.7,3289872
2010-06-16 16:00:00.288,56.07,56.71,55.63,56.39,3545029
2010-06-17 16:00:00.288,56.69,56.75,55.33,56.03,4122615
2010-06-18 16:00:00.288,56.59,56.82,56.13,56.7,3344435
2010-06-21 16:00:00.288,59.24,59.43,57.68,58.02,5165517
2010-06-22 16:00:00.288,57.98,58.56,56.76,56.97,4649235
2010-06-23 16:00:00.288,57.69,58.5,56.83,58.18,6116062
2010-06-24 16:00:00.288,57.34,57.61,56.53,56.82,4625758
2010-06-25 16:00:00.288,56.08,57.1,55.37,56.83,6024406
2010-06-28 16:00:00.288,56.68,56.84,55.5,55.76,3196124
2010-06-29 16:00:00.288,54.34,54.66,52.52,52.97,6047034
2010-06-30 16:00:00.288,51.88,53.27,51.5,51.81,7109554
2010-07-01 16:00:00.288,52.47,52.68,50.93,52.17,5656675
