Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,6.82,6.89,6.69,6.7,169086
2010-01-05 16:00:00.288,6.68,6.82,6.68,6.78,148409
2010-01-06 16:00:00.288,6.78,6.84,6.75,6.81,102700
2010-01-07 16:00:00.288,6.82,6.84,6.76,6.8,159573
2010-01-08 16:00:00.288,6.8,6.87,6.75,6.77,119745
2010-01-11 16:00:00.288,6.84,6.84,6.77,6.8,128100
2010-01-12 16:00:00.288,6.79,6.88,6.7,6.75,106510
2010-01-13 16:00:00.288,6.8,6.87,6.76,6.8,184999
2010-01-14 16:00:00.288,6.84,6.86,6.77,6.79,92003
2010-01-15 16:00:00.288,6.8,6.82,6.64,6.67,124725
2010-01-19 16:00:00.288,6.69,6.92,6.69,6.83,159377
2010-01-20 16:00:00.288,6.84,6.88,6.73,6.76,117639
2010-01-21 16:00:00.288,6.8,6.8,6.61,6.62,123363
2010-01-22 16:00:00.288,6.65,6.7,6.49,6.53,106132
2010-01-25 16:00:00.288,6.59,6.62,6.46,6.47,102437
2010-01-26 16:00:00.288,6.45,6.54,6.45,6.48,50284
2010-01-27 16:00:00.288,6.49,6.49,6.37,6.48,110847
2010-01-28 16:00:00.288,6.45,6.51,6.41,6.46,88786
2010-01-29 16:00:00.288,6.49,6.49,6.39,6.4,70494
2010-02-01 16:00:00.288,6.45,6.48,6.43,6.47,110209
2010-02-02 16:00:00.288,6.53,6.54,6.47,6.52,78643
2010-02-03 16:00:00.288,6.54,6.54,6.45,6.51,173828
2010-02-04 16:00:00.288,6.48,6.48,6.39,6.42,68298
2010-02-05 16:00:00.288,6.41,6.46,6.35,6.44,108849
2010-02-08 16:00:00.288,6.48,6.68,6.48,6.62,121227
2010-02-09 16:00:00.288,6.68,6.69,6.55,6.65,83013
2010-02-10 16:00:00.288,6.66,6.7,6.59,6.66,189410
2010-02-11 16:00:00.288,6.68,6.71,6.64,6.7,99049
2010-02-12 16:00:00.288,6.67,6.71,6.63,6.67,88744
2010-02-16 16:00:00.288,6.68,6.8,6.68,6.78,64630
2010-02-17 16:00:00.288,6.83,6.83,6.74,6.78,168982
2010-02-18 16:00:00.288,6.81,6.82,6.76,6.79,106775
2010-02-19 16:00:00.288,6.77,6.81,6.71,6.81,103334
2010-02-22 16:00:00.288,6.83,6.85,6.78,6.85,88194
2010-02-23 16:00:00.288,6.81,6.86,6.76,6.78,126276
2010-02-24 16:00:00.288,6.72,6.78,6.65,6.66,91371
2010-02-25 16:00:00.288,6.61,6.68,6.58,6.66,83706
2010-02-26 16:00:00.288,6.69,6.69,6.56,6.59,115783
2010-03-01 16:00:00.288,6.65,6.69,6.59,6.69,70164
2010-03-02 16:00:00.288,6.71,6.77,6.71,6.76,77602
2010-03-03 16:00:00.288,6.78,6.79,6.75,6.77,55039
2010-03-04 16:00:00.288,6.8,6.82,6.74,6.82,70454
2010-03-05 16:00:00.288,6.87,6.93,6.8,6.81,113246
2010-03-08 16:00:00.288,6.82,6.91,6.81,6.9,160053
2010-03-09 16:00:00.288,6.87,6.91,6.86,6.91,69831
2010-03-10 16:00:00.288,6.95,6.95,6.84,6.9,120234
2010-03-11 16:00:00.288,6.9,6.95,6.85,6.91,77334
2010-03-12 16:00:00.288,6.91,7.04,6.91,6.96,88357
2010-03-15 16:00:00.288,6.93,7.04,6.93,7.0,51675
2010-03-16 16:00:00.288,7.04,7.12,6.99,7.11,91563
2010-03-17 16:00:00.288,7.14,7.26,7.1,7.23,77303
2010-03-18 16:00:00.288,7.21,7.28,7.19,7.22,97264
2010-03-19 16:00:00.288,7.22,7.23,7.1,7.23,122322
2010-03-22 16:00:00.288,7.18,7.37,7.15,7.37,149431
2010-03-23 16:00:00.288,7.37,7.41,7.28,7.33,79586
2010-03-24 16:00:00.288,7.35,7.35,7.21,7.22,71523
2010-03-25 16:00:00.288,7.25,7.27,7.13,7.14,120661
2010-03-26 16:00:00.288,7.18,7.18,6.91,6.99,158725
2010-03-29 16:00:00.288,6.99,7.04,6.81,6.88,199965
2010-03-30 16:00:00.288,6.94,6.95,6.86,6.92,71320
2010-03-31 16:00:00.288,6.93,7.1,6.93,7.04,85471
2010-04-01 16:00:00.288,7.08,7.21,7.08,7.21,72473
2010-04-05 16:00:00.288,7.18,7.25,7.18,7.25,87888
2010-04-06 16:00:00.288,7.25,7.3,7.25,7.29,103308
2010-04-07 16:00:00.288,7.32,7.35,7.12,7.14,64077
2010-04-08 16:00:00.288,7.14,7.2,7.02,7.04,67955
