Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,9.03,9.05,8.93,9.01,718768
2010-01-05 16:00:00.288,8.98,8.99,8.85,8.94,850924
2010-01-06 16:00:00.288,8.91,8.96,8.82,8.86,1189392
2010-01-07 16:00:00.288,8.87,8.9,8.8,8.87,1069497
2010-01-08 16:00:00.288,8.86,8.86,8.78,8.82,565237
2010-01-11 16:00:00.288,8.88,8.89,8.83,8.86,753984
2010-01-12 16:00:00.288,8.84,8.89,8.82,8.87,844834
2010-01-13 16:00:00.288,8.87,8.93,8.82,8.92,1728553
2010-01-14 16:00:00.288,8.88,8.96,8.87,8.96,875289
2010-01-15 16:00:00.288,8.95,8.95,8.87,8.89,775200
2010-01-19 16:00:00.288,8.86,8.93,8.86,8.93,818766
2010-01-20 16:00:00.288,8.86,8.91,8.83,8.9,864843
2010-01-21 16:00:00.288,8.9,8.99,8.86,8.97,1105996
2010-01-22 16:00:00.288,8.98,9.05,8.9,8.95,988363
2010-01-25 16:00:00.288,9.02,9.02,8.9,8.95,641370
2010-01-26 16:00:00.288,8.96,9.0,8.9,8.91,568719
2010-01-27 16:00:00.288,8.93,8.98,8.82,8.9,1049792
2010-01-28 16:00:00.288,8.94,8.94,8.75,8.81,1027350
2010-01-29 16:00:00.288,8.82,8.85,8.8,8.8,688848
2010-02-01 16:00:00.288,8.8,8.85,8.78,8.81,741262
2010-02-02 16:00:00.288,8.8,8.88,8.79,8.88,442670
2010-02-03 16:00:00.288,8.86,8.94,8.82,8.92,700025
2010-02-04 16:00:00.288,8.9,9.01,8.82,8.93,891356
2010-02-05 16:00:00.288,8.91,8.98,8.83,8.88,1093933
2010-02-08 16:00:00.288,8.88,8.99,8.81,8.88,888992
2010-02-09 16:00:00.288,8.94,8.96,8.85,8.88,789257
2010-02-10 16:00:00.288,8.85,8.87,8.79,8.85,689136
2010-02-11 16:00:00.288,8.84,8.88,8.79,8.85,825871
2010-02-12 16:00:00.288,8.79,8.86,8.79,8.85,657770
2010-02-16 16:00:00.288,8.78,8.78,8.24,8.28,2565714
2010-02-17 16:00:00.288,8.27,8.32,8.16,8.27,2031011
2010-02-18 16:00:00.288,8.25,8.29,8.22,8.25,1343791
2010-02-19 16:00:00.288,8.32,8.4,8.2,8.36,2574494
2010-02-22 16:00:00.288,8.38,8.39,8.33,8.38,1418119
2010-02-23 16:00:00.288,8.37,8.48,8.34,8.41,937222
2010-02-24 16:00:00.288,8.41,8.49,8.38,8.48,646475
2010-02-25 16:00:00.288,8.41,8.49,8.4,8.45,620344
2010-02-26 16:00:00.288,8.44,8.47,8.32,8.39,1152335
2010-03-01 16:00:00.288,8.4,8.51,8.37,8.42,678417
2010-03-02 16:00:00.288,8.41,8.46,8.37,8.46,376606
2010-03-03 16:00:00.288,8.47,8.56,8.44,8.54,733585
2010-03-04 16:00:00.288,8.57,8.62,8.48,8.59,751944
2010-03-05 16:00:00.288,8.62,8.7,8.57,8.68,1059884
2010-03-08 16:00:00.288,8.65,8.71,8.62,8.65,506842
2010-03-09 16:00:00.288,8.62,8.75,8.57,8.72,750911
2010-03-10 16:00:00.288,8.69,8.78,8.61,8.78,740717
2010-03-11 16:00:00.288,8.73,8.87,8.7,8.84,783962
2010-03-12 16:00:00.288,8.86,8.9,8.76,8.84,687015
2010-03-15 16:00:00.288,8.84,8.87,8.77,8.85,619352
2010-03-16 16:00:00.288,8.84,8.88,8.81,8.87,229737
2010-03-17 16:00:00.288,8.91,8.97,8.79,8.94,350106
2010-03-18 16:00:00.288,8.92,8.98,8.88,8.97,472832
2010-03-19 16:00:00.288,8.97,8.99,8.78,8.99,884077
2010-03-22 16:00:00.288,8.97,9.03,8.9,8.96,340597
2010-03-23 16:00:00.288,8.97,9.0,8.89,9.0,444755
2010-03-24 16:00:00.288,8.97,9.04,8.94,8.98,373247
2010-03-25 16:00:00.288,9.0,9.05,8.93,8.93,533575
2010-03-26 16:00:00.288,8.93,8.99,8.89,8.9,545465
2010-03-29 16:00:00.288,8.92,8.95,8.86,8.91,703054
2010-03-30 16:00:00.288,8.94,9.0,8.87,8.99,498958
2010-03-31 16:00:00.288,8.96,9.03,8.93,8.96,481460
2010-04-01 16:00:00.288,8.97,8.99,8.82,8.87,403077
2010-04-05 16:00:00.288,8.87,8.91,8.83,8.9,469079
2010-04-06 16:00:00.288,8.82,8.96,8.82,8.96,493343
2010-04-07 16:00:00.288,8.92,8.99,8.89,8.99,570759
2010-04-08 16:00:00.288,8.99,9.05,8.96,9.05,555315
2010-04-09 16:00:00.288,9.05,9.15,9.01,9.15,489798
2010-04-12 16:00:00.288,9.1,9.22,9.08,9.21,602583
2010-04-13 16:00:00.288,9.21,9.31,9.19,9.29,467919
2010-04-14 16:00:00.288,9.35,9.41,9.31,9.4,907842
2010-04-15 16:00:00.288,9.37,9.55,9.36,9.43,701171
2010-04-16 16:00:00.288,9.4,9.44,9.28,9.3,780088
2010-04-19 16:00:00.288,9.26,9.48,9.22,9.45,863872
2010-04-20 16:00:00.288,9.45,9.82,9.36,9.77,2044371
2010-04-21 16:00:00.288,9.76,9.76,9.65,9.73,1368208
2010-04-22 16:00:00.288,9.7,9.9,9.67,9.9,1614363
2010-04-23 16:00:00.288,9.91,10.03,9.84,10.02,1090052
2010-04-26 16:00:00.288,9.99,10.03,9.9,9.93,955011
2010-04-27 16:00:00.288,9.87,9.94,9.8,9.85,1636201
2010-04-28 16:00:00.288,9.88,10.01,9.8,9.9,1499344
2010-04-29 16:00:00.288,9.98,10.13,9.94,10.13,1038605
2010-04-30 16:00:00.288,10.13,10.15,10.02,10.07,1345727
2010-05-03 16:00:00.288,10.05,10.12,9.99,10.07,865440
2010-05-04 16:00:00.288,10.01,10.07,9.95,10.02,1221528
2010-05-05 16:00:00.288,9.93,10.07,9.87,9.88,1280593
2010-05-06 16:00:00.288,9.85,9.93,5.75,9.49,1898531
2010-05-07 16:00:00.288,9.51,9.65,9.43,9.51,2572096
2010-05-10 16:00:00.288,9.62,9.75,9.61,9.73,1320441
2010-05-11 16:00:00.288,9.64,9.85,9.63,9.79,722653
2010-05-12 16:00:00.288,9.84,9.96,9.74,9.91,744372
2010-05-13 16:00:00.288,9.87,9.99,9.86,9.91,1340622
2010-05-14 16:00:00.288,9.87,9.92,9.7,9.76,878006
2010-05-17 16:00:00.288,9.79,9.9,9.7,9.88,1058334
2010-05-18 16:00:00.288,9.97,9.97,9.76,9.77,965846
2010-05-19 16:00:00.288,9.73,9.88,9.68,9.82,1321868
2010-05-20 16:00:00.288,9.68,9.75,9.52,9.54,1624657
2010-05-21 16:00:00.288,9.46,9.58,9.4,9.55,1369799
2010-05-24 16:00:00.288,9.55,9.72,9.43,9.57,1006740
2010-05-25 16:00:00.288,9.39,9.51,9.29,9.49,1361355
2010-05-26 16:00:00.288,9.56,9.66,9.52,9.55,827696
2010-05-27 16:00:00.288,9.67,9.88,9.6,9.87,1038816
2010-05-28 16:00:00.288,9.85,9.9,9.79,9.8,828763
2010-06-01 16:00:00.288,9.73,9.87,9.67,9.68,650235
2010-06-02 16:00:00.288,9.73,9.79,9.64,9.79,530568
2010-06-03 16:00:00.288,9.79,9.96,9.77,9.91,761935
2010-06-04 16:00:00.288,9.82,9.85,9.64,9.65,1204448
2010-06-07 16:00:00.288,9.7,9.74,9.48,9.48,1054715
2010-06-08 16:00:00.288,9.51,9.53,9.32,9.52,1122868
2010-06-09 16:00:00.288,9.54,9.55,9.35,9.39,1034022
2010-06-10 16:00:00.288,9.66,9.8,9.6,9.8,1397595
2010-06-11 16:00:00.288,9.71,9.86,9.67,9.86,380096
2010-06-14 16:00:00.288,9.9,10.03,9.83,10.0,908527
2010-06-15 16:00:00.288,10.02,10.21,9.96,10.2,732788
2010-06-16 16:00:00.288,10.18,10.22,10.1,10.13,737011
2010-06-17 16:00:00.288,10.11,10.13,10.03,10.09,731201
2010-06-18 16:00:00.288,10.1,10.15,10.05,10.11,774635
2010-06-21 16:00:00.288,10.2,10.2,10.03,10.06,812148
2010-06-22 16:00:00.288,10.08,10.09,9.92,9.93,956996
2010-06-23 16:00:00.288,9.9,9.97,9.82,9.89,414405
2010-06-24 16:00:00.288,9.82,9.96,9.81,9.86,680071
2010-06-25 16:00:00.288,9.86,9.97,9.82,9.9,1981572
2010-06-28 16:00:00.288,9.92,9.99,9.88,9.9,864483
2010-06-29 16:00:00.288,9.79,9.8,9.64,9.68,1259994
2010-06-30 16:00:00.288,9.66,9.7,9.54,9.57,967598
2010-07-01 16:00:00.288,9.59,9.64,9.48,9.57,1721243
2010-07-02 16:00:00.288,9.6,9.64,9.44,9.45,746838
2010-07-06 16:00:00.288,9.54,9.68,9.44,9.48,690932
2010-07-07 16:00:00.288,9.52,9.64,9.47,9.64,785588
2010-07-08 16:00:00.288,9.7,9.71,9.57,9.69,637817
2010-07-09 16:00:00.288,9.68,9.74,9.64,9.74,359601
2010-07-12 16:00:00.288,9.69,9.73,9.57,9.65,430449
2010-07-13 16:00:00.288,9.73,9.97,9.68,9.96,784064
2010-07-14 16:00:00.288,9.93,9.93,9.82,9.83,414977
2010-07-15 16:00:00.288,9.82,9.84,9.68,9.74,469282
2010-07-16 16:00:00.288,9.7,9.75,9.46,9.48,721485
2010-07-19 16:00:00.288,9.53,9.56,9.45,9.54,685815
2010-07-20 16:00:00.288,9.69,10.01,9.63,10.0,1909952
2010-07-21 16:00:00.288,10.02,10.05,9.7,9.73,1243060
2010-07-22 16:00:00.288,10.02,10.1,9.92,10.05,1552560
2010-07-23 16:00:00.288,9.99,10.14,9.99,10.1,1039065
2010-07-26 16:00:00.288,10.13,10.18,10.07,10.12,755709
2010-07-27 16:00:00.288,10.15,10.15,9.94,10.0,1125053
2010-07-28 16:00:00.288,10.0,10.02,9.97,9.99,646292
2010-07-29 16:00:00.288,10.07,10.1,9.84,9.97,517906
2010-07-30 16:00:00.288,9.89,10.04,9.82,10.01,738840
2010-08-02 16:00:00.288,10.1,10.12,9.99,10.06,952837
2010-08-03 16:00:00.288,10.05,10.06,9.91,9.95,597222
