Date,Open,High,Low,Close,Volume
2013-10-02 16:00:00.288,23.05,25.65,22.61,25.01,15051439
2013-10-03 16:00:00.288,25.1,26.44,24.56,24.86,1125872
2013-10-04 16:00:00.288,24.9,26.46,24.51,25.89,808520
2013-10-07 16:00:00.288,26.16,27.9,25.91,26.77,575873
2013-10-08 16:00:00.288,26.9,27.0,25.38,25.9,363407
2013-10-09 16:00:00.288,25.64,26.1,25.14,25.52,410046
2013-10-10 16:00:00.288,26.04,26.63,24.52,25.98,394244
2013-10-11 16:00:00.288,25.98,26.77,25.51,26.68,159675
2013-10-14 16:00:00.288,26.4,27.72,26.0,27.53,241051
2013-10-15 16:00:00.288,27.4,27.82,26.78,27.71,158864
2013-10-16 16:00:00.288,28.0,28.0,27.08,27.26,169604
2013-10-17 16:00:00.288,27.37,27.67,26.69,26.82,142995
2013-10-18 16:00:00.288,26.85,27.0,26.24,26.43,362878
2013-10-21 16:00:00.288,26.0,27.25,26.0,26.41,85149
2013-10-22 16:00:00.288,26.0,26.85,25.68,26.25,215702
2013-10-23 16:00:00.288,25.98,26.84,25.55,25.75,182380
2013-10-24 16:00:00.288,25.75,26.01,25.52,26.01,86113
2013-10-25 16:00:00.288,25.86,26.52,25.86,26.43,116602
2013-10-28 16:00:00.288,26.27,26.84,25.87,26.75,121053
2013-10-29 16:00:00.288,26.65,27.18,26.1,26.86,94405
2013-10-30 16:00:00.288,26.5,27.1,26.16,26.87,62944
2013-10-31 16:00:00.288,27.06,27.06,26.47,26.79,79899
2013-11-01 16:00:00.288,26.93,27.26,26.54,27.16,82509
2013-11-04 16:00:00.288,27.18,27.99,27.0,27.16,135646
2013-11-05 16:00:00.288,27.53,27.53,26.87,27.07,175259
2013-11-06 16:00:00.288,27.18,27.72,26.91,26.95,262397
2013-11-07 16:00:00.288,27.03,27.6,26.78,26.92,241548
2013-11-08 16:00:00.288,27.04,27.42,26.15,27.17,84663
2013-11-11 16:00:00.288,27.41,27.95,26.61,27.05,434842
2013-11-12 16:00:00.288,26.96,29.19,26.96,27.75,293906
2013-11-13 16:00:00.288,27.78,29.39,27.07,28.94,576754
2013-11-14 16:00:00.288,29.52,30.22,29.0,29.84,429526
2013-11-15 16:00:00.288,30.32,30.36,29.5,30.18,147567
2013-11-18 16:00:00.288,30.37,30.53,29.24,29.45,246987
2013-11-19 16:00:00.288,29.27,29.99,29.04,29.79,45940
2013-11-20 16:00:00.288,29.77,30.59,29.25,29.9,420889
