Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,27.53,27.74,27.24,27.42,552768
2010-01-05 16:00:00.288,27.5,27.77,27.38,27.69,897589
2010-01-06 16:00:00.288,27.76,28.02,27.69,27.69,649722
2010-01-07 16:00:00.288,27.63,27.8,27.1,27.45,858034
2010-01-08 16:00:00.288,27.46,28.57,27.46,28.37,2021835
2010-01-11 16:00:00.288,28.5,28.61,28.03,28.25,1693293
2010-01-12 16:00:00.288,27.97,28.05,27.39,27.75,1073273
2010-01-13 16:00:00.288,27.75,27.92,27.45,27.67,509615
2010-01-14 16:00:00.288,27.57,27.64,27.01,27.08,996608
2010-01-15 16:00:00.288,27.07,27.09,26.4,26.83,1063594
2010-01-19 16:00:00.288,26.74,26.78,26.39,26.58,697029
2010-01-20 16:00:00.288,26.11,26.29,25.83,26.27,989727
2010-01-21 16:00:00.288,26.37,26.75,26.07,26.54,1093174
2010-01-22 16:00:00.288,26.41,26.56,26.03,26.13,1184780
2010-01-25 16:00:00.288,26.39,26.39,25.91,26.13,940564
2010-01-26 16:00:00.288,26.07,26.28,25.72,26.12,895389
2010-01-27 16:00:00.288,25.89,26.3,25.67,26.25,1665985
2010-01-28 16:00:00.288,26.38,26.61,25.6,25.62,694700
2010-01-29 16:00:00.288,25.62,25.82,24.77,24.97,1059862
2010-02-01 16:00:00.288,25.03,25.6,25.01,25.55,856125
2010-02-02 16:00:00.288,25.66,25.9,25.46,25.71,583269
2010-02-03 16:00:00.288,25.61,25.73,25.33,25.49,663953
2010-02-04 16:00:00.288,25.32,25.32,24.74,24.81,809867
2010-02-05 16:00:00.288,24.83,25.03,24.62,24.99,873213
2010-02-08 16:00:00.288,24.83,24.99,24.58,24.58,794983
2010-02-09 16:00:00.288,24.84,25.49,24.77,25.2,1164287
2010-02-10 16:00:00.288,25.27,25.58,25.09,25.42,808854
2010-02-11 16:00:00.288,25.44,25.81,25.41,25.7,1072000
2010-02-12 16:00:00.288,25.51,25.74,25.39,25.7,666205
2010-02-16 16:00:00.288,25.81,26.11,25.76,26.03,610297
2010-02-17 16:00:00.288,26.02,26.31,26.02,26.19,717838
2010-02-18 16:00:00.288,26.29,26.42,26.08,26.41,528388
2010-02-19 16:00:00.288,26.23,26.68,26.12,26.6,693669
2010-02-22 16:00:00.288,26.77,26.86,26.47,26.65,1424320
2010-02-23 16:00:00.288,26.67,26.67,26.05,26.27,701571
2010-02-24 16:00:00.288,26.4,26.5,26.05,26.25,686290
2010-02-25 16:00:00.288,25.88,26.3,25.56,26.27,798541
2010-02-26 16:00:00.288,26.24,26.4,25.88,26.33,970537
2010-03-01 16:00:00.288,26.49,26.99,26.35,26.93,895521
2010-03-02 16:00:00.288,27.12,27.5,27.07,27.42,1215949
2010-03-03 16:00:00.288,27.56,27.73,27.48,27.56,658426
2010-03-04 16:00:00.288,27.6,27.7,27.39,27.5,912368
2010-03-05 16:00:00.288,27.75,28.14,27.64,28.13,1411029
2010-03-08 16:00:00.288,28.12,28.14,27.83,27.94,1162854
2010-03-09 16:00:00.288,27.85,28.25,27.82,28.15,1085637
2010-03-10 16:00:00.288,28.12,28.28,27.85,28.01,1046075
2010-03-11 16:00:00.288,27.88,28.35,27.81,28.3,1238499
2010-03-12 16:00:00.288,28.46,28.68,28.41,28.57,1030928
2010-03-15 16:00:00.288,28.55,28.73,28.36,28.64,650969
2010-03-16 16:00:00.288,28.64,29.15,28.56,29.05,1315205
2010-03-17 16:00:00.288,29.07,29.37,29.07,29.19,829305
2010-03-18 16:00:00.288,29.16,29.42,29.07,29.25,856255
2010-03-19 16:00:00.288,29.39,29.64,29.29,29.44,1257081
2010-03-22 16:00:00.288,29.08,29.79,29.05,29.64,887477
2010-03-23 16:00:00.288,29.71,29.98,29.24,29.41,1053010
2010-03-24 16:00:00.288,29.23,29.59,29.06,29.38,1406929
2010-03-25 16:00:00.288,29.65,30.47,29.65,29.91,1369689
2010-03-26 16:00:00.288,29.84,30.14,29.78,30.07,1085125
2010-03-29 16:00:00.288,30.19,30.47,29.96,30.28,650263
2010-03-30 16:00:00.288,30.38,30.71,30.38,30.5,687337
2010-03-31 16:00:00.288,30.45,30.45,30.0,30.3,803492
2010-04-01 16:00:00.288,30.55,30.73,30.45,30.61,701973
2010-04-05 16:00:00.288,30.72,31.22,30.64,30.99,759917
2010-04-06 16:00:00.288,31.0,31.0,30.63,30.69,725810
2010-04-07 16:00:00.288,30.59,30.6,30.08,30.32,954089
2010-04-08 16:00:00.288,30.2,30.82,30.03,30.76,941165
2010-04-09 16:00:00.288,30.7,30.77,30.33,30.47,727484
2010-04-12 16:00:00.288,30.24,30.41,30.13,30.23,998104
2010-04-13 16:00:00.288,30.13,30.95,30.13,30.8,912293
2010-04-14 16:00:00.288,31.05,31.3,30.99,31.21,1094793
2010-04-15 16:00:00.288,31.27,31.79,31.16,31.68,952309
2010-04-16 16:00:00.288,31.64,31.64,30.8,30.99,1055778
2010-04-19 16:00:00.288,30.67,30.84,30.4,30.81,907510
2010-04-20 16:00:00.288,31.31,31.93,31.29,31.5,1211695
2010-04-21 16:00:00.288,31.65,31.74,31.2,31.35,1355052
2010-04-22 16:00:00.288,31.02,31.35,30.75,31.34,957800
2010-04-23 16:00:00.288,31.23,31.57,31.12,31.45,570322
2010-04-26 16:00:00.288,31.44,31.86,31.4,31.71,1007806
2010-04-27 16:00:00.288,31.18,31.18,30.31,30.55,2172595
2010-04-28 16:00:00.288,30.64,30.71,30.02,30.35,1734584
2010-04-29 16:00:00.288,30.57,31.2,30.57,31.08,861660
2010-04-30 16:00:00.288,30.89,31.11,29.9,29.9,1307055
2010-05-03 16:00:00.288,30.13,30.6,30.13,30.36,844646
2010-05-04 16:00:00.288,29.96,29.96,29.15,29.4,1245788
2010-05-05 16:00:00.288,28.94,29.2,28.4,28.75,1660847
2010-05-06 16:00:00.288,28.45,28.74,26.5,27.99,2351469
2010-05-07 16:00:00.288,28.08,28.32,27.33,27.84,2362213
2010-05-10 16:00:00.288,29.22,29.78,29.04,29.66,1450847
2010-05-11 16:00:00.288,29.31,30.11,29.3,29.75,1500414
2010-05-12 16:00:00.288,30.04,30.66,29.9,30.58,1075688
2010-05-13 16:00:00.288,30.59,30.73,30.13,30.27,860935
2010-05-14 16:00:00.288,30.11,30.11,29.24,29.56,914515
2010-05-17 16:00:00.288,29.67,29.75,28.64,29.41,1128556
2010-05-18 16:00:00.288,30.07,30.21,29.1,29.21,1111060
2010-05-19 16:00:00.288,28.88,29.21,28.32,28.78,1693060
2010-05-20 16:00:00.288,27.84,28.08,27.35,27.35,2201884
2010-05-21 16:00:00.288,26.85,28.39,26.64,28.19,2363529
2010-05-24 16:00:00.288,28.09,28.9,28.09,28.36,994186
2010-05-25 16:00:00.288,27.47,28.08,27.0,28.0,2118495
2010-05-26 16:00:00.288,28.37,29.03,28.13,28.41,1706160
2010-05-27 16:00:00.288,28.88,29.14,28.71,28.96,1307489
2010-05-28 16:00:00.288,29.0,29.49,28.64,28.69,1796970
2010-06-01 16:00:00.288,29.11,29.43,28.35,28.68,1987032
2010-06-02 16:00:00.288,28.98,29.47,28.57,29.45,1351850
2010-06-03 16:00:00.288,29.51,29.84,29.14,29.57,1517324
2010-06-04 16:00:00.288,28.96,29.18,28.2,28.29,1310871
2010-06-07 16:00:00.288,28.0,28.59,27.75,27.81,1630662
2010-06-08 16:00:00.288,28.01,28.38,27.61,28.28,1489125
2010-06-09 16:00:00.288,28.57,29.23,28.41,28.52,1592784
2010-06-10 16:00:00.288,28.95,29.94,28.95,29.91,1262256
2010-06-11 16:00:00.288,29.49,30.18,29.42,30.18,1420082
2010-06-14 16:00:00.288,30.35,30.78,29.98,30.0,1232207
2010-06-15 16:00:00.288,30.14,30.8,30.14,30.8,1488727
2010-06-16 16:00:00.288,30.53,31.24,30.53,31.04,1156176
2010-06-17 16:00:00.288,30.97,31.26,30.62,31.23,1772943
2010-06-18 16:00:00.288,31.3,31.52,31.23,31.25,832347
2010-06-21 16:00:00.288,31.51,31.93,31.25,31.37,817935
2010-06-22 16:00:00.288,31.35,31.42,30.28,30.35,1316290
2010-06-23 16:00:00.288,30.4,30.4,29.72,29.9,1283799
2010-06-24 16:00:00.288,29.63,30.01,29.4,29.61,1133576
2010-06-25 16:00:00.288,29.81,30.5,29.61,30.24,1275114
2010-06-28 16:00:00.288,30.32,30.6,30.11,30.16,796575
2010-06-29 16:00:00.288,29.65,29.85,28.77,28.96,1363537
2010-06-30 16:00:00.288,28.7,29.2,28.6,28.69,906376
2010-07-01 16:00:00.288,28.75,29.08,28.17,28.85,1041169
2010-07-02 16:00:00.288,28.92,29.16,28.32,28.43,978780
2010-07-06 16:00:00.288,28.78,29.05,28.03,28.37,1053951
2010-07-07 16:00:00.288,28.46,29.0,28.4,29.0,957629
2010-07-08 16:00:00.288,29.23,29.41,28.92,29.21,871294
2010-07-09 16:00:00.288,29.1,29.44,29.01,29.32,2031959
2010-07-12 16:00:00.288,29.3,29.5,29.16,29.48,774095
2010-07-13 16:00:00.288,29.75,30.32,29.56,29.9,1306101
2010-07-14 16:00:00.288,30.28,30.3,29.86,30.02,910522
2010-07-15 16:00:00.288,30.12,30.75,29.88,30.67,1586343
2010-07-16 16:00:00.288,30.54,30.54,29.47,29.61,1307652
2010-07-19 16:00:00.288,29.69,29.93,29.28,29.6,624882
2010-07-20 16:00:00.288,29.25,30.14,29.16,30.08,769778
2010-07-21 16:00:00.288,30.23,30.35,29.25,29.55,742268
2010-07-22 16:00:00.288,30.14,30.88,29.97,30.65,1075536
2010-07-23 16:00:00.288,30.61,31.36,30.55,31.32,1428421
2010-07-26 16:00:00.288,31.28,31.63,31.28,31.37,1181839
2010-07-27 16:00:00.288,31.66,31.72,30.87,30.94,1089644
2010-07-28 16:00:00.288,30.89,31.12,30.63,31.03,1204705
2010-07-29 16:00:00.288,31.22,31.48,30.98,31.36,901837
2010-07-30 16:00:00.288,31.04,31.65,30.74,31.49,1210279
2010-08-02 16:00:00.288,31.92,32.48,31.66,32.32,1367032
2010-08-03 16:00:00.288,32.07,32.83,32.01,32.71,2551623
2010-08-04 16:00:00.288,32.74,32.82,32.46,32.69,916641
2010-08-05 16:00:00.288,32.56,33.03,32.47,32.85,916457
2010-08-06 16:00:00.288,32.5,32.78,31.9,32.1,1686697
2010-08-09 16:00:00.288,32.21,32.35,31.83,32.13,847249
2010-08-10 16:00:00.288,31.74,32.11,31.44,32.02,978911
2010-08-11 16:00:00.288,31.3,31.41,30.4,30.57,1186532
2010-08-12 16:00:00.288,30.17,30.47,29.77,30.32,1026108
2010-08-13 16:00:00.288,30.39,30.58,30.14,30.3,621878
2010-08-16 16:00:00.288,30.21,30.24,29.94,30.08,643889
2010-08-17 16:00:00.288,30.47,31.15,30.35,30.8,734422
2010-08-18 16:00:00.288,31.02,31.41,30.73,31.21,939698
2010-08-19 16:00:00.288,31.13,31.13,30.26,30.52,1104943
2010-08-20 16:00:00.288,30.36,30.37,29.81,30.32,846054
2010-08-23 16:00:00.288,30.46,30.5,29.81,29.85,749312
2010-08-24 16:00:00.288,29.47,29.78,29.06,29.47,1060093
2010-08-25 16:00:00.288,29.13,29.87,28.97,29.78,1006652
2010-08-26 16:00:00.288,30.01,30.3,29.68,29.85,935197
2010-08-27 16:00:00.288,30.09,31.03,29.84,30.91,1310455
2010-08-30 16:00:00.288,30.85,31.25,30.42,30.44,787028
2010-08-31 16:00:00.288,30.26,30.92,30.13,30.51,924570
2010-09-01 16:00:00.288,31.07,31.7,30.99,31.48,857600
2010-09-02 16:00:00.288,31.72,31.85,31.43,31.74,802605
2010-09-03 16:00:00.288,32.09,32.6,32.01,32.31,1020967
2010-09-07 16:00:00.288,31.74,32.31,31.74,31.9,721339
2010-09-08 16:00:00.288,32.15,32.65,32.05,32.12,841003
2010-09-09 16:00:00.288,32.47,32.48,31.42,31.57,1033143
2010-09-10 16:00:00.288,31.61,31.74,31.37,31.53,985237
2010-09-13 16:00:00.288,31.96,32.01,31.65,31.89,671214
2010-09-14 16:00:00.288,31.91,32.38,31.76,32.07,822209
2010-09-15 16:00:00.288,31.98,32.21,31.87,32.17,873145
2010-09-16 16:00:00.288,32.1,32.1,31.54,31.87,797135
2010-09-17 16:00:00.288,32.08,32.32,31.88,32.09,913297
2010-09-20 16:00:00.288,32.17,32.58,32.0,32.3,1107413
2010-09-21 16:00:00.288,32.47,32.5,31.9,32.09,1259776
2010-09-22 16:00:00.288,32.06,32.42,31.98,32.11,1150441
2010-09-23 16:00:00.288,31.75,31.89,31.27,31.47,1202732
2010-09-24 16:00:00.288,31.9,32.3,31.87,32.25,895706
2010-09-27 16:00:00.288,32.33,32.49,32.03,32.07,839127
2010-09-28 16:00:00.288,31.99,31.99,31.4,31.68,1272235
2010-09-29 16:00:00.288,31.73,31.97,31.52,31.81,891882
2010-09-30 16:00:00.288,32.03,32.49,31.76,32.01,1156285
2010-10-01 16:00:00.288,32.23,32.24,31.82,32.07,1127248
2010-10-04 16:00:00.288,32.07,32.12,31.52,31.92,1172353
2010-10-05 16:00:00.288,32.21,32.53,32.19,32.41,800484
2010-10-06 16:00:00.288,32.48,32.63,32.24,32.36,557455
2010-10-07 16:00:00.288,32.55,32.65,32.18,32.57,1139480
2010-10-08 16:00:00.288,32.73,32.99,32.56,32.94,768552
2010-10-11 16:00:00.288,32.98,33.1,32.75,33.0,532327
2010-10-12 16:00:00.288,32.81,32.85,32.35,32.55,1119101
2010-10-13 16:00:00.288,33.19,33.81,33.1,33.54,1424652
2010-10-14 16:00:00.288,33.59,33.59,33.12,33.35,869702
2010-10-15 16:00:00.288,33.51,33.59,33.03,33.24,720152
2010-10-18 16:00:00.288,32.91,33.31,32.91,33.29,749820
2010-10-19 16:00:00.288,32.44,32.89,32.33,32.74,1289109
2010-10-20 16:00:00.288,32.67,33.42,32.65,33.33,841253
2010-10-21 16:00:00.288,33.44,33.65,32.93,33.33,963861
2010-10-22 16:00:00.288,33.34,33.59,33.24,33.58,673278
2010-10-25 16:00:00.288,33.92,33.99,33.41,33.46,1030223
2010-10-26 16:00:00.288,33.2,33.55,33.15,33.28,1358349
2010-10-27 16:00:00.288,32.9,33.01,31.81,32.12,1631093
2010-10-28 16:00:00.288,32.28,32.34,31.89,32.12,1004086
2010-10-29 16:00:00.288,32.0,32.45,31.89,32.39,977517
2010-11-01 16:00:00.288,32.68,32.99,32.59,32.81,909427
2010-11-02 16:00:00.288,33.16,33.17,32.59,32.69,744364
2010-11-03 16:00:00.288,32.69,32.84,32.2,32.55,1180992
2010-11-04 16:00:00.288,33.02,33.12,32.6,32.67,1178623
2010-11-05 16:00:00.288,32.75,32.92,32.17,32.25,1142948
2010-11-08 16:00:00.288,32.13,32.21,31.75,31.97,1117900
2010-11-09 16:00:00.288,32.13,32.26,31.78,32.01,1742613
2010-11-10 16:00:00.288,32.24,32.49,31.92,32.44,1101040
2010-11-11 16:00:00.288,32.28,32.55,31.99,32.41,797760
2010-11-12 16:00:00.288,32.07,32.38,31.45,31.72,1457966
2010-11-15 16:00:00.288,31.98,32.53,31.85,32.08,1225924
2010-11-16 16:00:00.288,31.68,32.01,31.44,31.53,1040981
2010-11-17 16:00:00.288,31.54,31.76,31.43,31.6,1123134
2010-11-18 16:00:00.288,31.9,32.39,31.81,32.03,732750
2010-11-19 16:00:00.288,32.06,32.27,31.97,32.24,624811
2010-11-22 16:00:00.288,32.21,32.26,31.79,32.04,746139
2010-11-23 16:00:00.288,31.74,31.75,31.33,31.4,867001
2010-11-24 16:00:00.288,31.66,32.31,31.66,32.2,769395
2010-11-26 16:00:00.288,31.98,32.31,31.84,32.18,329057
2010-11-29 16:00:00.288,31.96,32.31,31.76,32.21,719896
2010-11-30 16:00:00.288,31.85,32.26,31.72,31.98,997777
2010-12-01 16:00:00.288,32.45,32.92,32.36,32.73,981040
2010-12-02 16:00:00.288,33.09,33.48,33.08,33.35,709975
2010-12-03 16:00:00.288,33.22,33.47,33.14,33.43,715868
2010-12-06 16:00:00.288,33.17,33.34,33.03,33.28,682423
2010-12-07 16:00:00.288,33.59,33.7,33.33,33.47,1082944
2010-12-08 16:00:00.288,33.13,33.35,32.84,32.89,1183833
2010-12-09 16:00:00.288,33.13,33.49,33.02,33.37,1091155
2010-12-10 16:00:00.288,33.45,33.56,33.37,33.41,1358667
2010-12-13 16:00:00.288,33.56,33.74,33.26,33.41,1194658
2010-12-14 16:00:00.288,33.38,33.76,33.23,33.37,1087357
2010-12-15 16:00:00.288,33.26,33.87,33.26,33.73,682420
2010-12-16 16:00:00.288,33.74,33.78,33.38,33.65,762726
2010-12-17 16:00:00.288,33.39,33.7,33.3,33.62,821299
2010-12-20 16:00:00.288,33.51,33.53,32.89,33.12,750205
2010-12-21 16:00:00.288,33.17,33.39,33.0,33.35,372760
2010-12-22 16:00:00.288,33.35,33.44,33.08,33.2,479049
2010-12-23 16:00:00.288,33.18,33.19,32.78,33.03,453501
2010-12-27 16:00:00.288,32.99,33.43,32.93,33.38,265043
2010-12-28 16:00:00.288,33.42,33.63,33.29,33.51,382147
2010-12-29 16:00:00.288,33.49,33.53,33.19,33.32,387951
2010-12-30 16:00:00.288,33.31,33.5,33.17,33.26,290897
2010-12-31 16:00:00.288,33.19,33.41,33.0,33.24,430416
2011-01-03 16:00:00.288,33.58,34.02,33.45,33.65,468418
2011-01-04 16:00:00.288,33.81,33.93,32.85,33.15,1073017
2011-01-05 16:00:00.288,33.05,33.4,33.05,33.15,422146
2011-01-06 16:00:00.288,33.19,33.35,33.0,33.26,404827
2011-01-07 16:00:00.288,33.34,33.98,33.34,33.77,874183
2011-01-10 16:00:00.288,33.5,33.87,33.46,33.61,841423
2011-01-11 16:00:00.288,33.75,34.13,33.73,33.97,1057136
2011-01-12 16:00:00.288,34.18,34.28,33.68,33.77,863883
2011-01-13 16:00:00.288,33.83,34.14,33.74,34.02,756008
2011-01-14 16:00:00.288,34.32,34.36,33.99,34.28,1513502
2011-01-18 16:00:00.288,34.46,34.61,34.29,34.46,811339
2011-01-19 16:00:00.288,34.45,34.56,33.84,34.03,766468
2011-01-20 16:00:00.288,33.81,34.12,33.32,33.82,1023168
2011-01-21 16:00:00.288,34.03,34.47,33.99,34.17,713772
2011-01-24 16:00:00.288,33.97,34.37,33.95,34.36,540153
2011-01-25 16:00:00.288,34.17,34.19,33.74,33.96,984494
2011-01-26 16:00:00.288,34.21,34.64,34.14,34.37,1072101
2011-01-27 16:00:00.288,34.45,34.88,34.35,34.71,829903
2011-01-28 16:00:00.288,34.7,34.99,33.73,33.88,1372111
2011-01-31 16:00:00.288,34.12,34.24,33.81,33.95,989163
2011-02-01 16:00:00.288,34.26,34.61,34.21,34.49,1434094
2011-02-02 16:00:00.288,34.58,34.82,34.21,34.25,1381880
2011-02-03 16:00:00.288,34.32,34.42,33.93,34.03,523050
2011-02-04 16:00:00.288,34.15,34.26,33.99,34.19,362181
2011-02-07 16:00:00.288,34.39,34.59,34.33,34.38,491639
2011-02-08 16:00:00.288,34.49,34.64,34.3,34.58,618299
2011-02-09 16:00:00.288,34.57,34.81,34.48,34.75,576210
2011-02-10 16:00:00.288,34.73,34.91,34.54,34.81,685360
2011-02-11 16:00:00.288,34.73,35.34,34.64,35.18,700322
2011-02-14 16:00:00.288,34.98,35.11,34.82,34.99,497288
2011-02-15 16:00:00.288,35.12,35.24,34.84,34.96,396020
2011-02-16 16:00:00.288,35.32,35.98,35.24,35.89,1054321
2011-02-17 16:00:00.288,35.89,36.41,35.72,36.34,832588
2011-02-18 16:00:00.288,36.4,36.49,35.95,36.15,955940
2011-02-22 16:00:00.288,35.89,36.13,35.66,35.75,761576
2011-02-23 16:00:00.288,35.64,35.71,34.95,35.1,985710
2011-02-24 16:00:00.288,35.32,35.64,35.21,35.46,839155
2011-02-25 16:00:00.288,35.74,36.05,35.57,35.96,755548
2011-02-28 16:00:00.288,36.2,36.74,36.06,36.64,897207
2011-03-01 16:00:00.288,36.4,36.73,35.97,36.12,1363913
2011-03-02 16:00:00.288,35.97,36.52,35.97,36.38,785595
2011-03-03 16:00:00.288,36.51,36.98,36.28,36.91,1665173
2011-03-04 16:00:00.288,36.9,37.06,36.73,36.93,1635788
2011-03-07 16:00:00.288,37.39,37.49,36.67,36.97,1265148
2011-03-08 16:00:00.288,36.99,37.45,36.94,37.37,1091659
2011-03-09 16:00:00.288,37.43,37.53,37.1,37.31,1405525
2011-03-10 16:00:00.288,37.08,37.14,36.53,37.12,1360448
2011-03-11 16:00:00.288,36.58,37.27,36.58,37.2,911252
2011-03-14 16:00:00.288,36.94,37.13,36.53,37.03,1081881
2011-03-15 16:00:00.288,35.84,36.49,35.58,36.03,1475388
2011-03-16 16:00:00.288,35.95,36.12,35.21,35.69,1478535
2011-03-17 16:00:00.288,36.28,36.44,36.0,36.27,877691
2011-03-18 16:00:00.288,36.49,36.81,36.33,36.49,839067
2011-03-21 16:00:00.288,36.92,37.37,36.88,37.07,806495
2011-03-22 16:00:00.288,36.87,37.27,36.61,36.62,826523
2011-03-23 16:00:00.288,36.62,36.91,36.53,36.73,686427
2011-03-24 16:00:00.288,37.05,37.06,36.58,36.78,1030690
2011-03-25 16:00:00.288,36.85,37.25,36.8,36.9,708314
2011-03-28 16:00:00.288,36.97,37.21,36.76,36.92,755579
2011-03-29 16:00:00.288,37.02,37.35,36.92,37.12,840131
2011-03-30 16:00:00.288,37.33,37.37,37.11,37.24,618631
2011-03-31 16:00:00.288,37.36,37.78,37.29,37.64,865472
2011-04-01 16:00:00.288,37.98,38.17,37.8,37.91,769725
2011-04-04 16:00:00.288,38.0,38.26,37.91,38.0,556066
2011-04-05 16:00:00.288,37.91,38.01,37.49,37.52,1049817
2011-04-06 16:00:00.288,37.85,37.85,37.28,37.49,540011
2011-04-07 16:00:00.288,37.53,37.71,37.23,37.35,493490
