Date,Open,High,Low,Close,Volume
2022-09-15 16:00:00.288,20.5,21.05,20.31,20.73,21174767
2022-09-16 16:00:00.288,20.56,20.81,20.0,20.72,4981652
2022-09-19 16:00:00.288,20.6,22.0,20.48,21.62,6419554
2022-09-20 16:00:00.288,21.29,21.87,20.68,21.55,3881699
2022-09-21 16:00:00.288,21.65,21.83,21.03,21.19,8229091
2022-09-22 16:00:00.288,21.0,21.16,20.57,20.85,1974543
2022-09-23 16:00:00.288,20.76,20.83,20.2,20.25,2401162
2022-09-26 16:00:00.288,20.1,20.41,19.94,20.04,1132264
2022-09-27 16:00:00.288,20.32,20.8,20.0,20.19,2115176
2022-09-28 16:00:00.288,20.21,20.58,20.06,20.43,2707507
2022-09-29 16:00:00.288,20.45,20.45,19.48,19.56,2786060
2022-09-30 16:00:00.288,19.67,20.23,19.14,19.69,4030493
2022-10-03 16:00:00.288,19.81,20.46,19.66,20.23,1484684
2022-10-04 16:00:00.288,20.31,21.01,20.26,20.84,2019216
2022-10-05 16:00:00.288,20.86,20.91,20.4,20.45,1677064
2022-10-06 16:00:00.288,20.1,20.54,19.87,19.89,1268072
2022-10-07 16:00:00.288,19.89,20.02,19.58,19.94,1709481
2022-10-10 16:00:00.288,19.99,20.35,19.37,19.69,1774224
2022-10-11 16:00:00.288,19.58,19.77,19.18,19.48,2478794
2022-10-12 16:00:00.288,19.56,19.87,19.27,19.81,1897644
2022-10-13 16:00:00.288,19.49,20.4,19.42,20.32,3049301
2022-10-14 16:00:00.288,20.28,20.67,19.95,20.02,1401236
2022-10-17 16:00:00.288,20.18,20.71,20.12,20.69,1373941
2022-10-18 16:00:00.288,20.87,21.37,20.87,21.28,2124792
2022-10-19 16:00:00.288,21.11,21.43,20.7,20.9,1400102
2022-10-20 16:00:00.288,20.69,21.01,20.46,20.59,949370
2022-10-21 16:00:00.288,20.45,21.69,20.29,21.64,2576425
2022-10-24 16:00:00.288,21.6,22.08,21.56,22.07,1769141
2022-10-25 16:00:00.288,22.05,22.58,22.0,22.37,1216821
2022-10-26 16:00:00.288,22.19,22.71,22.12,22.48,1577178
2022-10-27 16:00:00.288,22.58,22.85,22.46,22.62,947483
2022-10-28 16:00:00.288,22.59,23.02,22.4,23.01,1420327
2022-10-31 16:00:00.288,23.0,23.26,22.63,22.67,1135027
2022-11-01 16:00:00.288,22.5,22.85,22.28,22.74,1026960
2022-11-02 16:00:00.288,22.77,23.13,22.56,22.64,1194904
2022-11-03 16:00:00.288,22.39,22.5,21.39,21.41,1636790
2022-11-04 16:00:00.288,21.52,21.83,21.23,21.77,986931
2022-11-07 16:00:00.288,21.74,21.99,21.57,21.67,666916
2022-11-08 16:00:00.288,21.55,22.21,21.47,21.73,967871
2022-11-09 16:00:00.288,22.0,22.59,21.51,21.93,1191846
2022-11-10 16:00:00.288,22.35,23.5,21.9,22.85,2726277
2022-11-11 16:00:00.288,22.92,23.26,22.47,22.54,1200326
2022-11-14 16:00:00.288,22.62,22.85,22.03,22.03,1040055
2022-11-15 16:00:00.288,22.07,22.83,22.07,22.25,1078332
2022-11-16 16:00:00.288,22.11,22.43,22.05,22.14,762982
2022-11-17 16:00:00.288,22.0,22.15,21.83,21.83,1831227
2022-11-18 16:00:00.288,21.86,22.14,21.66,21.93,634873
2022-11-21 16:00:00.288,21.86,21.99,21.6,21.92,447687
2022-11-22 16:00:00.288,21.97,22.46,21.97,22.15,609374
2022-11-23 16:00:00.288,22.07,22.62,22.07,22.41,796217
2022-11-25 13:00:00.288,22.4,22.44,22.13,22.39,211430
2022-11-28 16:00:00.288,22.34,22.34,21.56,21.58,809025
2022-11-29 16:00:00.288,21.61,22.0,21.57,21.71,685071
2022-11-30 16:00:00.288,21.73,22.34,21.55,22.24,764607
2022-12-01 16:00:00.288,22.31,22.42,22.14,22.2,648754
2022-12-02 16:00:00.288,21.84,22.36,21.82,22.06,569202
2022-12-05 16:00:00.288,21.9,22.09,21.19,21.22,818000
2022-12-06 16:00:00.288,21.16,21.43,20.51,20.66,1198216
2022-12-07 16:00:00.288,20.51,20.87,20.05,20.1,1425989
2022-12-08 16:00:00.288,20.28,20.52,19.83,20.01,2436931
2022-12-09 16:00:00.288,19.92,20.37,19.78,19.84,1072645
2022-12-12 16:00:00.288,19.95,20.46,19.59,20.38,1149539
2022-12-13 16:00:00.288,20.78,20.95,20.23,20.41,1368382
2022-12-14 16:00:00.288,20.32,20.85,20.06,20.34,1172667
