Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,78.2,79.2,78.16,79.06,10174309
2010-01-05 16:00:00.288,79.22,79.62,78.72,79.62,10596029
2010-01-06 16:00:00.288,79.44,80.0,79.19,79.63,11014848
2010-01-07 16:00:00.288,79.36,79.7,78.97,79.33,9627919
2010-01-08 16:00:00.288,79.12,79.47,78.89,79.47,5625080
2010-01-11 16:00:00.288,80.17,81.09,80.06,80.88,11916708
2010-01-12 16:00:00.288,79.52,80.45,79.47,80.41,12176138
2010-01-13 16:00:00.288,80.27,80.41,79.09,79.8,10843309
2010-01-14 16:00:00.288,79.63,79.8,79.15,79.55,6720987
2010-01-15 16:00:00.288,79.54,79.69,78.28,79.23,13483162
2010-01-19 16:00:00.288,78.96,79.75,78.57,79.68,8722513
2010-01-20 16:00:00.288,78.71,78.93,77.65,78.15,8705257
2010-01-21 16:00:00.288,78.15,78.18,76.06,76.24,12574286
2010-01-22 16:00:00.288,75.98,76.59,74.43,74.59,13825032
2010-01-25 16:00:00.288,75.15,75.27,74.09,74.55,9132364
2010-01-26 16:00:00.288,74.08,74.88,73.7,74.15,10558244
2010-01-27 16:00:00.288,73.94,74.36,73.13,73.7,13375636
2010-01-28 16:00:00.288,73.97,74.18,72.32,73.24,12829734
2010-01-29 16:00:00.288,73.53,74.07,71.75,72.12,15267472
2010-02-01 16:00:00.288,72.7,73.74,72.14,73.58,11834318
2010-02-02 16:00:00.288,73.74,74.58,73.0,74.45,12947529
2010-02-03 16:00:00.288,74.18,74.36,73.05,73.21,14541091
2010-02-04 16:00:00.288,72.56,72.83,71.06,71.37,15248459
2010-02-05 16:00:00.288,71.0,71.24,69.55,71.18,17308974
2010-02-08 16:00:00.288,71.24,71.45,70.13,70.13,11596247
2010-02-09 16:00:00.288,70.89,72.03,70.82,71.31,13056124
2010-02-10 16:00:00.288,71.02,71.23,70.0,70.75,11621185
2010-02-11 16:00:00.288,70.72,72.11,70.31,71.73,11276934
2010-02-12 16:00:00.288,70.54,71.3,70.17,71.01,13810409
2010-02-16 16:00:00.288,71.99,73.32,71.93,72.99,14232696
2010-02-17 16:00:00.288,73.22,73.43,72.46,72.84,8728002
2010-02-18 16:00:00.288,72.69,73.72,72.34,73.62,9851040
2010-02-19 16:00:00.288,73.44,74.38,73.21,74.05,13113938
2010-02-22 16:00:00.288,74.17,74.22,72.79,72.96,8683444
2010-02-23 16:00:00.288,72.6,72.93,71.77,72.04,11907773
2010-02-24 16:00:00.288,72.12,72.45,71.61,72.34,8920907
2010-02-25 16:00:00.288,71.19,72.19,70.78,72.11,11761048
2010-02-26 16:00:00.288,72.19,72.69,71.82,72.3,8978964
2010-03-01 16:00:00.288,72.63,73.18,72.39,72.81,7428010
2010-03-02 16:00:00.288,73.18,73.91,73.01,73.32,9258483
2010-03-03 16:00:00.288,73.63,73.85,73.06,73.13,8194276
2010-03-04 16:00:00.288,73.07,73.5,72.71,73.08,9419812
2010-03-05 16:00:00.288,73.55,74.47,73.51,74.3,8750641
2010-03-08 16:00:00.288,74.49,74.88,74.15,74.64,6477509
2010-03-09 16:00:00.288,74.3,74.91,74.0,74.3,8485311
2010-03-10 16:00:00.288,74.14,74.33,73.25,73.96,14653289
2010-03-11 16:00:00.288,74.07,74.09,73.55,73.99,7028065
2010-03-12 16:00:00.288,74.17,74.24,73.51,73.72,7682066
2010-03-15 16:00:00.288,73.51,73.63,72.85,73.57,8807682
2010-03-16 16:00:00.288,73.9,74.12,73.41,73.98,9833290
2010-03-17 16:00:00.288,74.18,75.06,74.16,74.67,10293543
2010-03-18 16:00:00.288,74.85,75.07,74.24,74.76,9916501
2010-03-19 16:00:00.288,75.03,75.16,73.89,74.98,16610635
2010-03-22 16:00:00.288,74.17,74.88,74.0,74.46,9317895
2010-03-23 16:00:00.288,74.43,74.79,74.03,74.77,8008541
2010-03-24 16:00:00.288,74.27,74.5,73.78,73.93,8997582
2010-03-25 16:00:00.288,74.4,74.62,73.69,73.8,10510373
2010-03-26 16:00:00.288,74.0,74.88,73.82,74.43,10414510
2010-03-29 16:00:00.288,74.61,75.44,74.49,75.23,8819151
2010-03-30 16:00:00.288,75.27,75.5,74.96,75.3,6379550
2010-03-31 16:00:00.288,75.47,76.14,75.08,75.83,9875589
2010-04-01 16:00:00.288,76.4,77.13,76.34,76.69,7864370
2010-04-05 16:00:00.288,76.97,77.75,76.73,77.66,8108653
2010-04-06 16:00:00.288,77.57,78.0,77.2,77.88,6489922
2010-04-07 16:00:00.288,77.67,77.83,76.96,77.37,9431318
2010-04-08 16:00:00.288,76.93,78.0,76.63,77.66,6887992
2010-04-09 16:00:00.288,78.04,79.62,78.0,79.5,9805046
2010-04-12 16:00:00.288,79.5,80.8,79.37,80.43,9999974
2010-04-13 16:00:00.288,80.42,80.57,79.27,80.21,7978410
2010-04-14 16:00:00.288,80.46,80.61,80.03,80.58,7290780
2010-04-15 16:00:00.288,80.61,81.76,80.51,81.59,9702410
2010-04-16 16:00:00.288,81.46,81.9,80.28,80.75,12866505
2010-04-19 16:00:00.288,80.25,81.5,80.05,81.32,9337717
2010-04-20 16:00:00.288,81.82,82.36,81.66,82.05,11473304
2010-04-21 16:00:00.288,82.3,82.67,81.24,81.92,9416761
2010-04-22 16:00:00.288,81.11,81.45,80.64,81.2,9422113
2010-04-23 16:00:00.288,81.04,82.77,80.95,82.67,9918041
2010-04-26 16:00:00.288,82.52,83.14,82.34,82.59,9794753
2010-04-27 16:00:00.288,82.08,82.51,80.07,80.23,13043429
2010-04-28 16:00:00.288,80.62,80.92,79.85,80.62,12116560
2010-04-29 16:00:00.288,81.19,82.99,81.19,82.29,12276002
2010-04-30 16:00:00.288,82.37,83.13,81.29,81.44,13911471
2010-05-03 16:00:00.288,81.96,83.41,81.33,82.83,11650662
2010-05-04 16:00:00.288,82.01,82.24,79.63,80.76,16274763
2010-05-05 16:00:00.288,79.69,80.73,79.45,80.19,13028902
2010-05-06 16:00:00.288,79.41,80.21,77.2,77.2,21062304
2010-05-07 16:00:00.288,77.22,78.61,76.41,77.1,21868240
2010-05-10 16:00:00.288,79.37,80.56,78.53,79.89,14662560
2010-05-11 16:00:00.288,79.64,80.75,79.49,79.7,12023007
2010-05-12 16:00:00.288,79.77,80.46,79.36,80.06,9257882
2010-05-13 16:00:00.288,79.8,80.06,78.75,78.92,10840361
2010-05-14 16:00:00.288,78.42,78.49,76.98,77.83,13607726
2010-05-17 16:00:00.288,77.39,77.95,75.95,77.73,14694227
2010-05-18 16:00:00.288,78.31,78.67,76.39,76.85,15325097
2010-05-19 16:00:00.288,76.35,77.0,75.54,76.6,10776530
2010-05-20 16:00:00.288,75.04,75.4,73.53,73.6,17885510
2010-05-21 16:00:00.288,72.35,74.65,72.0,74.48,15920308
2010-05-24 16:00:00.288,74.22,74.38,73.31,73.44,10550665
2010-05-25 16:00:00.288,71.74,72.69,70.8,72.57,22309796
2010-05-26 16:00:00.288,73.19,73.5,71.44,71.55,16889904
2010-05-27 16:00:00.288,73.13,74.36,72.3,74.36,15253485
2010-05-28 16:00:00.288,74.0,74.4,73.04,73.87,14445694
2010-06-01 16:00:00.288,73.56,74.52,72.29,72.29,13968440
2010-06-02 16:00:00.288,72.66,74.13,72.12,74.13,15674907
2010-06-03 16:00:00.288,74.66,74.75,73.14,73.91,14280174
2010-06-04 16:00:00.288,72.15,72.71,70.8,71.28,18133268
2010-06-07 16:00:00.288,71.66,72.49,71.19,71.35,12325059
2010-06-08 16:00:00.288,71.68,71.73,69.82,71.02,16575544
2010-06-09 16:00:00.288,71.17,72.39,70.6,70.79,14081548
2010-06-10 16:00:00.288,72.87,74.17,72.69,74.17,13937382
2010-06-11 16:00:00.288,73.48,74.06,72.79,74.06,8346366
2010-06-14 16:00:00.288,74.23,75.54,74.16,74.18,11948403
2010-06-15 16:00:00.288,74.57,75.26,74.18,75.23,11760865
2010-06-16 16:00:00.288,74.61,75.39,74.45,74.95,10425300
2010-06-17 16:00:00.288,75.02,75.49,74.2,75.32,11113839
2010-06-18 16:00:00.288,75.47,75.75,74.9,75.52,13680125
2010-06-21 16:00:00.288,76.81,77.25,75.29,75.72,9348839
2010-06-22 16:00:00.288,75.45,75.72,73.88,74.0,10576513
2010-06-23 16:00:00.288,73.84,73.9,72.15,72.26,14877049
2010-06-24 16:00:00.288,71.8,72.13,70.7,70.83,14188503
2010-06-25 16:00:00.288,71.13,71.13,69.88,70.06,20478234
2010-06-28 16:00:00.288,70.56,70.57,69.63,69.96,10873855
2010-06-29 16:00:00.288,69.2,69.39,68.0,68.36,16422424
2010-06-30 16:00:00.288,68.22,69.06,67.8,67.86,12876856
2010-07-01 16:00:00.288,68.23,68.3,66.83,67.48,16335847
2010-07-02 16:00:00.288,67.79,68.15,66.87,67.31,9146060
2010-07-06 16:00:00.288,68.28,68.32,66.86,67.56,15039926
2010-07-07 16:00:00.288,67.82,69.5,67.49,69.45,15693387
2010-07-08 16:00:00.288,70.18,70.69,69.21,70.41,13479470
2010-07-09 16:00:00.288,70.46,72.0,70.05,71.84,11390404
2010-07-12 16:00:00.288,71.53,72.13,71.35,71.85,7352281
2010-07-13 16:00:00.288,72.99,73.58,72.5,73.23,13751275
2010-07-14 16:00:00.288,73.01,73.12,72.35,73.05,11750417
2010-07-15 16:00:00.288,73.23,73.23,72.16,73.04,10507546
2010-07-16 16:00:00.288,72.65,72.84,71.25,71.5,12060647
2010-07-19 16:00:00.288,71.84,72.3,71.49,72.0,8350562
2010-07-20 16:00:00.288,71.0,73.21,70.96,73.1,8923911
2010-07-21 16:00:00.288,73.33,73.55,71.57,72.17,9045337
2010-07-22 16:00:00.288,72.8,74.0,72.58,73.44,9553454
2010-07-23 16:00:00.288,73.28,73.55,72.67,73.52,8430318
2010-07-26 16:00:00.288,73.82,74.62,73.41,74.62,6209005
2010-07-27 16:00:00.288,74.86,75.43,74.5,75.3,8163468
2010-07-28 16:00:00.288,75.13,75.66,75.01,75.56,7398979
2010-07-29 16:00:00.288,75.89,76.37,75.28,76.02,13352344
2010-07-30 16:00:00.288,75.15,76.37,74.89,76.21,16958006
2010-08-02 16:00:00.288,77.62,78.33,77.32,77.8,11862970
2010-08-03 16:00:00.288,77.92,79.12,77.81,78.66,11796244
