Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,35.11,35.18,34.84,35.08,1062397
2010-01-05 16:00:00.288,34.98,35.34,34.87,35.32,1393501
2010-01-06 16:00:00.288,35.25,35.35,34.43,34.5,2028611
2010-01-07 16:00:00.288,34.34,34.53,34.01,34.29,1186392
2010-01-08 16:00:00.288,34.39,35.08,34.29,34.65,3329411
2010-01-11 16:00:00.288,34.54,35.12,34.44,34.79,2296559
2010-01-12 16:00:00.288,34.39,34.72,34.36,34.49,2665085
2010-01-13 16:00:00.288,34.56,34.89,34.24,34.81,1905653
2010-01-14 16:00:00.288,34.7,34.88,34.5,34.71,1332021
2010-01-15 16:00:00.288,34.89,34.89,34.12,34.47,2866474
2010-01-19 16:00:00.288,34.43,34.7,34.28,34.46,1681131
2010-01-20 16:00:00.288,34.25,34.44,33.77,34.36,2029879
2010-01-21 16:00:00.288,35.4,36.45,34.47,35.36,5102634
2010-01-22 16:00:00.288,35.24,35.41,34.53,34.58,3292654
2010-01-25 16:00:00.288,34.65,34.74,34.07,34.67,2311631
2010-01-26 16:00:00.288,34.42,34.84,34.23,34.55,2051037
2010-01-27 16:00:00.288,34.45,34.76,34.11,34.71,1558017
2010-01-28 16:00:00.288,34.6,34.75,34.13,34.3,2253175
2010-01-29 16:00:00.288,34.42,34.93,34.05,34.1,2096928
2010-02-01 16:00:00.288,34.11,34.65,33.97,34.46,2564572
2010-02-02 16:00:00.288,34.43,34.92,34.06,34.8,2532737
2010-02-03 16:00:00.288,33.88,34.16,33.35,33.97,5831256
2010-02-04 16:00:00.288,33.76,33.98,33.42,33.42,2623373
2010-02-05 16:00:00.288,33.46,33.87,32.44,33.03,3252896
2010-02-08 16:00:00.288,32.96,33.31,32.7,32.96,1498987
2010-02-09 16:00:00.288,33.38,33.98,33.21,33.46,2847859
2010-02-10 16:00:00.288,33.36,33.42,32.8,33.1,1503809
2010-02-11 16:00:00.288,33.14,33.37,32.82,32.95,2463698
2010-02-12 16:00:00.288,32.69,32.91,32.36,32.87,2626327
2010-02-16 16:00:00.288,33.62,34.12,33.31,33.92,2557375
2010-02-17 16:00:00.288,34.13,34.29,33.9,34.19,1172721
2010-02-18 16:00:00.288,34.27,34.27,33.74,33.94,1473554
2010-02-19 16:00:00.288,33.98,34.38,33.76,34.32,2177553
2010-02-22 16:00:00.288,34.3,34.72,34.24,34.55,2047669
2010-02-23 16:00:00.288,36.55,38.11,36.26,36.91,9133976
2010-02-24 16:00:00.288,36.9,37.05,36.4,36.59,3461355
2010-02-25 16:00:00.288,36.16,36.64,35.4,36.6,3295046
2010-02-26 16:00:00.288,36.48,36.63,36.0,36.47,2952266
2010-03-01 16:00:00.288,36.51,36.66,36.2,36.34,1551232
2010-03-02 16:00:00.288,36.46,36.55,36.28,36.33,1514260
2010-03-03 16:00:00.288,36.32,36.58,36.02,36.13,1118320
2010-03-04 16:00:00.288,36.1,36.48,35.96,36.31,1266462
2010-03-05 16:00:00.288,36.34,36.7,36.28,36.58,1852565
2010-03-08 16:00:00.288,36.44,36.81,36.41,36.48,2261464
2010-03-09 16:00:00.288,36.46,36.72,36.4,36.62,1332321
2010-03-10 16:00:00.288,36.56,37.32,36.51,37.05,2034220
2010-03-11 16:00:00.288,37.01,37.28,36.97,37.26,2365724
2010-03-12 16:00:00.288,37.26,37.42,36.56,37.21,1586435
2010-03-15 16:00:00.288,37.43,37.44,36.86,37.03,1080911
2010-03-16 16:00:00.288,37.07,37.63,36.99,37.49,1172962
2010-03-17 16:00:00.288,37.62,37.86,37.28,37.58,1093429
2010-03-18 16:00:00.288,37.42,38.07,37.34,38.03,959233
2010-03-19 16:00:00.288,38.34,38.93,37.63,38.61,3963355
2010-03-22 16:00:00.288,38.23,38.59,38.15,38.37,2101167
2010-03-23 16:00:00.288,38.48,38.48,37.82,38.42,1583675
2010-03-24 16:00:00.288,38.21,38.4,37.69,37.83,1642330
2010-03-25 16:00:00.288,37.85,37.9,37.12,37.2,1963531
2010-03-26 16:00:00.288,37.14,37.16,36.43,36.67,2779344
