Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,10.38,10.52,10.32,10.45,3953749
2010-01-05 16:00:00.288,10.76,10.89,10.61,10.72,3483301
2010-01-06 16:00:00.288,10.64,10.77,10.61,10.65,3736917
2010-01-07 16:00:00.288,10.83,10.98,10.71,10.96,3355066
2010-01-08 16:00:00.288,11.01,11.25,10.97,11.24,3144359
2010-01-11 16:00:00.288,11.24,11.27,10.96,11.07,2083352
2010-01-12 16:00:00.288,10.75,10.93,10.7,10.75,2619206
2010-01-13 16:00:00.288,10.96,11.03,10.8,10.97,2144953
2010-01-14 16:00:00.288,11.02,11.07,10.95,11.01,2351399
2010-01-15 16:00:00.288,10.75,10.77,10.56,10.64,2298255
2010-01-19 16:00:00.288,10.44,10.74,10.42,10.73,2256988
2010-01-20 16:00:00.288,10.33,10.35,9.91,10.07,4533996
2010-01-21 16:00:00.288,10.07,10.17,9.56,9.59,5326610
2010-01-22 16:00:00.288,9.48,9.78,9.38,9.39,4348130
2010-01-25 16:00:00.288,9.78,9.83,9.62,9.74,2613967
2010-01-26 16:00:00.288,9.43,9.68,9.39,9.47,2121154
2010-01-27 16:00:00.288,9.48,9.61,9.31,9.6,3085664
2010-01-28 16:00:00.288,9.6,9.6,9.27,9.36,3047556
2010-01-29 16:00:00.288,9.55,9.62,9.35,9.4,2804151
2010-02-01 16:00:00.288,9.75,9.87,9.7,9.8,2504573
2010-02-02 16:00:00.288,10.09,10.22,10.01,10.18,2377080
2010-02-03 16:00:00.288,10.18,10.25,10.05,10.12,2557659
2010-02-04 16:00:00.288,9.68,9.69,9.09,9.11,5592791
2010-02-05 16:00:00.288,8.92,8.98,8.38,8.72,5852498
2010-02-08 16:00:00.288,8.42,8.52,8.2,8.24,7638957
2010-02-09 16:00:00.288,8.83,8.96,8.57,8.8,9219625
2010-02-10 16:00:00.288,8.95,9.03,8.77,9.0,3590444
2010-02-11 16:00:00.288,8.73,8.87,8.49,8.84,3621032
2010-02-12 16:00:00.288,8.49,8.74,8.43,8.74,3139532
2010-02-16 16:00:00.288,8.79,9.03,8.68,8.96,2755031
2010-02-17 16:00:00.288,9.32,9.39,9.22,9.3,3280086
2010-02-18 16:00:00.288,9.31,9.46,9.29,9.43,1832861
2010-02-19 16:00:00.288,9.19,9.34,9.11,9.34,2257968
2010-02-22 16:00:00.288,9.52,9.54,9.37,9.39,2292317
2010-02-23 16:00:00.288,9.25,9.26,8.85,8.92,3253983
2010-02-24 16:00:00.288,9.07,9.25,8.99,9.16,1926603
2010-02-25 16:00:00.288,8.71,8.82,8.6,8.82,4350617
2010-02-26 16:00:00.288,8.84,9.0,8.67,8.93,2595350
2010-03-01 16:00:00.288,9.23,9.41,9.17,9.36,5349548
2010-03-02 16:00:00.288,9.39,9.44,9.3,9.37,2396206
2010-03-03 16:00:00.288,9.57,9.74,9.52,9.61,2781384
2010-03-04 16:00:00.288,9.76,9.81,9.63,9.7,2044988
2010-03-05 16:00:00.288,9.88,10.15,9.86,10.12,2935462
2010-03-08 16:00:00.288,9.97,10.02,9.91,9.98,1871800
2010-03-09 16:00:00.288,9.81,10.03,9.79,9.95,1944906
2010-03-10 16:00:00.288,9.93,10.05,9.91,9.97,2600283
2010-03-11 16:00:00.288,10.05,10.11,9.95,10.09,1909924
2010-03-12 16:00:00.288,10.18,10.19,9.98,10.01,1532029
2010-03-15 16:00:00.288,9.92,9.96,9.72,9.86,1800713
2010-03-16 16:00:00.288,9.94,10.07,9.87,10.03,2111181
2010-03-17 16:00:00.288,10.15,10.31,10.14,10.25,2356257
2010-03-18 16:00:00.288,10.09,10.12,9.92,10.07,1596115
2010-03-19 16:00:00.288,10.01,10.02,9.75,9.81,2576222
