Date,Open,High,Low,Close,Volume
2021-12-15 16:00:00.288,24.9,25.25,23.75,24.7,12675179
2021-12-16 16:00:00.288,24.94,25.0,23.11,23.23,2939185
2021-12-17 16:00:00.288,23.0,23.09,21.8,22.32,2994603
2021-12-20 16:00:00.288,22.58,24.05,22.5,23.82,1465223
2021-12-21 16:00:00.288,24.08,26.2,24.05,25.36,3550655
2021-12-22 16:00:00.288,25.81,27.38,25.7,27.0,655889
2021-12-23 16:00:00.288,27.0,27.69,26.12,27.61,746370
2021-12-27 16:00:00.288,27.9,31.41,27.51,29.37,1215528
2021-12-28 16:00:00.288,30.0,30.39,27.27,27.54,680231
2021-12-29 16:00:00.288,27.46,28.0,25.71,26.96,593720
2021-12-30 16:00:00.288,27.0,28.0,26.22,26.57,460954
2021-12-31 16:00:00.288,28.09,28.89,26.21,28.11,877046
2022-01-03 16:00:00.288,28.75,29.1,26.7,26.77,780159
2022-01-04 16:00:00.288,27.17,27.17,24.02,25.03,1256055
2022-01-05 16:00:00.288,25.48,25.48,22.51,23.01,1631524
2022-01-06 16:00:00.288,23.01,24.19,21.81,22.99,2057899
2022-01-07 16:00:00.288,22.99,23.53,22.75,23.22,809579
2022-01-10 16:00:00.288,22.64,23.11,20.89,22.99,3226253
2022-01-11 16:00:00.288,22.9,24.68,22.71,24.43,871700
2022-01-12 16:00:00.288,24.99,26.8,24.5,24.75,1239542
2022-01-13 16:00:00.288,25.21,26.35,24.18,24.2,1527476
2022-01-14 16:00:00.288,23.88,24.3,22.66,22.91,2050281
2022-01-18 16:00:00.288,22.4,22.59,20.73,21.31,1953175
2022-01-19 16:00:00.288,21.31,21.71,19.5,20.35,3216763
2022-01-20 16:00:00.288,20.56,21.72,20.46,21.12,1611391
2022-01-21 16:00:00.288,21.12,21.69,19.15,19.4,1125818
2022-01-24 16:00:00.288,18.9,18.99,14.55,17.62,5765995
2022-01-25 16:00:00.288,17.34,18.25,16.65,17.65,1650392
2022-01-26 16:00:00.288,18.1,18.43,16.59,17.28,779222
2022-01-27 16:00:00.288,17.73,18.32,16.08,16.11,1249334
2022-01-28 16:00:00.288,16.0,17.24,14.94,16.66,1061290
2022-01-31 16:00:00.288,16.75,18.47,16.75,18.1,1627961
2022-02-01 16:00:00.288,18.1,21.75,17.97,21.22,1816760
2022-02-02 16:00:00.288,21.3,21.84,18.98,21.6,2492162
2022-02-03 16:00:00.288,20.52,20.98,18.1,18.51,2491859
2022-02-04 16:00:00.288,18.52,21.0,17.53,20.56,2844494
2022-02-07 16:00:00.288,20.2,21.48,19.99,20.25,2757911
2022-02-08 16:00:00.288,20.04,21.9,19.52,21.89,700670
2022-02-09 16:00:00.288,22.27,24.69,21.84,24.47,1584248
2022-02-10 16:00:00.288,23.81,25.42,23.05,23.34,1179594
2022-02-11 16:00:00.288,23.27,24.05,20.87,20.93,722613
2022-02-14 16:00:00.288,20.76,22.75,20.57,21.71,541760
2022-02-15 16:00:00.288,21.99,22.73,21.65,22.44,431732
2022-02-16 16:00:00.288,22.24,23.52,20.54,20.96,952772
2022-02-17 16:00:00.288,20.5,20.89,18.36,18.8,3123649
2022-02-18 16:00:00.288,18.71,18.8,16.55,17.11,1959563
2022-02-22 16:00:00.288,17.11,18.13,16.01,16.37,1093650
2022-02-23 16:00:00.288,16.52,17.0,15.66,15.89,840558
2022-02-24 16:00:00.288,15.03,17.15,15.03,16.86,1274257
2022-02-25 16:00:00.288,16.9,17.47,15.64,17.01,894632
2022-02-28 16:00:00.288,16.92,17.57,16.48,17.48,1468349
2022-03-01 16:00:00.288,17.42,18.55,17.16,17.47,959493
2022-03-02 16:00:00.288,17.53,17.88,16.27,16.56,1402118
2022-03-03 16:00:00.288,18.73,19.45,16.11,16.82,4422096
2022-03-04 16:00:00.288,16.51,18.05,15.38,15.52,1967964
2022-03-07 16:00:00.288,15.87,17.44,14.52,14.65,1580564
2022-03-08 16:00:00.288,14.77,17.34,14.21,16.21,1640329
2022-03-09 16:00:00.288,16.56,18.22,16.56,17.44,1472262
2022-03-10 16:00:00.288,16.98,17.52,16.39,16.85,792443
2022-03-11 16:00:00.288,16.81,17.2,15.1,15.15,1304550
2022-03-14 16:00:00.288,15.45,15.64,13.78,13.99,2059874
2022-03-15 16:00:00.288,14.03,14.9,12.51,13.69,3164880
2022-03-16 16:00:00.288,13.99,15.55,13.9,15.16,1874456
2022-03-17 16:00:00.288,15.4,16.7,14.62,16.52,2264948
2022-03-18 16:00:00.288,15.89,17.32,15.89,16.81,4475144
2022-03-21 16:00:00.288,16.67,17.36,15.95,16.54,1292532
2022-03-22 16:00:00.288,16.8,17.78,16.14,17.48,969308
2022-03-23 16:00:00.288,16.82,17.79,16.25,17.62,888745
2022-03-24 16:00:00.288,17.35,18.08,16.84,17.94,1095346
2022-03-25 16:00:00.288,17.85,17.91,17.0,17.47,836909
2022-03-28 16:00:00.288,17.3,18.26,16.9,17.9,825875
2022-03-29 16:00:00.288,17.9,18.48,17.65,17.94,936606
2022-03-30 16:00:00.288,17.81,18.41,17.05,17.2,745034
2022-03-31 16:00:00.288,16.97,17.32,15.65,16.02,1771281
2022-04-01 16:00:00.288,15.85,17.24,15.72,16.3,768023
2022-04-04 16:00:00.288,16.43,17.65,16.15,17.37,659254
2022-04-05 16:00:00.288,17.27,17.54,15.62,15.91,933209
2022-04-06 16:00:00.288,15.49,15.66,13.69,14.47,2901291
2022-04-07 16:00:00.288,14.4,14.78,13.57,14.32,1042408
2022-04-08 16:00:00.288,14.1,14.14,13.41,13.44,1567217
2022-04-11 16:00:00.288,13.18,13.66,12.89,13.34,781324
2022-04-12 16:00:00.288,13.55,14.4,13.35,13.53,783288
