Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,25.74,25.99,25.6,25.73,3979107
2010-01-05 16:00:00.288,25.73,26.94,25.57,26.64,5177002
2010-01-06 16:00:00.288,26.18,27.09,26.16,26.34,5783820
2010-01-07 16:00:00.288,26.2,26.23,25.25,25.34,6977000
2010-01-08 16:00:00.288,25.34,25.59,24.84,25.5,4530943
2010-01-11 16:00:00.288,25.79,25.79,24.96,25.2,4401581
2010-01-12 16:00:00.288,24.88,26.06,24.88,25.26,8009807
2010-01-13 16:00:00.288,25.33,25.58,24.98,25.2,3667350
2010-01-14 16:00:00.288,25.17,25.19,24.7,24.84,3255990
2010-01-15 16:00:00.288,24.8,25.15,24.33,24.69,4845235
2010-01-19 16:00:00.288,24.73,25.56,24.54,25.53,4563127
2010-01-20 16:00:00.288,25.2,25.37,24.57,24.88,3559393
2010-01-21 16:00:00.288,24.99,25.07,23.14,23.15,7530320
2010-01-22 16:00:00.288,23.24,23.69,22.53,23.13,8590803
2010-01-25 16:00:00.288,23.75,24.07,23.15,23.2,4890483
2010-01-26 16:00:00.288,22.95,23.58,22.91,23.17,4368318
2010-01-27 16:00:00.288,23.05,23.06,21.9,22.61,7613296
2010-01-28 16:00:00.288,22.75,22.75,21.43,21.84,6749912
2010-01-29 16:00:00.288,22.03,22.28,21.61,21.69,4221643
2010-02-01 16:00:00.288,22.0,22.66,21.78,22.63,5554268
2010-02-02 16:00:00.288,22.67,23.03,22.39,22.74,6413000
2010-02-03 16:00:00.288,21.48,22.0,20.94,21.46,15262303
2010-02-04 16:00:00.288,21.56,21.56,20.69,20.97,9766716
2010-02-05 16:00:00.288,20.97,21.52,20.51,21.46,11822449
2010-02-08 16:00:00.288,21.4,21.82,20.95,21.31,7465912
2010-02-09 16:00:00.288,21.64,22.06,21.3,21.7,6754421
2010-02-10 16:00:00.288,21.69,21.79,20.88,21.22,5966860
2010-02-11 16:00:00.288,21.1,21.46,20.99,21.18,6867085
2010-02-12 16:00:00.288,21.01,21.4,20.53,21.37,6650368
2010-02-16 16:00:00.288,21.56,22.87,21.56,22.82,10236218
2010-02-17 16:00:00.288,22.77,23.17,22.3,22.45,5980727
2010-02-18 16:00:00.288,22.31,23.15,22.26,22.94,4738276
2010-02-19 16:00:00.288,22.75,23.28,22.58,22.96,4558716
2010-02-22 16:00:00.288,22.97,23.14,22.08,22.71,5380901
2010-02-23 16:00:00.288,22.74,23.56,22.6,22.73,7005943
2010-02-24 16:00:00.288,22.73,23.02,22.51,22.63,3995477
2010-02-25 16:00:00.288,22.43,22.75,22.05,22.62,5215795
2010-02-26 16:00:00.288,22.62,22.7,21.89,21.94,6694407
2010-03-01 16:00:00.288,22.16,22.92,22.06,22.89,5952522
2010-03-02 16:00:00.288,23.08,23.82,22.26,23.7,8625253
2010-03-03 16:00:00.288,23.78,24.24,23.59,23.86,6232236
2010-03-04 16:00:00.288,23.98,24.14,23.27,23.65,4402201
2010-03-05 16:00:00.288,23.85,24.16,23.74,24.0,6017601
2010-03-08 16:00:00.288,24.0,24.07,23.63,23.91,4413143
2010-03-09 16:00:00.288,23.81,24.09,23.6,23.76,5830190
2010-03-10 16:00:00.288,23.74,24.15,23.56,23.78,4836946
2010-03-11 16:00:00.288,23.67,23.88,23.47,23.86,5900929
2010-03-12 16:00:00.288,24.1,24.34,23.91,23.99,6144918
2010-03-15 16:00:00.288,23.88,23.94,23.42,23.59,4808712
2010-03-16 16:00:00.288,23.78,24.14,23.7,24.03,7948615
2010-03-17 16:00:00.288,24.13,25.84,24.13,25.58,15638101
2010-03-18 16:00:00.288,25.43,25.56,24.75,25.02,6987563
2010-03-19 16:00:00.288,25.28,25.31,24.37,24.45,6889344
2010-03-22 16:00:00.288,24.44,24.77,24.19,24.67,8061558
2010-03-23 16:00:00.288,24.67,24.81,24.43,24.77,8900323
2010-03-24 16:00:00.288,24.71,25.06,24.45,24.82,9167534
2010-03-25 16:00:00.288,25.09,25.17,23.87,23.87,7859280
2010-03-26 16:00:00.288,24.03,24.26,23.62,23.66,9100562
2010-03-29 16:00:00.288,23.9,24.13,23.73,23.81,6509050
2010-03-30 16:00:00.288,23.9,24.16,23.58,23.92,4211227
2010-03-31 16:00:00.288,23.78,23.78,23.23,23.3,5603092
2010-04-01 16:00:00.288,23.51,23.95,23.51,23.9,6252825
2010-04-05 16:00:00.288,24.02,24.21,23.86,24.14,5888784
2010-04-06 16:00:00.288,23.97,24.55,23.86,24.53,7871601
2010-04-07 16:00:00.288,24.67,25.88,24.67,25.57,14237432
2010-04-08 16:00:00.288,25.38,26.03,25.07,25.96,7859450
2010-04-09 16:00:00.288,25.96,26.22,25.6,26.01,5240722
2010-04-12 16:00:00.288,26.15,26.15,25.51,25.7,6067166
2010-04-13 16:00:00.288,25.63,25.86,25.43,25.78,5852125
2010-04-14 16:00:00.288,25.97,26.65,25.97,26.61,5391598
2010-04-15 16:00:00.288,26.45,26.96,26.34,26.61,5679172
2010-04-16 16:00:00.288,26.45,27.06,25.99,26.37,8331114
2010-04-19 16:00:00.288,26.18,26.35,25.48,25.98,5860999
2010-04-20 16:00:00.288,26.24,26.57,25.78,25.96,7414341
2010-04-21 16:00:00.288,26.01,26.92,26.01,26.67,7680819
2010-04-22 16:00:00.288,26.36,26.91,26.1,26.86,4167493
2010-04-23 16:00:00.288,26.9,27.27,26.66,27.11,4585076
2010-04-26 16:00:00.288,27.15,27.69,26.63,26.9,5895350
2010-04-27 16:00:00.288,26.8,26.8,25.47,25.61,6458966
2010-04-28 16:00:00.288,25.73,26.19,25.43,25.73,5965685
2010-04-29 16:00:00.288,26.5,27.59,26.3,26.51,8545210
2010-04-30 16:00:00.288,26.77,26.94,25.31,25.32,7447485
2010-05-03 16:00:00.288,25.52,25.69,24.61,25.22,9033172
2010-05-04 16:00:00.288,24.8,24.8,23.49,23.68,11181034
2010-05-05 16:00:00.288,23.29,24.1,23.01,23.44,7952309
2010-05-06 16:00:00.288,23.24,23.82,19.41,22.1,15296889
2010-05-07 16:00:00.288,21.87,22.53,20.39,21.93,15103781
2010-05-10 16:00:00.288,23.68,24.1,22.93,23.47,8014407
2010-05-11 16:00:00.288,23.19,23.56,22.83,23.0,5764329
2010-05-12 16:00:00.288,23.17,23.63,23.04,23.6,6070814
2010-05-13 16:00:00.288,23.41,23.6,22.93,23.02,5679846
2010-05-14 16:00:00.288,22.69,22.76,22.21,22.52,8891089
2010-05-17 16:00:00.288,22.65,23.07,21.81,22.35,9227234
2010-05-18 16:00:00.288,22.7,23.04,21.65,21.71,6303274
2010-05-19 16:00:00.288,21.46,21.63,20.57,21.32,10137392
2010-05-20 16:00:00.288,20.53,21.11,20.1,20.6,13972932
2010-05-21 16:00:00.288,20.05,21.51,19.97,21.1,10002644
2010-05-24 16:00:00.288,20.95,21.33,20.58,20.59,6264344
2010-05-25 16:00:00.288,19.83,21.08,19.67,21.05,9357756
2010-05-26 16:00:00.288,21.38,22.01,20.89,21.15,7416141
2010-05-27 16:00:00.288,21.82,22.51,21.53,22.5,7515494
2010-05-28 16:00:00.288,22.44,22.56,21.78,21.99,5955307
2010-06-01 16:00:00.288,21.61,22.11,21.05,21.06,5560382
2010-06-02 16:00:00.288,21.15,21.77,21.07,21.75,5731006
2010-06-03 16:00:00.288,21.86,22.42,21.63,22.15,7189435
2010-06-04 16:00:00.288,21.53,21.89,20.7,20.76,7961036
2010-06-07 16:00:00.288,20.84,20.89,19.93,19.96,10441235
2010-06-08 16:00:00.288,20.04,20.57,19.92,20.49,8778548
2010-06-09 16:00:00.288,20.74,21.48,20.59,20.71,7333041
2010-06-10 16:00:00.288,21.15,21.81,21.15,21.8,5832689
2010-06-11 16:00:00.288,22.05,23.07,21.8,23.01,9241806
2010-06-14 16:00:00.288,23.4,24.33,23.36,23.72,12753621
2010-06-15 16:00:00.288,24.05,24.84,23.75,24.81,9696019
2010-06-16 16:00:00.288,24.46,24.66,24.13,24.3,6393745
2010-06-17 16:00:00.288,24.43,24.48,23.72,24.16,6441438
2010-06-18 16:00:00.288,24.28,24.54,24.13,24.36,6488615
2010-06-21 16:00:00.288,25.07,25.54,24.77,24.91,7589775
2010-06-22 16:00:00.288,24.86,25.16,22.97,23.06,11030407
2010-06-23 16:00:00.288,22.97,23.93,22.71,23.86,10844236
2010-06-24 16:00:00.288,23.72,23.82,22.35,22.46,9395555
2010-06-25 16:00:00.288,22.53,23.33,22.29,23.28,16777492
2010-06-28 16:00:00.288,23.18,23.41,22.53,22.71,6895798
2010-06-29 16:00:00.288,22.21,22.21,21.0,21.2,11885933
2010-06-30 16:00:00.288,21.19,22.05,21.11,21.43,10432596
2010-07-01 16:00:00.288,21.61,21.95,20.79,21.72,9477936
2010-07-02 16:00:00.288,21.82,22.09,21.07,21.39,6309078
2010-07-06 16:00:00.288,21.99,22.1,20.87,21.14,5704585
2010-07-07 16:00:00.288,21.05,21.91,21.05,21.9,6368437
2010-07-08 16:00:00.288,22.04,22.25,21.52,21.92,8241595
2010-07-09 16:00:00.288,21.87,22.59,21.87,22.41,5006925
2010-07-12 16:00:00.288,22.44,22.54,21.86,22.08,6208163
2010-07-13 16:00:00.288,22.45,23.11,22.45,22.86,6460427
2010-07-14 16:00:00.288,22.84,22.84,22.18,22.53,6305890
2010-07-15 16:00:00.288,22.54,22.54,21.75,22.34,5336932
2010-07-16 16:00:00.288,22.19,22.32,21.5,21.57,6507301
2010-07-19 16:00:00.288,21.9,21.94,21.21,21.83,5504555
2010-07-20 16:00:00.288,21.53,22.99,21.29,22.99,7402840
2010-07-21 16:00:00.288,23.23,23.34,22.09,22.24,6049792
2010-07-22 16:00:00.288,22.57,23.43,22.5,23.28,5677541
2010-07-23 16:00:00.288,23.25,23.73,23.06,23.65,5474207
2010-07-26 16:00:00.288,23.82,24.16,23.5,24.14,5274295
2010-07-27 16:00:00.288,24.37,24.42,23.67,24.13,7048585
2010-07-28 16:00:00.288,23.31,23.53,22.19,22.84,13189402
2010-07-29 16:00:00.288,23.12,23.47,22.55,22.81,8545271
2010-07-30 16:00:00.288,22.49,23.05,22.37,22.91,4836553
2010-08-02 16:00:00.288,23.35,23.94,23.25,23.84,6269488
2010-08-03 16:00:00.288,23.5,23.67,23.09,23.21,5254045
2010-08-04 16:00:00.288,23.43,23.56,22.99,23.24,3814854
2010-08-05 16:00:00.288,23.09,23.51,23.01,23.32,4644698
2010-08-06 16:00:00.288,23.06,23.36,22.24,22.78,6678806
2010-08-09 16:00:00.288,22.99,23.16,22.4,22.43,5109877
2010-08-10 16:00:00.288,22.2,22.24,21.45,21.69,9075691
2010-08-11 16:00:00.288,21.31,21.34,20.68,20.71,6771396
2010-08-12 16:00:00.288,20.31,20.96,20.05,20.71,6113937
2010-08-13 16:00:00.288,20.59,20.98,20.52,20.71,4363544
2010-08-16 16:00:00.288,20.57,21.04,20.28,20.44,8049276
2010-08-17 16:00:00.288,20.8,21.04,20.5,20.82,6258988
2010-08-18 16:00:00.288,20.91,20.92,20.44,20.71,3964051
2010-08-19 16:00:00.288,20.5,20.66,19.99,20.15,5308408
2010-08-20 16:00:00.288,19.91,20.28,19.84,20.08,4718411
2010-08-23 16:00:00.288,20.34,20.64,19.87,19.89,5069589
2010-08-24 16:00:00.288,19.57,19.93,19.37,19.45,6011831
2010-08-25 16:00:00.288,19.12,19.35,18.64,19.24,11167589
2010-08-26 16:00:00.288,19.33,19.66,18.81,18.82,6749446
2010-08-27 16:00:00.288,19.08,19.34,18.3,19.3,8435291
2010-08-30 16:00:00.288,19.36,19.36,18.91,18.91,4410459
2010-08-31 16:00:00.288,18.72,19.63,18.67,19.37,6929663
2010-09-01 16:00:00.288,19.86,20.47,19.69,20.43,6811155
2010-09-02 16:00:00.288,20.45,20.84,20.29,20.82,6466942
2010-09-03 16:00:00.288,21.1,21.68,21.07,21.2,6839457
2010-09-07 16:00:00.288,21.16,21.16,20.65,20.84,5164561
2010-09-08 16:00:00.288,20.86,20.98,20.2,20.43,7785153
2010-09-09 16:00:00.288,20.98,21.04,20.54,20.88,6990209
2010-09-10 16:00:00.288,20.96,21.26,20.87,21.2,5558246
2010-09-13 16:00:00.288,21.45,21.84,21.34,21.83,5344105
2010-09-14 16:00:00.288,21.76,21.82,21.4,21.47,6269750
2010-09-15 16:00:00.288,21.4,21.87,21.4,21.68,5242709
2010-09-16 16:00:00.288,21.54,21.91,21.4,21.57,3965676
2010-09-17 16:00:00.288,21.74,22.38,21.48,22.21,8569174
2010-09-20 16:00:00.288,20.46,20.88,19.8,20.8,20279316
2010-09-21 16:00:00.288,20.87,20.99,20.57,20.82,8811901
2010-09-22 16:00:00.288,20.61,21.01,20.14,20.21,10951095
2010-09-23 16:00:00.288,20.0,20.05,19.67,19.76,12164801
2010-09-24 16:00:00.288,20.27,20.75,20.2,20.67,6677903
2010-09-27 16:00:00.288,20.59,20.75,20.39,20.57,3942365
2010-09-28 16:00:00.288,20.57,20.61,19.96,20.27,9253257
