Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,18.76,19.22,18.76,19.14,2390424
2010-01-05 16:00:00.288,19.16,19.96,19.16,19.84,2770138
2010-01-06 16:00:00.288,19.95,20.45,19.91,20.33,3104329
2010-01-07 16:00:00.288,20.26,20.31,19.96,20.08,1496083
2010-01-08 16:00:00.288,20.13,20.19,19.97,20.15,1733379
2010-01-11 16:00:00.288,20.32,20.32,19.85,20.0,1232619
2010-01-12 16:00:00.288,19.7,19.75,19.29,19.68,1645866
2010-01-13 16:00:00.288,19.72,20.04,19.53,19.9,1791645
2010-01-14 16:00:00.288,19.99,20.18,19.6,20.13,1774841
2010-01-15 16:00:00.288,20.01,20.1,19.64,19.8,1672801
2010-01-19 16:00:00.288,19.91,20.04,19.8,20.0,1284776
2010-01-20 16:00:00.288,19.72,19.72,19.3,19.56,1213631
2010-01-21 16:00:00.288,19.49,19.5,18.95,19.01,1891872
2010-01-22 16:00:00.288,18.87,18.98,18.47,18.51,2181616
2010-01-25 16:00:00.288,18.61,18.83,18.49,18.71,1255706
2010-01-26 16:00:00.288,18.47,18.82,18.29,18.51,1754565
2010-01-27 16:00:00.288,18.5,18.75,18.3,18.68,1836364
2010-01-28 16:00:00.288,18.86,18.91,18.35,18.6,1820908
2010-01-29 16:00:00.288,18.6,18.83,18.3,18.34,3013464
2010-02-01 16:00:00.288,18.41,18.78,18.36,18.74,1504634
2010-02-02 16:00:00.288,18.88,19.04,18.78,18.93,1771025
2010-02-03 16:00:00.288,18.79,18.94,18.64,18.87,1471044
2010-02-04 16:00:00.288,18.63,18.7,18.03,18.13,2349909
2010-02-05 16:00:00.288,18.13,18.18,17.48,17.95,2397480
2010-02-08 16:00:00.288,18.08,18.08,17.57,17.59,2056279
2010-02-09 16:00:00.288,17.98,18.07,17.59,17.96,2122712
2010-02-10 16:00:00.288,18.0,18.4,17.96,18.31,1808001
2010-02-11 16:00:00.288,18.29,18.33,17.7,18.19,3387257
