Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,113.05,115.08,112.91,114.5,3307090
2010-01-05 16:00:00.288,113.55,114.36,112.74,112.96,3151334
2010-01-06 16:00:00.288,111.14,114.34,111.14,113.72,6033274
2010-01-07 16:00:00.288,113.1,115.08,112.15,114.53,4204132
2010-01-08 16:00:00.288,113.07,117.77,112.88,116.7,7948400
2010-01-11 16:00:00.288,116.89,117.1,113.78,114.36,4221797
2010-01-12 16:00:00.288,110.88,112.36,109.88,111.29,5261617
2010-01-13 16:00:00.288,112.05,112.45,110.24,112.12,3218815
2010-01-14 16:00:00.288,113.24,114.98,112.79,114.08,3802606
2010-01-15 16:00:00.288,112.15,114.08,109.43,110.33,2654522
2010-01-19 16:00:00.288,109.95,112.17,109.88,112.17,3626812
2010-01-20 16:00:00.288,107.07,107.47,105.04,106.95,4943129
2010-01-21 16:00:00.288,105.54,106.38,100.54,100.99,7413165
2010-01-22 16:00:00.288,99.66,102.92,98.46,99.13,8178935
2010-01-25 16:00:00.288,102.59,103.73,101.06,101.3,4651386
2010-01-26 16:00:00.288,99.2,100.28,97.25,97.39,5436028
2010-01-27 16:00:00.288,97.27,97.99,94.79,97.13,5035419
2010-01-28 16:00:00.288,96.58,96.75,91.29,92.22,7450271
2010-01-29 16:00:00.288,94.32,95.01,91.53,92.19,7028993
2010-02-01 16:00:00.288,95.2,97.15,94.77,97.01,4229802
2010-02-02 16:00:00.288,98.7,99.11,97.49,98.23,5835796
2010-02-03 16:00:00.288,97.34,98.18,96.32,96.44,3353769
2010-02-04 16:00:00.288,93.98,94.36,91.07,91.46,4308323
2010-02-05 16:00:00.288,90.31,90.96,87.0,90.72,7609391
2010-02-08 16:00:00.288,90.07,91.94,88.55,89.62,3853913
2010-02-09 16:00:00.288,93.7,95.56,92.48,94.05,5438177
2010-02-10 16:00:00.288,89.29,89.86,85.54,87.38,11852627
2010-02-11 16:00:00.288,87.62,89.79,86.18,89.38,9710079
2010-02-12 16:00:00.288,86.78,89.55,86.02,89.22,8208270
2010-02-16 16:00:00.288,91.05,93.7,90.48,93.41,5834193
2010-02-17 16:00:00.288,93.96,94.27,91.07,92.19,4369810
2010-02-18 16:00:00.288,92.31,94.22,92.24,94.22,3278955
2010-02-19 16:00:00.288,92.1,94.77,91.6,93.86,6337617
2010-02-22 16:00:00.288,94.48,95.63,93.61,94.6,6096642
2010-02-23 16:00:00.288,92.34,93.34,90.07,90.93,8287232
2010-02-24 16:00:00.288,90.69,92.53,89.98,91.36,4056007
2010-02-25 16:00:00.288,88.17,91.55,87.83,91.53,4632123
2010-02-26 16:00:00.288,89.84,91.41,88.48,91.1,3961778
2010-03-01 16:00:00.288,90.98,91.67,90.19,91.36,4520596
2010-03-02 16:00:00.288,93.98,95.2,93.12,94.03,5800657
2010-03-03 16:00:00.288,95.79,98.54,95.6,97.01,5612673
2010-03-04 16:00:00.288,97.56,98.2,96.18,97.13,5864764
2010-03-05 16:00:00.288,99.66,100.85,99.37,100.85,5211112
2010-03-08 16:00:00.288,101.25,102.49,100.75,102.44,7301696
2010-03-09 16:00:00.288,99.39,101.62,99.39,100.61,5892106
2010-03-10 16:00:00.288,101.56,102.32,100.7,101.16,3942080
2010-03-11 16:00:00.288,99.97,100.39,98.8,100.13,4604864
2010-03-12 16:00:00.288,102.47,102.83,101.13,101.25,5513078
2010-03-15 16:00:00.288,100.04,100.49,98.92,100.32,3992661
2010-03-16 16:00:00.288,100.92,104.16,100.8,103.9,6441832
2010-03-17 16:00:00.288,104.21,105.47,103.68,103.95,5610529
2010-03-18 16:00:00.288,104.47,104.83,102.56,103.33,4007840
2010-03-19 16:00:00.288,102.71,103.02,99.89,100.63,5736169
2010-03-22 16:00:00.288,97.44,100.94,97.44,100.66,4699660
2010-03-23 16:00:00.288,101.2,103.3,100.87,103.16,5561193
2010-03-24 16:00:00.288,100.63,101.75,100.2,100.92,5272918
2010-03-25 16:00:00.288,104.88,105.9,102.78,102.97,7266436
2010-03-26 16:00:00.288,104.68,105.57,103.73,104.76,5247053
2010-03-29 16:00:00.288,106.16,107.16,106.07,106.71,3964626
2010-03-30 16:00:00.288,105.47,105.66,103.64,104.57,3870629
2010-03-31 16:00:00.288,104.49,105.54,104.02,104.66,4035027
2010-04-01 16:00:00.288,107.59,108.78,107.28,108.36,5030841
2010-04-05 16:00:00.288,109.9,110.69,108.81,110.24,2859288
2010-04-06 16:00:00.288,110.5,112.62,110.36,111.91,6043539
2010-04-07 16:00:00.288,111.24,111.62,108.62,109.59,5387331
2010-04-08 16:00:00.288,106.88,109.36,106.52,109.14,4402745
2010-04-09 16:00:00.288,109.07,109.95,108.47,109.12,3873615
2010-04-12 16:00:00.288,108.88,110.09,108.71,108.88,2400105
2010-04-13 16:00:00.288,109.26,109.83,107.97,108.86,3082907
2010-04-14 16:00:00.288,111.95,112.03,110.38,111.43,3771985
2010-04-15 16:00:00.288,109.9,110.81,108.7,108.9,3183789
2010-04-16 16:00:00.288,107.38,108.02,103.71,104.68,5800530
2010-04-19 16:00:00.288,103.42,104.21,101.73,103.35,5285505
2010-04-20 16:00:00.288,106.33,106.52,104.3,104.52,4127989
2010-04-21 16:00:00.288,103.02,103.66,101.71,102.83,3985810
2010-04-22 16:00:00.288,100.35,100.82,98.77,100.73,4951799
2010-04-23 16:00:00.288,99.97,101.66,99.42,101.23,3188416
2010-04-26 16:00:00.288,103.04,103.53,101.87,102.28,3035525
2010-04-27 16:00:00.288,101.44,102.04,97.32,97.68,6454237
2010-04-28 16:00:00.288,97.56,98.77,96.03,97.61,5354286
2010-04-29 16:00:00.288,96.51,97.8,95.48,95.67,7695125
2010-04-30 16:00:00.288,94.84,95.1,92.19,92.55,7910494
2010-05-03 16:00:00.288,95.13,95.17,92.29,92.96,6222567
2010-05-04 16:00:00.288,89.45,89.55,86.93,87.48,9107742
2010-05-05 16:00:00.288,84.71,88.48,84.26,86.78,8479197
2010-05-06 16:00:00.288,85.9,87.59,75.08,82.18,11175629
2010-05-07 16:00:00.288,82.68,83.97,78.49,80.56,13465726
2010-05-10 16:00:00.288,89.19,89.53,86.71,88.19,7585990
2010-05-11 16:00:00.288,84.64,86.88,84.38,84.78,4729245
2010-05-12 16:00:00.288,84.9,85.71,83.88,85.12,5694848
2010-05-13 16:00:00.288,83.71,85.38,83.02,83.35,5311808
2010-05-14 16:00:00.288,80.13,80.44,76.81,77.61,10131565
2010-05-17 16:00:00.288,77.97,78.3,74.22,76.7,7758834
2010-05-18 16:00:00.288,78.11,78.75,74.13,74.6,6842995
2010-05-19 16:00:00.288,73.53,74.65,72.17,74.51,8409133
2010-05-20 16:00:00.288,69.43,73.08,68.12,69.48,15105216
2010-05-21 16:00:00.288,70.03,73.14,69.62,72.96,9366414
2010-05-24 16:00:00.288,70.48,71.08,69.19,69.22,6774701
2010-05-25 16:00:00.288,65.83,71.27,65.45,71.1,10133201
2010-05-26 16:00:00.288,71.86,72.51,69.07,69.29,9837755
2010-05-27 16:00:00.288,72.91,75.01,72.05,74.94,8000273
2010-05-28 16:00:00.288,73.48,74.94,71.41,72.27,6204576
2010-06-01 16:00:00.288,69.84,72.43,68.6,68.76,8186832
2010-06-02 16:00:00.288,69.74,71.6,68.76,71.46,8285060
2010-06-03 16:00:00.288,72.01,72.22,68.34,69.43,5647742
2010-06-04 16:00:00.288,66.81,67.62,65.19,65.55,8744458
2010-06-07 16:00:00.288,64.93,65.48,63.33,63.5,8523387
2010-06-08 16:00:00.288,63.47,64.86,62.64,64.69,11880526
2010-06-09 16:00:00.288,66.36,67.22,64.36,64.95,8767746
2010-06-10 16:00:00.288,68.29,69.05,67.24,68.65,6894949
2010-06-11 16:00:00.288,67.24,69.07,67.19,68.91,5377984
2010-06-14 16:00:00.288,72.05,73.03,70.7,70.91,8575038
2010-06-15 16:00:00.288,72.86,74.49,72.22,74.27,7088824
2010-06-16 16:00:00.288,72.84,73.79,72.48,73.13,5409097
2010-06-17 16:00:00.288,73.89,73.89,71.86,72.98,6158209
2010-06-18 16:00:00.288,72.77,73.15,72.2,72.58,5053440
2010-06-21 16:00:00.288,76.65,77.23,75.06,75.53,7747273
2010-06-22 16:00:00.288,75.15,75.84,73.37,73.65,5429418
2010-06-23 16:00:00.288,73.77,74.58,72.03,73.96,5398872
2010-06-24 16:00:00.288,72.7,72.84,71.06,71.36,4772302
2010-06-25 16:00:00.288,69.62,70.99,68.78,70.6,6414408
2010-06-28 16:00:00.288,71.29,71.67,69.74,70.22,4919829
2010-06-29 16:00:00.288,67.41,67.45,65.19,65.79,10789077
2010-06-30 16:00:00.288,65.05,66.54,63.57,63.78,7797883
2010-07-01 16:00:00.288,66.05,66.45,63.54,65.12,11633913
2010-07-02 16:00:00.288,66.43,66.71,64.28,65.09,5056081
2010-07-06 16:00:00.288,68.26,68.76,66.07,67.02,7167562
