Date,Open,High,Low,Close,Volume
2020-12-14 16:00:00.288,10.75,10.75,10.02,10.2,140012
2020-12-15 16:00:00.288,10.5,10.5,10.0,10.22,424126
2020-12-16 16:00:00.288,10.25,10.29,10.1,10.22,48761
2020-12-17 16:00:00.288,10.18,10.24,10.18,10.22,28549
2020-12-18 16:00:00.288,10.22,10.81,10.19,10.81,87187
2020-12-21 16:00:00.288,10.61,10.61,10.17,10.23,26292
2020-12-22 16:00:00.288,10.5,10.5,10.12,10.2,47718
2020-12-23 16:00:00.288,11.15,11.27,10.51,11.0,4821099
2020-12-24 13:00:00.288,11.89,11.95,11.25,11.59,2836411
2020-12-28 16:00:00.288,11.95,12.07,11.55,11.79,2664898
2020-12-29 16:00:00.288,11.57,11.64,11.1,11.43,873446
2020-12-30 16:00:00.288,11.28,11.55,11.14,11.31,656142
2020-12-31 16:00:00.288,11.5,11.55,11.26,11.38,486493
2021-01-04 16:00:00.288,11.23,11.4,10.85,10.9,556331
2021-01-05 16:00:00.288,10.99,11.06,10.6,10.96,689047
2021-01-06 16:00:00.288,10.9,10.93,10.65,10.7,537701
2021-01-07 16:00:00.288,10.7,10.75,10.63,10.69,823243
2021-01-08 16:00:00.288,10.75,10.77,10.65,10.73,325131
2021-01-11 16:00:00.288,10.72,10.81,10.6,10.81,1254827
2021-01-12 16:00:00.288,10.74,11.06,10.74,10.93,1355557
2021-01-13 16:00:00.288,11.01,11.13,10.9,11.07,1172485
2021-01-14 16:00:00.288,11.0,11.12,10.91,11.06,824862
2021-01-15 16:00:00.288,10.97,11.03,10.8,10.9,578660
2021-01-19 16:00:00.288,10.9,10.96,10.84,10.92,530699
2021-01-20 16:00:00.288,10.92,11.01,10.82,11.0,550636
2021-01-21 16:00:00.288,11.02,11.06,10.8,10.86,1223464
2021-01-22 16:00:00.288,10.86,10.98,10.8,10.98,581044
2021-01-25 16:00:00.288,10.94,10.96,10.57,10.68,1078712
2021-01-26 16:00:00.288,10.65,10.65,10.29,10.37,1046227
2021-01-27 16:00:00.288,10.2,10.34,10.11,10.27,791288
2021-01-28 16:00:00.288,10.31,11.24,10.23,10.6,4443586
2021-01-29 16:00:00.288,10.48,10.5,10.3,10.45,730840
2021-02-01 16:00:00.288,10.43,10.81,10.4,10.45,751112
2021-02-02 16:00:00.288,10.4,10.64,10.4,10.57,805577
2021-02-03 16:00:00.288,10.66,10.8,10.48,10.74,573846
2021-02-04 16:00:00.288,10.73,10.8,10.43,10.44,999473
2021-02-05 16:00:00.288,10.51,10.6,10.37,10.42,676143
2021-02-08 16:00:00.288,10.46,10.65,10.41,10.51,371128
2021-02-09 16:00:00.288,10.5,10.58,10.37,10.47,485661
2021-02-10 16:00:00.288,10.44,10.47,10.38,10.42,626936
2021-02-11 16:00:00.288,10.35,10.55,10.32,10.39,759118
2021-02-12 16:00:00.288,10.35,10.49,10.22,10.49,544171
2021-02-16 16:00:00.288,10.42,10.66,10.35,10.64,894939
2021-02-17 16:00:00.288,10.54,10.55,10.35,10.45,362944
2021-02-18 16:00:00.288,10.35,10.36,10.2,10.31,815357
2021-02-19 16:00:00.288,10.29,10.5,10.2,10.3,615172
2021-02-22 16:00:00.288,10.27,10.36,10.14,10.33,551718
2021-02-23 16:00:00.288,10.25,10.34,10.1,10.27,779462
2021-02-24 16:00:00.288,10.29,10.35,10.2,10.35,331075
2021-02-25 16:00:00.288,10.3,10.3,10.15,10.25,224067
2021-02-26 16:00:00.288,10.2,10.22,10.03,10.2,427656
2021-03-01 16:00:00.288,10.15,10.18,10.06,10.09,276065
2021-03-02 16:00:00.288,10.06,10.14,10.01,10.08,295249
2021-03-03 16:00:00.288,10.05,10.09,10.0,10.09,268185
2021-03-04 16:00:00.288,10.02,10.08,9.95,9.99,719121
2021-03-05 16:00:00.288,9.98,10.15,9.96,10.06,819378
2021-03-08 16:00:00.288,10.06,10.1,9.95,9.95,240681
2021-03-09 16:00:00.288,9.98,10.05,9.95,9.97,247636
2021-03-10 16:00:00.288,9.97,10.0,9.92,9.93,383024
2021-03-11 16:00:00.288,9.95,10.0,9.9,9.98,770652
2021-03-12 16:00:00.288,9.95,9.97,9.9,9.94,243106
2021-03-15 16:00:00.288,9.97,10.0,9.94,9.96,302079
2021-03-16 16:00:00.288,9.92,9.98,9.92,9.94,142095
2021-03-17 16:00:00.288,9.97,9.97,9.92,9.95,94449
2021-03-18 16:00:00.288,9.93,9.97,9.9,9.92,231300
2021-03-19 16:00:00.288,9.93,10.01,9.9,9.97,193177
2021-03-22 16:00:00.288,10.0,10.0,9.91,9.93,81444
2021-03-23 16:00:00.288,9.94,9.94,9.82,9.9,176111
2021-03-24 16:00:00.288,9.9,9.91,9.7,9.74,655503
2021-03-25 16:00:00.288,9.68,9.98,9.64,9.98,574168
2021-03-26 16:00:00.288,10.0,10.0,9.83,9.99,798181
2021-03-29 16:00:00.288,9.96,9.99,9.86,9.91,1087309
2021-03-30 16:00:00.288,9.9,9.94,9.86,9.86,1065215
2021-03-31 16:00:00.288,9.86,9.88,9.85,9.88,290257
2021-04-01 16:00:00.288,9.9,9.97,9.87,9.9,138673
2021-04-05 16:00:00.288,9.96,10.0,9.9,9.96,979453
2021-04-06 16:00:00.288,9.98,10.05,9.95,9.98,442805
2021-04-07 16:00:00.288,10.0,10.02,9.95,9.99,615901
2021-04-08 16:00:00.288,10.0,10.0,9.95,9.99,157367
2021-04-09 16:00:00.288,9.99,10.02,9.85,9.99,584416
2021-04-12 16:00:00.288,9.93,9.99,9.91,9.94,158312
2021-04-13 16:00:00.288,9.95,9.99,9.93,9.96,168921
2021-04-14 16:00:00.288,9.95,9.99,9.92,9.99,261656
2021-04-15 16:00:00.288,9.97,9.98,9.92,9.92,105342
2021-04-16 16:00:00.288,9.92,10.09,9.9,9.93,359737
2021-04-19 16:00:00.288,9.92,9.98,9.85,9.89,260454
2021-04-20 16:00:00.288,9.88,9.98,9.87,9.95,217855
2021-04-21 16:00:00.288,9.92,9.96,9.87,9.87,385855
2021-04-22 16:00:00.288,9.91,9.99,9.9,9.96,405701
2021-04-23 16:00:00.288,9.92,9.99,9.89,9.9,331193
2021-04-26 16:00:00.288,9.91,9.97,9.9,9.92,163272
2021-04-27 16:00:00.288,9.92,9.98,9.87,9.89,235783
2021-04-28 16:00:00.288,9.9,9.92,9.9,9.92,26880
2021-04-29 16:00:00.288,9.93,9.97,9.87,9.96,164618
2021-04-30 16:00:00.288,9.96,9.99,9.91,9.99,251042
2021-05-03 16:00:00.288,9.98,10.01,9.95,10.01,498233
2021-05-04 16:00:00.288,10.03,10.03,9.96,10.0,313538
2021-05-05 16:00:00.288,9.97,10.0,9.96,9.98,412863
2021-05-06 16:00:00.288,9.98,10.0,9.97,9.98,317265
2021-05-07 16:00:00.288,9.97,9.99,9.97,9.98,227472
2021-05-10 16:00:00.288,10.0,10.0,9.96,9.98,632269
2021-05-11 16:00:00.288,9.97,9.99,9.96,9.97,1582374
2021-05-12 16:00:00.288,9.97,9.98,9.96,9.97,1059935
2021-05-13 16:00:00.288,9.79,10.05,9.35,9.92,971725
2021-05-14 16:00:00.288,9.96,9.96,9.7,9.78,334493
2021-05-17 16:00:00.288,9.72,9.9,9.71,9.86,111282
2021-05-18 16:00:00.288,9.8,9.82,9.65,9.75,295981
2021-05-19 16:00:00.288,9.74,10.08,9.73,10.01,319263
2021-05-20 16:00:00.288,10.0,11.09,9.68,10.41,912853
2021-05-21 16:00:00.288,10.58,12.1,10.55,11.6,1066856
2021-05-24 16:00:00.288,11.8,12.44,11.71,12.1,787142
2021-05-25 16:00:00.288,12.1,12.58,11.91,12.49,569429
2021-05-26 16:00:00.288,12.57,12.64,12.25,12.3,313408
2021-05-27 16:00:00.288,12.31,12.43,11.68,11.75,953033
2021-05-28 16:00:00.288,12.04,12.04,11.58,11.75,367587
2021-06-01 16:00:00.288,11.84,12.02,11.65,11.94,589991
2021-06-02 16:00:00.288,11.95,12.05,11.51,11.76,569265
2021-06-03 16:00:00.288,11.75,13.11,11.59,12.66,684172
2021-06-04 16:00:00.288,12.66,13.98,12.57,13.87,1146003
2021-06-07 16:00:00.288,13.95,16.85,13.95,16.3,5523718
2021-06-08 16:00:00.288,16.39,16.47,15.37,16.06,2700814
2021-06-09 16:00:00.288,16.23,17.36,15.32,15.7,2125928
2021-06-10 16:00:00.288,15.64,16.34,15.61,16.25,1509886
2021-06-11 16:00:00.288,17.0,17.0,13.84,14.31,3219147
2021-06-14 16:00:00.288,14.38,14.49,13.0,13.17,1912619
2021-06-15 16:00:00.288,13.19,13.81,12.52,13.1,1263952
2021-06-16 16:00:00.288,12.73,13.47,12.49,12.49,1126423
2021-06-17 16:00:00.288,12.49,12.81,12.02,12.02,930209
2021-06-18 16:00:00.288,11.97,13.01,11.72,12.16,1519155
2021-06-21 16:00:00.288,12.2,12.27,11.63,12.05,508161
2021-06-22 16:00:00.288,11.95,12.49,11.78,12.34,373638
2021-06-23 16:00:00.288,12.76,12.88,12.4,12.46,650305
2021-06-24 16:00:00.288,12.64,12.98,12.4,12.77,709230
2021-06-25 16:00:00.288,12.8,13.17,12.56,13.02,543576
2021-06-28 16:00:00.288,13.23,13.25,12.66,12.75,345936
2021-06-29 16:00:00.288,13.3,13.62,12.67,13.4,821736
2021-06-30 16:00:00.288,13.21,13.54,12.7,12.88,361311
2021-07-01 16:00:00.288,12.97,13.24,12.63,12.74,286197
2021-07-02 16:00:00.288,12.8,12.97,12.5,12.66,268176
2021-07-06 16:00:00.288,12.89,13.09,12.55,13.04,416022
2021-07-07 16:00:00.288,13.0,13.36,12.62,13.35,442746
2021-07-08 16:00:00.288,12.94,13.12,12.72,12.78,381481
2021-07-09 16:00:00.288,12.91,13.02,12.2,12.68,420868
2021-07-12 16:00:00.288,12.61,13.35,12.57,13.23,207555
2021-07-13 16:00:00.288,13.3,13.58,12.91,12.91,234839
2021-07-14 16:00:00.288,12.92,13.81,12.66,13.13,484814
2021-07-15 16:00:00.288,13.19,13.35,12.53,12.79,682989
2021-07-16 16:00:00.288,13.07,13.45,12.76,12.8,378654
2021-07-19 16:00:00.288,12.86,13.1,12.51,12.9,397769
2021-07-20 16:00:00.288,12.98,13.53,12.8,13.26,341565
2021-07-21 16:00:00.288,13.56,13.7,13.21,13.63,520831
2021-07-22 16:00:00.288,13.59,13.97,13.46,13.71,296067
2021-07-23 16:00:00.288,13.92,13.95,13.54,13.92,265963
2021-07-26 16:00:00.288,13.99,14.38,13.8,13.97,341249
2021-07-27 16:00:00.288,13.94,14.15,13.23,13.63,407426
2021-07-28 16:00:00.288,13.64,13.97,13.41,13.48,272086
2021-07-29 16:00:00.288,13.36,13.92,13.25,13.83,256577
2021-07-30 16:00:00.288,13.82,14.48,13.61,14.25,383157
2021-08-02 16:00:00.288,14.12,14.15,12.16,12.47,4177654
2021-08-03 16:00:00.288,12.98,13.85,12.36,13.0,8695411
2021-08-04 16:00:00.288,12.7,13.0,12.36,12.44,2867541
2021-08-05 16:00:00.288,12.28,12.57,12.26,12.4,1214360
2021-08-06 16:00:00.288,12.46,12.58,12.11,12.4,1791689
2021-08-09 16:00:00.288,12.42,12.66,12.26,12.43,1222993
2021-08-10 16:00:00.288,12.55,12.81,12.16,12.26,2044298
2021-08-11 16:00:00.288,12.3,12.65,12.16,12.37,1015964
2021-08-12 16:00:00.288,12.39,12.83,12.2,12.75,682886
2021-08-13 16:00:00.288,12.85,13.1,12.55,12.91,2863874
2021-08-16 16:00:00.288,12.77,13.2,12.5,13.0,1821935
2021-08-17 16:00:00.288,12.94,13.15,12.65,12.91,1987480
2021-08-18 16:00:00.288,12.85,13.05,12.68,12.79,917528
2021-08-19 16:00:00.288,12.71,13.02,12.63,12.8,1100921
2021-08-20 16:00:00.288,12.8,13.46,12.15,12.48,1786589
2021-08-23 16:00:00.288,12.51,12.95,12.51,12.75,1073463
2021-08-24 16:00:00.288,12.8,13.49,12.68,13.21,1850296
2021-08-25 16:00:00.288,13.21,13.38,12.97,13.19,991957
2021-08-26 16:00:00.288,13.11,13.76,13.08,13.72,2021924
2021-08-27 16:00:00.288,13.75,14.4,13.51,13.66,2758749
2021-08-30 16:00:00.288,13.73,14.28,13.73,14.0,1379278
2021-08-31 16:00:00.288,14.09,14.19,13.73,13.77,1222125
2021-09-01 16:00:00.288,13.77,14.25,13.64,14.05,835931
2021-09-02 16:00:00.288,14.16,14.23,13.91,14.06,738651
2021-09-03 16:00:00.288,13.97,14.94,13.93,14.45,4150704
2021-09-07 16:00:00.288,14.86,15.28,14.41,14.8,5336237
2021-09-08 16:00:00.288,14.69,15.12,14.41,14.8,2297461
2021-09-09 16:00:00.288,14.7,15.86,14.67,15.46,2639180
2021-09-10 16:00:00.288,15.56,15.95,15.43,15.75,2440816
2021-09-13 16:00:00.288,15.68,16.14,15.56,16.01,2292823
2021-09-14 16:00:00.288,16.18,16.67,15.85,16.05,2788025
2021-09-15 16:00:00.288,16.08,16.63,16.08,16.43,4333062
2021-09-16 16:00:00.288,16.35,16.9,16.23,16.34,4408794
2021-09-17 16:00:00.288,16.3,16.67,15.86,15.99,19676361
2021-09-20 16:00:00.288,15.62,15.78,14.97,15.32,4551964
2021-09-21 16:00:00.288,15.44,15.6,15.1,15.33,5204736
2021-09-22 16:00:00.288,15.38,15.71,15.2,15.6,976499
2021-09-23 16:00:00.288,15.64,15.82,15.54,15.65,1396148
2021-09-24 16:00:00.288,15.56,16.15,15.56,15.91,1445589
2021-09-27 16:00:00.288,15.9,16.28,15.79,16.14,1091718
2021-09-28 16:00:00.288,16.04,16.1,15.81,15.99,905773
2021-09-29 16:00:00.288,15.98,16.16,15.63,15.66,688254
2021-09-30 16:00:00.288,15.7,15.77,15.46,15.56,558500
2021-10-01 16:00:00.288,15.52,15.6,15.38,15.59,722212
2021-10-04 16:00:00.288,15.47,15.53,15.17,15.17,1044424
2021-10-05 16:00:00.288,15.16,15.35,15.13,15.31,790300
2021-10-06 16:00:00.288,15.13,15.23,14.67,14.95,1142093
2021-10-07 16:00:00.288,15.14,15.41,14.95,15.18,956604
2021-10-08 16:00:00.288,15.11,15.49,15.04,15.35,1526719
2021-10-11 16:00:00.288,15.35,15.64,15.22,15.24,660216
2021-10-12 16:00:00.288,15.26,15.5,15.16,15.41,755583
2021-10-13 16:00:00.288,15.35,15.91,15.34,15.88,838050
2021-10-14 16:00:00.288,16.01,16.01,15.68,15.75,603005
2021-10-15 16:00:00.288,15.82,16.05,15.71,15.89,907143
2021-10-18 16:00:00.288,15.99,16.06,15.75,15.99,903384
2021-10-19 16:00:00.288,16.17,16.77,16.0,16.74,1554595
2021-10-20 16:00:00.288,16.8,17.11,16.7,16.92,1181778
2021-10-21 16:00:00.288,16.95,17.4,16.88,17.25,1471316
2021-10-22 16:00:00.288,17.42,17.5,16.98,17.13,1147359
2021-10-25 16:00:00.288,17.18,17.29,16.92,17.2,1450743
2021-10-26 16:00:00.288,17.25,17.25,16.99,17.08,1292944
2021-10-27 16:00:00.288,16.96,17.15,16.87,17.02,959636
2021-10-28 16:00:00.288,17.03,17.67,16.95,17.64,1508646
2021-10-29 16:00:00.288,17.51,17.66,17.05,17.24,809737
2021-11-01 16:00:00.288,17.37,17.61,17.27,17.57,740432
2021-11-02 16:00:00.288,17.63,17.89,17.45,17.86,688815
2021-11-03 16:00:00.288,17.75,17.84,17.2,17.24,527269
2021-11-04 16:00:00.288,17.25,17.28,16.91,17.08,766802
2021-11-05 16:00:00.288,17.08,17.2,16.83,17.08,699244
2021-11-08 16:00:00.288,17.1,17.31,16.75,17.23,1166855
2021-11-09 16:00:00.288,17.17,17.34,16.05,16.2,1871869
2021-11-10 16:00:00.288,16.2,16.82,15.81,16.08,1627840
2021-11-11 16:00:00.288,16.15,16.8,16.15,16.59,1069266
2021-11-12 16:00:00.288,16.67,16.74,15.99,16.0,1657516
2021-11-15 16:00:00.288,16.03,16.11,15.85,16.02,1317823
2021-11-16 16:00:00.288,16.0,16.42,15.98,16.0,990657
2021-11-17 16:00:00.288,15.94,16.26,15.94,16.23,1519948
2021-11-18 16:00:00.288,16.23,16.4,16.04,16.19,1586121
2021-11-19 16:00:00.288,16.1,16.2,15.48,15.5,4378524
2021-11-22 16:00:00.288,15.76,15.76,15.47,15.53,2032637
2021-11-23 16:00:00.288,15.65,15.76,15.33,15.45,2100354
2021-11-24 16:00:00.288,15.47,15.65,15.42,15.59,1935906
2021-11-26 13:00:00.288,15.32,15.59,15.31,15.44,670154
