Date,Open,High,Low,Close,Volume
2015-05-21 16:00:00.288,2.8,2.87,2.41,2.57,12303919
2015-05-22 16:00:00.288,2.62,3.11,2.6,2.83,2842581
2015-05-26 16:00:00.288,2.98,3.03,2.91,2.97,819883
2015-05-27 16:00:00.288,3.07,3.08,2.7,2.75,797976
2015-05-28 16:00:00.288,2.76,2.77,2.65,2.75,400337
2015-05-29 16:00:00.288,2.73,2.74,2.69,2.72,255919
2015-06-01 16:00:00.288,2.72,2.74,2.66,2.73,257040
2015-06-02 16:00:00.288,2.75,2.75,2.67,2.7,379765
2015-06-03 16:00:00.288,2.68,2.75,2.65,2.74,302948
2015-06-04 16:00:00.288,2.74,2.75,2.55,2.68,322577
2015-06-05 16:00:00.288,2.67,2.74,2.61,2.74,129560
2015-06-08 16:00:00.288,2.69,2.75,2.68,2.7,280925
2015-06-09 16:00:00.288,2.66,2.85,2.66,2.83,337785
2015-06-10 16:00:00.288,2.85,2.89,2.8,2.81,273588
2015-06-11 16:00:00.288,2.85,3.07,2.85,3.07,461619
2015-06-12 16:00:00.288,3.13,3.37,3.13,3.36,848352
2015-06-15 16:00:00.288,3.4,3.81,3.29,3.55,1694460
2015-06-16 16:00:00.288,3.61,3.84,3.58,3.81,1109342
2015-06-17 16:00:00.288,3.96,4.21,3.8,3.86,1595202
2015-06-18 16:00:00.288,3.84,3.89,3.43,3.56,1148173
2015-06-19 16:00:00.288,3.63,3.67,3.26,3.55,979092
2015-06-22 16:00:00.288,3.68,3.85,3.61,3.69,792238
2015-06-23 16:00:00.288,3.78,3.81,3.52,3.54,294227
2015-06-24 16:00:00.288,3.51,3.74,3.41,3.6,564367
2015-06-25 16:00:00.288,3.63,3.65,3.48,3.48,208183
2015-06-26 16:00:00.288,3.49,3.53,3.26,3.35,346533
2015-06-29 16:00:00.288,3.25,3.35,3.12,3.13,315520
2015-06-30 16:00:00.288,3.15,3.44,3.15,3.4,473587
2015-07-01 16:00:00.288,3.4,3.5,2.99,3.11,1012514
2015-07-02 16:00:00.288,3.15,3.17,3.06,3.13,303653
2015-07-06 16:00:00.288,3.11,3.17,3.04,3.05,149336
2015-07-07 16:00:00.288,3.05,3.08,2.85,3.08,348945
2015-07-08 16:00:00.288,3.0,3.04,2.9,2.92,187363
2015-07-09 16:00:00.288,2.97,3.04,2.88,2.91,249100
2015-07-10 16:00:00.288,2.93,3.03,2.91,2.96,280486
2015-07-13 16:00:00.288,2.99,3.1,2.98,3.04,220053
2015-07-14 16:00:00.288,3.08,3.13,3.05,3.09,145520
2015-07-15 16:00:00.288,3.09,3.1,2.89,2.93,357017
2015-07-16 16:00:00.288,2.91,2.99,2.89,2.94,148265
2015-07-17 16:00:00.288,2.93,3.24,2.92,3.23,1619718
2015-07-20 16:00:00.288,3.24,3.39,3.16,3.38,414154
2015-07-21 16:00:00.288,3.4,3.47,3.21,3.32,414769
2015-07-22 16:00:00.288,3.3,3.35,3.14,3.21,255700
2015-07-23 16:00:00.288,3.26,3.44,3.26,3.31,265771
2015-07-24 16:00:00.288,3.35,3.48,3.32,3.36,357721
2015-07-27 16:00:00.288,3.34,3.4,3.21,3.29,200495
2015-07-28 16:00:00.288,3.35,3.45,3.28,3.41,174784
2015-07-29 16:00:00.288,3.41,3.49,3.32,3.42,201044
2015-07-30 16:00:00.288,3.87,4.03,3.7,3.81,1162785
2015-07-31 16:00:00.288,3.81,3.83,3.64,3.74,525888
2015-08-03 16:00:00.288,3.75,4.05,3.66,4.04,534990
2015-08-04 16:00:00.288,4.01,4.11,3.81,3.84,573350
2015-08-05 16:00:00.288,3.9,4.0,3.82,3.85,291094
2015-08-06 16:00:00.288,3.84,3.88,3.52,3.63,383039
2015-08-07 16:00:00.288,3.63,3.63,3.43,3.52,321548
