Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,21.44,21.59,21.34,21.57,29139478
2010-01-05 16:00:00.288,21.66,21.68,21.4,21.46,35234456
2010-01-06 16:00:00.288,21.09,21.15,20.79,20.84,37901928
2010-01-07 16:00:00.288,20.81,20.9,20.47,20.6,33600552
2010-01-08 16:00:00.288,20.6,20.67,20.29,20.45,27635224
2010-01-11 16:00:00.288,20.51,20.54,20.26,20.35,25794632
2010-01-12 16:00:00.288,20.26,20.46,20.21,20.35,26314372
2010-01-13 16:00:00.288,20.38,20.45,20.02,20.1,42597500
2010-01-14 16:00:00.288,20.1,20.26,19.68,19.77,42251520
2010-01-15 16:00:00.288,19.81,19.83,19.36,19.46,64018228
2010-01-19 16:00:00.288,19.56,19.81,19.47,19.77,33966472
2010-01-20 16:00:00.288,19.64,19.64,19.4,19.49,39089552
2010-01-21 16:00:00.288,19.56,19.61,19.17,19.37,40078444
2010-01-22 16:00:00.288,19.26,19.49,19.14,19.16,38382936
2010-01-25 16:00:00.288,19.42,19.55,19.11,19.31,29904560
2010-01-26 16:00:00.288,19.17,19.25,18.91,19.12,34173192
2010-01-27 16:00:00.288,19.03,19.71,18.94,19.34,58991724
2010-01-28 16:00:00.288,19.4,19.74,19.09,19.27,52073068
2010-01-29 16:00:00.288,19.33,19.43,19.13,19.14,38925412
2010-02-01 16:00:00.288,19.37,19.4,19.08,19.15,36774304
2010-02-02 16:00:00.288,19.15,19.5,19.07,19.39,31119896
2010-02-03 16:00:00.288,19.34,19.48,19.17,19.31,22954152
2010-02-04 16:00:00.288,19.19,19.24,18.89,18.89,32334560
2010-02-05 16:00:00.288,18.96,19.1,18.84,19.05,50884628
2010-02-08 16:00:00.288,19.01,19.07,18.84,18.85,27177112
2010-02-09 16:00:00.288,19.0,19.18,18.91,19.06,34939724
2010-02-10 16:00:00.288,19.04,19.06,18.87,18.96,26654564
2010-02-11 16:00:00.288,18.91,19.15,18.74,19.01,27448484
2010-02-12 16:00:00.288,18.89,18.98,18.76,18.92,34115208
2010-02-16 16:00:00.288,19.09,19.24,18.97,19.11,25906058
2010-02-17 16:00:00.288,19.18,19.26,19.02,19.17,19506412
2010-02-18 16:00:00.288,19.17,19.27,18.99,19.05,27028478
2010-02-19 16:00:00.288,19.02,19.17,18.88,18.94,34707720
2010-02-22 16:00:00.288,18.97,18.99,18.84,18.88,31114628
2010-02-23 16:00:00.288,18.87,18.89,18.74,18.74,28519052
2010-02-24 16:00:00.288,18.78,18.83,18.72,18.8,28973318
2010-02-25 16:00:00.288,18.69,18.76,18.57,18.69,29584432
2010-02-26 16:00:00.288,18.76,18.8,18.65,18.72,29184348
2010-03-01 16:00:00.288,18.8,18.92,18.74,18.87,24905966
2010-03-02 16:00:00.288,18.87,18.91,18.65,18.78,33402686
2010-03-03 16:00:00.288,18.89,18.89,18.72,18.78,20701446
2010-03-04 16:00:00.288,18.79,18.87,18.72,18.84,28737108
2010-03-05 16:00:00.288,18.89,18.91,18.73,18.86,27961458
2010-03-08 16:00:00.288,18.91,19.14,18.79,19.08,24682642
2010-03-09 16:00:00.288,19.12,19.42,19.09,19.29,43466720
2010-03-10 16:00:00.288,19.33,19.41,19.15,19.26,23539320
2010-03-11 16:00:00.288,19.18,19.32,19.09,19.32,21768716
2010-03-12 16:00:00.288,19.39,19.42,19.18,19.34,17818192
2010-03-15 16:00:00.288,19.38,19.47,19.29,19.46,20320370
2010-03-16 16:00:00.288,19.52,19.61,19.4,19.51,17620336
2010-03-17 16:00:00.288,19.58,19.61,19.51,19.55,18109632
2010-03-18 16:00:00.288,19.59,19.69,19.55,19.67,17017900
2010-03-19 16:00:00.288,19.77,19.86,19.61,19.8,35866628
2010-03-22 16:00:00.288,19.77,20.03,19.68,19.92,24538548
2010-03-23 16:00:00.288,19.98,20.05,19.87,20.04,18143280
2010-03-24 16:00:00.288,19.94,20.0,19.71,19.82,20422816
2010-03-25 16:00:00.288,19.95,19.95,19.71,19.74,24102332
2010-03-26 16:00:00.288,19.75,20.0,19.71,19.8,18060752
2010-03-29 16:00:00.288,19.89,20.05,19.85,20.01,20319796
2010-03-30 16:00:00.288,19.8,19.87,19.5,19.58,52256516
2010-03-31 16:00:00.288,19.55,19.65,19.43,19.5,36707896
2010-04-01 16:00:00.288,19.66,19.78,19.55,19.71,20559228
2010-04-05 16:00:00.288,19.85,19.89,19.72,19.86,23978284
2010-04-06 16:00:00.288,19.83,19.89,19.74,19.86,21372360
2010-04-07 16:00:00.288,19.62,19.64,19.23,19.36,31376956
2010-04-08 16:00:00.288,19.33,19.67,19.32,19.64,36555684
2010-04-09 16:00:00.288,19.71,20.01,19.67,19.95,39747636
2010-04-12 16:00:00.288,20.05,20.13,19.88,19.91,22940168
2010-04-13 16:00:00.288,19.86,19.95,19.64,19.77,38016740
2010-04-14 16:00:00.288,19.75,19.8,19.63,19.8,27719604
2010-04-15 16:00:00.288,19.74,19.85,19.65,19.8,28001022
2010-04-16 16:00:00.288,19.77,19.89,19.55,19.57,31988636
2010-04-19 16:00:00.288,19.69,19.96,19.58,19.91,33301204
2010-04-20 16:00:00.288,19.94,20.18,19.89,20.12,34479608
2010-04-21 16:00:00.288,20.18,20.19,19.73,19.88,44752764
2010-04-22 16:00:00.288,19.69,19.86,19.46,19.83,32947272
2010-04-23 16:00:00.288,19.75,19.84,19.61,19.81,28023248
2010-04-26 16:00:00.288,19.8,19.94,19.78,19.83,17782576
2010-04-27 16:00:00.288,19.77,19.86,19.53,19.58,33875068
2010-04-28 16:00:00.288,19.62,19.7,19.34,19.55,34159612
2010-04-29 16:00:00.288,19.68,19.85,19.58,19.73,25633616
2010-04-30 16:00:00.288,19.78,20.0,19.66,19.67,33741328
2010-05-03 16:00:00.288,19.8,19.95,19.67,19.83,27076464
2010-05-04 16:00:00.288,19.86,19.95,19.43,19.55,31364018
2010-05-05 16:00:00.288,19.55,19.73,19.43,19.45,33486396
2010-05-06 16:00:00.288,19.4,19.43,18.14,18.97,67762584
2010-05-07 16:00:00.288,19.03,19.24,18.69,18.94,51364048
2010-05-10 16:00:00.288,19.45,19.64,19.17,19.37,40844772
2010-05-11 16:00:00.288,19.24,19.48,19.12,19.35,32373240
2010-05-12 16:00:00.288,19.42,19.54,19.29,19.49,29325016
2010-05-13 16:00:00.288,19.47,19.6,19.34,19.43,22946292
2010-05-14 16:00:00.288,19.42,19.46,19.0,19.17,37805904
2010-05-17 16:00:00.288,19.21,19.54,19.09,19.45,29926348
2010-05-18 16:00:00.288,19.52,19.55,19.1,19.31,37971016
2010-05-19 16:00:00.288,19.27,19.4,19.09,19.3,30794528
2010-05-20 16:00:00.288,19.08,19.09,18.76,18.84,41240412
2010-05-21 16:00:00.288,18.38,18.77,18.38,18.75,54269672
2010-05-24 16:00:00.288,18.65,18.68,18.34,18.44,30029642
2010-05-25 16:00:00.288,18.18,18.41,17.95,18.35,52242600
2010-05-26 16:00:00.288,18.35,18.43,18.13,18.21,37666080
2010-05-27 16:00:00.288,18.42,18.61,18.3,18.59,27559194
2010-05-28 16:00:00.288,18.57,18.66,18.33,18.34,30332100
2010-06-01 16:00:00.288,18.32,18.72,18.2,18.36,29742118
2010-06-02 16:00:00.288,18.44,18.71,18.41,18.7,25630020
2010-06-03 16:00:00.288,18.78,18.81,18.57,18.72,23550678
2010-06-04 16:00:00.288,18.51,18.52,18.14,18.24,36869776
2010-06-07 16:00:00.288,18.36,18.6,18.27,18.35,37372688
2010-06-08 16:00:00.288,18.42,18.89,18.38,18.84,41472792
2010-06-09 16:00:00.288,18.94,19.03,18.72,18.79,33181234
2010-06-10 16:00:00.288,19.02,19.26,19.0,19.2,33073180
2010-06-11 16:00:00.288,19.03,19.12,18.89,19.09,23748520
2010-06-14 16:00:00.288,19.15,19.28,18.98,19.0,24880646
2010-06-15 16:00:00.288,19.12,19.27,19.03,19.27,20989318
2010-06-16 16:00:00.288,19.21,19.27,19.11,19.26,19948774
2010-06-17 16:00:00.288,19.28,19.3,18.96,19.3,23736970
2010-06-18 16:00:00.288,19.34,19.37,19.04,19.19,40565048
2010-06-21 16:00:00.288,19.31,19.33,19.13,19.2,16787986
2010-06-22 16:00:00.288,19.19,19.32,19.09,19.14,25787664
2010-06-23 16:00:00.288,19.17,19.32,19.13,19.2,25835116
2010-06-24 16:00:00.288,19.13,19.26,18.87,18.91,27449876
2010-06-25 16:00:00.288,18.97,18.98,18.63,18.71,51775900
2010-06-28 16:00:00.288,18.78,19.0,18.75,18.83,21841704
2010-06-29 16:00:00.288,18.76,18.79,18.32,18.46,52856248
2010-06-30 16:00:00.288,18.38,18.44,18.2,18.26,37194900
