Date,Open,High,Low,Close,Volume
2020-09-18 16:00:00.288,75.0,76.79,67.0,68.35,20620981
2020-09-21 16:00:00.288,67.11,73.98,65.11,72.96,5055201
2020-09-22 16:00:00.288,76.64,84.98,75.11,84.82,6893682
2020-09-23 16:00:00.288,88.67,88.88,79.9,81.85,4343874
2020-09-24 16:00:00.288,77.75,83.89,75.7,83.2,2487241
2020-09-25 16:00:00.288,84.79,93.36,84.25,89.85,3681670
2020-09-28 16:00:00.288,94.46,100.0,94.1,95.8,3999879
2020-09-29 16:00:00.288,98.16,102.63,93.5,94.92,2818379
2020-09-30 16:00:00.288,94.9,96.36,85.03,87.28,3670659
2020-10-01 16:00:00.288,89.33,90.97,83.5,84.56,4530848
2020-10-02 16:00:00.288,81.55,87.62,81.55,83.53,2771333
2020-10-05 16:00:00.288,85.83,85.85,82.3,84.0,1260519
2020-10-06 16:00:00.288,84.61,84.76,82.71,82.79,1014436
2020-10-07 16:00:00.288,84.04,89.5,83.76,88.65,1767750
2020-10-08 16:00:00.288,91.19,93.5,88.8,91.4,1892944
2020-10-09 16:00:00.288,92.85,100.42,92.7,99.11,2587670
2020-10-12 16:00:00.288,100.13,101.0,89.8,90.0,3867995
2020-10-13 16:00:00.288,92.35,94.78,91.0,92.11,2000670
2020-10-14 16:00:00.288,93.52,96.1,89.2,90.02,2199777
2020-10-15 16:00:00.288,88.2,93.39,87.0,91.43,1365848
2020-10-16 16:00:00.288,92.19,93.6,90.88,92.56,960312
2020-10-19 16:00:00.288,94.0,95.4,88.21,89.3,1669136
2020-10-20 16:00:00.288,89.83,90.62,86.1,87.15,1224848
2020-10-21 16:00:00.288,87.27,91.27,87.27,91.0,1270210
2020-10-22 16:00:00.288,90.82,101.0,88.28,100.96,4738063
2020-10-23 16:00:00.288,101.0,103.97,93.0,97.28,3246221
2020-10-26 16:00:00.288,98.0,103.49,91.63,99.96,2933307
2020-10-27 16:00:00.288,100.0,108.35,95.5,104.0,5984257
2020-10-28 16:00:00.288,100.0,102.0,96.2,99.76,2391453
2020-10-29 16:00:00.288,101.79,109.28,98.5,108.84,2805257
2020-10-30 16:00:00.288,105.81,107.3,92.22,94.88,5104520
2020-11-02 16:00:00.288,96.67,98.69,93.37,94.13,2514458
2020-11-03 16:00:00.288,96.0,99.5,94.6,98.07,2161629
2020-11-04 16:00:00.288,101.81,106.88,100.5,106.45,2788945
2020-11-05 16:00:00.288,110.0,112.79,107.23,110.76,2106629
2020-11-06 16:00:00.288,110.5,119.88,108.15,119.0,1727745
2020-11-09 16:00:00.288,116.88,117.03,102.41,102.85,3158657
2020-11-10 16:00:00.288,106.06,106.19,98.0,99.66,2447126
2020-11-11 16:00:00.288,102.76,106.5,101.53,105.58,1663723
2020-11-12 16:00:00.288,105.0,106.53,99.51,101.74,2968206
2020-11-13 16:00:00.288,100.0,116.86,100.0,114.77,4781654
2020-11-16 16:00:00.288,109.0,112.5,105.37,111.51,4675012
2020-11-17 16:00:00.288,107.83,122.95,107.83,118.05,3710751
2020-11-18 16:00:00.288,119.19,119.27,113.51,115.01,1897191
2020-11-19 16:00:00.288,115.01,118.5,114.0,116.31,1663753
2020-11-20 16:00:00.288,117.31,124.18,116.34,122.8,2691957
2020-11-23 16:00:00.288,123.31,129.87,122.6,129.4,2108843
2020-11-24 16:00:00.288,130.97,133.85,126.0,129.04,1727978
2020-11-25 16:00:00.288,130.0,138.95,128.0,137.46,1539838
2020-11-27 13:00:00.288,143.0,148.0,141.55,147.62,1799409
2020-11-30 16:00:00.288,147.0,152.61,139.13,151.98,2514023
2020-12-01 16:00:00.288,155.0,155.95,142.66,147.23,2411339
2020-12-02 16:00:00.288,142.1,145.5,135.51,141.05,2141600
2020-12-03 16:00:00.288,143.2,149.95,142.61,145.67,1241298
2020-12-04 16:00:00.288,149.09,154.88,146.61,150.94,1498610
2020-12-07 16:00:00.288,151.9,158.2,150.33,155.71,1321780
2020-12-08 16:00:00.288,158.0,167.87,158.0,167.25,1738811
2020-12-09 16:00:00.288,169.8,170.55,149.12,152.0,4057683
2020-12-10 16:00:00.288,151.46,161.25,150.5,158.18,1862867
2020-12-11 16:00:00.288,158.0,159.47,151.62,152.5,1360432
2020-12-14 16:00:00.288,154.5,156.0,143.65,146.72,2383900
2020-12-15 16:00:00.288,150.0,150.01,142.33,144.58,1461087
2020-12-16 16:00:00.288,145.89,150.76,144.68,146.69,1516069
2020-12-17 16:00:00.288,154.16,156.99,148.55,151.27,1915900
