Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,3.92,3.96,3.85,3.93,2194985
2010-01-05 16:00:00.288,3.93,3.99,3.91,3.99,4241930
2010-01-06 16:00:00.288,4.04,4.19,4.04,4.18,5843470
2010-01-07 16:00:00.288,4.21,4.22,4.11,4.22,7519481
2010-01-08 16:00:00.288,4.23,4.24,4.16,4.19,3062566
2010-01-11 16:00:00.288,4.2,4.24,4.16,4.18,2685710
2010-01-12 16:00:00.288,4.17,4.17,4.07,4.08,4111039
2010-01-13 16:00:00.288,4.05,4.1,4.02,4.09,5008553
2010-01-14 16:00:00.288,4.09,4.22,4.09,4.15,4107696
2010-01-15 16:00:00.288,4.16,4.21,4.11,4.16,5808675
2010-01-19 16:00:00.288,4.07,4.15,4.07,4.13,5197675
2010-01-20 16:00:00.288,4.15,4.17,4.07,4.13,5303280
2010-01-21 16:00:00.288,4.16,4.17,4.07,4.07,7985547
2010-01-22 16:00:00.288,4.07,4.08,3.86,3.86,7709515
2010-01-25 16:00:00.288,3.89,3.94,3.87,3.94,6267935
2010-01-26 16:00:00.288,3.87,3.87,3.76,3.76,7252028
2010-01-27 16:00:00.288,3.8,3.8,3.7,3.73,4624473
2010-01-28 16:00:00.288,3.76,3.81,3.55,3.64,9438068
2010-01-29 16:00:00.288,3.67,3.75,3.51,3.51,9038930
2010-02-01 16:00:00.288,3.46,3.63,3.46,3.61,9290247
2010-02-02 16:00:00.288,3.59,3.62,3.53,3.57,5049191
2010-02-03 16:00:00.288,3.7,3.75,3.63,3.69,11774529
2010-02-04 16:00:00.288,3.68,3.68,3.51,3.52,7448739
2010-02-05 16:00:00.288,3.49,3.54,3.4,3.45,8721345
2010-02-08 16:00:00.288,3.5,3.62,3.44,3.5,4629153
2010-02-09 16:00:00.288,3.55,3.64,3.54,3.61,3550208
2010-02-10 16:00:00.288,3.58,3.74,3.56,3.65,6244759
2010-02-11 16:00:00.288,3.66,3.76,3.6,3.76,3586219
2010-02-12 16:00:00.288,3.69,3.74,3.65,3.66,3827172
2010-02-16 16:00:00.288,3.68,3.75,3.66,3.75,3666218
2010-02-17 16:00:00.288,3.78,3.79,3.7,3.77,1771370
2010-02-18 16:00:00.288,3.75,3.77,3.7,3.76,2254363
2010-02-19 16:00:00.288,3.72,3.73,3.64,3.67,5028833
2010-02-22 16:00:00.288,3.65,3.72,3.65,3.72,7339064
2010-02-23 16:00:00.288,3.67,3.68,3.56,3.56,5413869
2010-02-24 16:00:00.288,3.56,3.59,3.5,3.51,13676757
2010-02-25 16:00:00.288,3.4,3.43,3.25,3.34,14819675
2010-02-26 16:00:00.288,3.35,3.49,3.33,3.43,9273708
2010-03-01 16:00:00.288,3.46,3.58,3.46,3.55,6169930
2010-03-02 16:00:00.288,3.54,3.56,3.48,3.53,3706347
2010-03-03 16:00:00.288,3.57,3.59,3.54,3.57,4092888
2010-03-04 16:00:00.288,3.54,3.57,3.45,3.46,4057692
2010-03-05 16:00:00.288,3.53,3.6,3.47,3.59,4371393
2010-03-08 16:00:00.288,3.6,3.6,3.53,3.57,4657628
2010-03-09 16:00:00.288,3.58,3.63,3.55,3.58,4952770
2010-03-10 16:00:00.288,3.6,3.65,3.58,3.61,3547979
2010-03-11 16:00:00.288,3.59,3.65,3.55,3.62,11563462
2010-03-12 16:00:00.288,3.63,3.66,3.6,3.63,5174541
2010-03-15 16:00:00.288,3.59,3.61,3.52,3.57,5509911
2010-03-16 16:00:00.288,3.56,3.63,3.53,3.63,12239958
2010-03-17 16:00:00.288,3.67,3.69,3.6,3.67,5890227
2010-03-18 16:00:00.288,3.68,3.68,3.6,3.64,5532987
2010-03-19 16:00:00.288,3.63,3.69,3.51,3.51,11738753
2010-03-22 16:00:00.288,3.53,3.62,3.53,3.61,4410913
2010-03-23 16:00:00.288,3.64,3.71,3.57,3.68,3500209
2010-03-24 16:00:00.288,3.68,3.69,3.62,3.62,2281338
2010-03-25 16:00:00.288,3.64,3.68,3.61,3.61,2725275
2010-03-26 16:00:00.288,3.64,3.69,3.55,3.58,3157678
2010-03-29 16:00:00.288,3.64,3.69,3.57,3.64,5140416
2010-03-30 16:00:00.288,3.66,3.78,3.64,3.75,4374466
2010-03-31 16:00:00.288,3.74,3.8,3.74,3.76,3129684
2010-04-01 16:00:00.288,3.76,3.84,3.71,3.78,6193730
2010-04-05 16:00:00.288,3.78,3.87,3.75,3.87,3045071
2010-04-06 16:00:00.288,3.86,3.91,3.85,3.89,4238881
2010-04-07 16:00:00.288,3.9,3.91,3.83,3.85,1327270
2010-04-08 16:00:00.288,3.86,3.88,3.82,3.88,2556932
2010-04-09 16:00:00.288,3.86,3.9,3.84,3.87,1349604
2010-04-12 16:00:00.288,3.88,3.89,3.84,3.86,1685744
2010-04-13 16:00:00.288,3.82,3.83,3.73,3.81,4464243
2010-04-14 16:00:00.288,3.84,3.9,3.81,3.89,2477485
2010-04-15 16:00:00.288,3.87,3.89,3.83,3.86,2775578
2010-04-16 16:00:00.288,3.86,3.86,3.7,3.72,3512101
2010-04-19 16:00:00.288,3.72,3.75,3.64,3.7,4466578
2010-04-20 16:00:00.288,3.73,3.81,3.72,3.73,3744035
2010-04-21 16:00:00.288,3.72,3.76,3.64,3.75,2382498
2010-04-22 16:00:00.288,3.7,3.91,3.64,3.87,5352414
2010-04-23 16:00:00.288,3.84,3.86,3.74,3.81,2310483
2010-04-26 16:00:00.288,3.86,3.94,3.85,3.86,2281907
2010-04-27 16:00:00.288,3.87,3.87,3.67,3.7,3454473
2010-04-28 16:00:00.288,3.78,3.8,3.61,3.64,5396047
2010-04-29 16:00:00.288,3.63,3.72,3.62,3.7,1940095
2010-04-30 16:00:00.288,3.69,3.69,3.52,3.55,2660933
2010-05-03 16:00:00.288,3.55,3.62,3.5,3.5,2016991
2010-05-04 16:00:00.288,3.49,3.49,3.3,3.38,4626893
2010-05-05 16:00:00.288,3.3,3.3,3.1,3.18,8904560
2010-05-06 16:00:00.288,3.16,3.39,3.09,3.2,7113969
2010-05-07 16:00:00.288,3.28,3.48,3.19,3.4,6865760
2010-05-10 16:00:00.288,3.58,3.75,3.54,3.75,10729142
2010-05-11 16:00:00.288,3.53,3.61,3.51,3.52,8768293
2010-05-12 16:00:00.288,3.53,3.6,3.51,3.56,5860205
2010-05-13 16:00:00.288,3.54,3.62,3.45,3.47,3269458
2010-05-14 16:00:00.288,3.45,3.47,3.28,3.39,5957997
2010-05-17 16:00:00.288,3.41,3.47,3.26,3.33,5694510
2010-05-18 16:00:00.288,3.38,3.38,3.22,3.24,3938709
2010-05-19 16:00:00.288,3.21,3.29,3.11,3.27,6314497
2010-05-20 16:00:00.288,3.15,3.19,3.05,3.06,3625652
2010-05-21 16:00:00.288,3.04,3.35,3.03,3.28,5852889
2010-05-24 16:00:00.288,3.26,3.35,3.16,3.16,4976322
2010-05-25 16:00:00.288,3.08,3.25,3.0,3.19,7578155
2010-05-26 16:00:00.288,3.18,3.28,3.15,3.18,4861281
