Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,20.83,20.92,20.63,20.83,1989655
2010-01-05 16:00:00.288,20.77,21.47,20.72,21.41,2171595
2010-01-06 16:00:00.288,21.36,22.24,21.27,22.17,3849171
2010-01-07 16:00:00.288,22.44,23.27,22.37,23.23,4721207
2010-01-08 16:00:00.288,23.11,23.14,22.76,22.87,2817025
2010-01-11 16:00:00.288,23.09,23.09,22.39,22.67,2377156
2010-01-12 16:00:00.288,22.42,22.64,21.66,22.04,2469412
2010-01-13 16:00:00.288,22.2,22.87,21.88,22.75,1902231
2010-01-14 16:00:00.288,22.54,22.8,21.69,21.74,5808189
2010-01-15 16:00:00.288,21.76,21.78,20.48,20.5,3924779
2010-01-19 16:00:00.288,20.49,20.84,20.36,20.48,3119905
2010-01-20 16:00:00.288,20.32,20.35,20.01,20.24,3990221
2010-01-21 16:00:00.288,20.35,20.65,19.9,20.53,3012774
2010-01-22 16:00:00.288,20.58,20.93,19.98,20.04,2687022
2010-01-25 16:00:00.288,20.21,20.34,19.89,19.91,2686459
2010-01-26 16:00:00.288,19.87,20.94,19.83,20.69,3032626
2010-01-27 16:00:00.288,20.62,20.62,19.78,20.04,2613446
2010-01-28 16:00:00.288,20.08,20.2,19.52,19.55,2031304
2010-01-29 16:00:00.288,19.61,19.97,18.93,18.98,2461722
2010-02-01 16:00:00.288,19.05,19.7,18.97,19.7,1555676
2010-02-02 16:00:00.288,19.7,20.19,19.7,20.05,1545722
2010-02-03 16:00:00.288,19.9,20.15,19.79,19.99,1106489
2010-02-04 16:00:00.288,19.66,19.77,18.92,18.93,2062041
2010-02-05 16:00:00.288,19.1,19.21,18.42,19.06,2608857
2010-02-08 16:00:00.288,19.14,19.43,18.84,19.24,1174110
2010-02-09 16:00:00.288,19.48,19.78,19.26,19.6,2145571
2010-02-10 16:00:00.288,19.5,19.79,19.26,19.42,1164113
2010-02-11 16:00:00.288,19.2,20.06,19.11,19.92,1617183
2010-02-12 16:00:00.288,19.76,20.24,19.57,20.23,1336132
2010-02-16 16:00:00.288,20.37,20.65,20.28,20.59,1147946
2010-02-17 16:00:00.288,20.7,20.9,20.27,20.44,1737468
2010-02-18 16:00:00.288,20.34,20.42,20.19,20.25,1018028
2010-02-19 16:00:00.288,20.21,20.67,20.0,20.55,1268634
2010-02-22 16:00:00.288,20.61,20.96,20.53,20.93,1459341
2010-02-23 16:00:00.288,20.96,21.72,20.58,21.41,3728386
2010-02-24 16:00:00.288,21.52,21.6,21.05,21.3,1590308
2010-02-25 16:00:00.288,20.61,21.45,20.35,21.4,1788834
2010-02-26 16:00:00.288,21.37,21.77,21.14,21.46,1300467
2010-03-01 16:00:00.288,21.54,21.92,21.47,21.68,1104626
2010-03-02 16:00:00.288,21.69,21.7,21.29,21.48,1907351
2010-03-03 16:00:00.288,21.5,22.04,21.45,21.86,2525768
2010-03-04 16:00:00.288,21.98,22.73,21.98,22.27,2218766
2010-03-05 16:00:00.288,22.51,23.42,22.48,23.31,3237389
2010-03-08 16:00:00.288,23.39,23.55,22.99,23.06,1970623
2010-03-09 16:00:00.288,23.0,23.26,22.76,22.9,2162026
2010-03-10 16:00:00.288,23.0,24.41,23.0,24.39,4879921
2010-03-11 16:00:00.288,24.35,24.77,23.83,24.12,2282605
2010-03-12 16:00:00.288,24.23,24.76,23.93,24.71,1887762
2010-03-15 16:00:00.288,24.71,24.97,24.15,24.54,1061792
