Date,Open,High,Low,Close,Volume
2016-10-27 16:00:00.288,18.4,18.45,16.5,16.57,55321114
2016-10-28 16:00:00.288,16.79,17.25,16.68,16.99,12646761
2016-10-31 16:00:00.288,17.19,17.19,16.85,16.93,3226590
2016-11-01 16:00:00.288,17.0,17.05,15.55,16.0,9863256
2016-11-02 16:00:00.288,16.33,16.39,15.82,16.0,4431137
2016-11-03 16:00:00.288,16.05,16.05,15.78,15.99,2318106
2016-11-04 16:00:00.288,15.9,15.9,15.14,15.2,2848352
2016-11-07 16:00:00.288,15.33,15.55,15.2,15.43,2959085
2016-11-08 16:00:00.288,15.49,15.51,15.32,15.44,1799774
2016-11-09 16:00:00.288,15.02,15.28,14.15,14.32,4001894
2016-11-10 16:00:00.288,14.69,14.82,14.43,14.5,3791638
2016-11-11 16:00:00.288,14.6,14.6,14.18,14.58,2051118
2016-11-14 16:00:00.288,14.72,14.89,14.27,14.29,3205567
2016-11-15 16:00:00.288,14.42,14.63,14.32,14.48,3027180
2016-11-16 16:00:00.288,14.45,14.72,14.43,14.61,1354542
2016-11-17 16:00:00.288,14.75,15.35,14.61,15.26,3598340
2016-11-18 16:00:00.288,15.54,16.49,15.52,16.3,3802049
2016-11-21 16:00:00.288,16.65,16.9,15.81,15.89,4361050
2016-11-22 16:00:00.288,16.0,16.03,15.03,15.07,3633159
2016-11-23 16:00:00.288,15.25,15.47,15.01,15.32,2328836
2016-11-25 16:00:00.288,15.45,15.99,15.4,15.9,1313211
2016-11-28 16:00:00.288,15.96,16.0,15.57,15.81,2091239
2016-11-29 16:00:00.288,16.07,16.15,15.02,15.63,4114204
2016-11-30 16:00:00.288,15.98,16.0,15.05,15.13,4132962
2016-12-01 16:00:00.288,15.04,15.19,14.6,14.61,2495402
2016-12-02 16:00:00.288,14.5,14.61,13.8,13.83,3014934
2016-12-05 16:00:00.288,14.0,14.08,13.38,13.48,3167162
2016-12-06 16:00:00.288,13.56,13.62,13.5,13.58,1832313
2016-12-07 16:00:00.288,13.65,13.74,13.37,13.56,2198603
2016-12-08 16:00:00.288,13.61,14.56,13.56,14.46,3036745
2016-12-09 16:00:00.288,14.32,14.41,14.06,14.13,1160149
2016-12-12 16:00:00.288,14.25,14.25,13.32,13.36,1996803
2016-12-13 16:00:00.288,13.5,13.5,12.75,12.83,4004386
2016-12-14 16:00:00.288,12.8,13.24,12.75,13.17,2946029
2016-12-15 16:00:00.288,13.05,13.16,12.88,12.91,1041807
2016-12-16 16:00:00.288,12.85,12.91,12.48,12.64,2294063
2016-12-19 16:00:00.288,12.65,12.86,12.4,12.67,1112774
